metabolite,oxygen,treatment,mean,se,name
alanine,21%,None,2.2452661017025406,0.41003586303345435,ALAR
alanine,21%,DMSO,2.709637944773581,0.6676393958688137,ALAR
alanine,21%,BAY,5.980608192051328,0.3785733047301828,ALAR
alanine,0.5%,None,0.5803161033335389,0.51147094221827,ALAR
aspartate,21%,None,2.5666777663497684,0.13889998965014216,ASPR
aspartate,21%,DMSO,2.361927912183911,0.14920211245814122,ASPR
aspartate,21%,BAY,1.8106729122367529,0.3760337434802709,ASPR
aspartate,0.5%,None,1.0867447100018168,0.6379545264055799,ASPR
biomass,21%,None,0.023808151676310816,6.53569798944964e-4,BIOMASS
biomass,21%,DMSO,0.022220885395116127,0.0011239572602913302,BIOMASS
biomass,21%,BAY,0.0050554283839123176,4.993495032608595e-4,BIOMASS
biomass,0.5%,None,0.016798708459257464,7.778090006030022e-4,BIOMASS
biomass,0.2%,None,0.01901198156246422,7.299615117639669e-4,BIOMASS
cystine,21%,None,-4.41207477247237,0.33468654933401965,CYSR
cystine,21%,DMSO,-2.8001078768601193,0.3068296364763445,CYSR
cystine,21%,BAY,0.30954116235114293,0.41074256381909685,CYSR
cystine,0.5%,None,-1.65985401883089,0.44234918784344285,CYSR
glucose,21%,None,-497.0964303148201,26.10371624300065,GLUT
glucose,21%,DMSO,-589.3367498278418,56.60100497302445,GLUT
glucose,21%,BAY,-926.372937579552,71.40032019383978,GLUT
glucose,0.5%,None,-564.6554234096386,65.22787644390128,GLUT
glutamate,21%,None,16.1501170714106,0.8714590474826901,GLUR
glutamate,21%,DMSO,16.09210135829735,1.0923389391399965,GLUR
glutamate,21%,BAY,16.999788067116125,1.0163211672729864,GLUR
glutamate,0.5%,None,7.543810894405539,0.5777537170403052,GLUR
glutamine,21%,None,-41.86452446088487,2.454683487351192,GLNR
glutamine,21%,DMSO,-37.7897507457667,2.352626108148839,GLNR
glutamine,21%,BAY,-19.084613153411706,2.176005333742356,GLNR
glutamine,0.5%,None,-10.189916507724083,7.988711819818282,GLNR
glycine,21%,None,2.0502701983337785,0.23405229215174514,GLYR
glycine,21%,DMSO,2.520535442754193,0.2655404447551857,GLYR
glycine,21%,BAY,0.5556949572170659,0.6817088523535519,GLYR
glycine,0.5%,None,0.2594179093421936,0.2392688681643451,GLYR
lactate,21%,None,1013.3278465105986,39.51955976007603,MCT
lactate,21%,DMSO,816.8893411923126,71.34699295896175,MCT
lactate,21%,BAY,1233.8706225787935,146.43314432664693,MCT
lactate,0.5%,None,872.6677241369356,35.209295030525396,MCT
pyruvate,21%,None,-76.2112897172897,6.756791849434924,PYRR
pyruvate,21%,DMSO,-100.65379405647664,5.281662153041033,PYRR
pyruvate,21%,BAY,-60.67971538582927,4.252021198796245,PYRR
pyruvate,0.5%,None,-62.26035523227636,3.4324307852674814,PYRR
serine,21%,None,-14.251717711318596,1.122802748625948,SERR
serine,21%,DMSO,-10.433887372272292,1.6150957157468298,SERR
serine,21%,BAY,-2.5033417381980327,0.995703618535529,SERR
serine,0.5%,None,-5.493121752804732,0.545687759069894,SERR
