method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
fs,glc2,21%,None,3PG,24,M0,0.5751853166642603,0.005186790151626275
fs,glc2,21%,None,3PG,24,M1,3.431942529144977e-5,3.431942529144979e-5
fs,glc2,21%,None,3PG,24,M2,0.4402422788960064,4.812919638882551e-4
fs,glc2,21%,None,3PG,24,M3,0,0
fs,glc2,21%,None,3PG,48,M0,0.5508343431540812,0.0034973483516016046
fs,glc2,21%,None,3PG,48,M1,0.0013680251179527623,8.278303909870476e-4
fs,glc2,21%,None,3PG,48,M2,0.45798771676821826,0.0017421700599685502
fs,glc2,21%,None,3PG,48,M3,0,0
fs,glc2,21%,None,3PG,72,M0,0.539297157268857,0.0027937314242536962
fs,glc2,21%,None,3PG,72,M1,0.0017133734333930175,8.613419012026546e-4
fs,glc2,21%,None,3PG,72,M2,0.46519713016342906,0.0011609514685391497
fs,glc2,21%,None,3PG,72,M3,0,0
fs,glc2,21%,DMSO,3PG,24,M0,0.5687104669723908,0.0017703452855556967
fs,glc2,21%,DMSO,3PG,24,M1,6.337576196993056e-4,4.8232567807841945e-4
fs,glc2,21%,DMSO,3PG,24,M2,0.43666483977925497,0.0014316931500647498
fs,glc2,21%,DMSO,3PG,24,M3,0,0
fs,glc2,21%,DMSO,3PG,48,M0,0.5469115400754531,0.0026027340351384427
fs,glc2,21%,DMSO,3PG,48,M1,0.002210254449973883,5.201489037155466e-5
fs,glc2,21%,DMSO,3PG,48,M2,0.45473049157233003,0.002459646216588063
fs,glc2,21%,DMSO,3PG,48,M3,0,0
fs,glc2,21%,DMSO,3PG,72,M0,0.5353634389523723,0.0016996000513515572
fs,glc2,21%,DMSO,3PG,72,M1,0.004113357819462019,3.542679003034395e-6
fs,glc2,21%,DMSO,3PG,72,M2,0.46400934722180864,0.001743788956596437
fs,glc2,21%,DMSO,3PG,72,M3,0,0
fs,glc2,21%,BAY,3PG,24,M0,0.5855270111462509,0.0015265313392873179
fs,glc2,21%,BAY,3PG,24,M1,0,0
fs,glc2,21%,BAY,3PG,24,M2,0.42367598448340593,0.001775659115343331
fs,glc2,21%,BAY,3PG,24,M3,0,0
fs,glc2,21%,BAY,3PG,48,M0,0.5704867169016267,0.006309727275025544
fs,glc2,21%,BAY,3PG,48,M1,1.135919167198601e-4,1.135919167198601e-4
fs,glc2,21%,BAY,3PG,48,M2,0.4363656997800087,0.006123467735705406
fs,glc2,21%,BAY,3PG,48,M3,0,0
fs,glc2,21%,BAY,3PG,72,M0,0.5579446759725233,0.0063929530235363186
fs,glc2,21%,BAY,3PG,72,M1,1.7435454601290413e-4,1.743545460129041e-4
fs,glc2,21%,BAY,3PG,72,M2,0.4482527869812153,0.005837157711653245
fs,glc2,21%,BAY,3PG,72,M3,0,0
fs,glc2,0.5%,None,3PG,24,M0,0.6220098813707166,8.075094732171717e-4
fs,glc2,0.5%,None,3PG,24,M1,0,0
fs,glc2,0.5%,None,3PG,24,M2,0.4014880789294534,0.004602800859691267
fs,glc2,0.5%,None,3PG,24,M3,0,0
fs,glc2,0.5%,None,3PG,48,M0,0.587929718107228,0.004284588972746536
fs,glc2,0.5%,None,3PG,48,M1,-7.572641750160341e-21,3.786498167243886e-21
fs,glc2,0.5%,None,3PG,48,M2,0.4286890665068942,0.002898748533917602
fs,glc2,0.5%,None,3PG,48,M3,0,0
fs,glc2,0.5%,None,3PG,72,M0,0.5748405915200586,0.010770347503299308
fs,glc2,0.5%,None,3PG,72,M1,-7.601065698264282e-21,3.8034327202943565e-21
fs,glc2,0.5%,None,3PG,72,M2,0.43883065563985846,0.007189803035235261
fs,glc2,0.5%,None,3PG,72,M3,0,0
fs,glc6,21%,None,3PG,24,M0,0.05942210583204997,0.0034008500886491435
fs,glc6,21%,None,3PG,24,M1,0,0
fs,glc6,21%,None,3PG,24,M2,0.024261052869535803,1.6661554253804937e-4
fs,glc6,21%,None,3PG,24,M3,0.9098910010127873,0.008510759089853518
fs,glc6,21%,None,3PG,48,M0,0.03551985902385545,2.4738443221857665e-4
fs,glc6,21%,None,3PG,48,M1,0,0
fs,glc6,21%,None,3PG,48,M2,0.02879366984800357,1.6312349256227335e-5
fs,glc6,21%,None,3PG,48,M3,0.9377531587122341,5.565425441128036e-4
fs,glc6,21%,None,3PG,72,M0,0.02768778475171188,8.750880971026795e-4
fs,glc6,21%,None,3PG,72,M1,0,0
fs,glc6,21%,None,3PG,72,M2,0.029460157709521328,2.4442843627341115e-5
fs,glc6,21%,None,3PG,72,M3,0.9438356819524824,7.201951133115614e-4
fs,glc6,21%,DMSO,3PG,24,M0,0.053740571629671954,7.999057288156121e-4
fs,glc6,21%,DMSO,3PG,24,M1,0,0
fs,glc6,21%,DMSO,3PG,24,M2,0.026183995826110803,3.4317692713662837e-4
fs,glc6,21%,DMSO,3PG,24,M3,0.9219106886135672,3.8247740315255907e-4
fs,glc6,21%,DMSO,3PG,48,M0,0.04341630194155202,0.003015513117149074
fs,glc6,21%,DMSO,3PG,48,M1,0,0
fs,glc6,21%,DMSO,3PG,48,M2,0.027762803486209846,5.470742617947298e-5
fs,glc6,21%,DMSO,3PG,48,M3,0.9300823231370144,0.0025765140347931447
fs,glc6,21%,DMSO,3PG,72,M0,0.026542239925637753,3.7004596482568744e-4
fs,glc6,21%,DMSO,3PG,72,M1,0,0
fs,glc6,21%,DMSO,3PG,72,M2,0.03008784064085067,3.134555233072419e-4
fs,glc6,21%,DMSO,3PG,72,M3,0.9446352921350032,3.8466937818781854e-5
fs,glc6,21%,BAY,3PG,24,M0,0.04963538996643165,3.8929218136994626e-5
fs,glc6,21%,BAY,3PG,24,M1,0,0
fs,glc6,21%,BAY,3PG,24,M2,0.01995381499170376,1.2080950854139426e-4
fs,glc6,21%,BAY,3PG,24,M3,0.9321889267336129,7.446271773525748e-5
fs,glc6,21%,BAY,3PG,48,M0,0.05703607354122293,0.001969937688775354
fs,glc6,21%,BAY,3PG,48,M1,0,8.346192215206441e-20
fs,glc6,21%,BAY,3PG,48,M2,0.02525231882685288,5.179973013378264e-4
fs,glc6,21%,BAY,3PG,48,M3,0.9198318652133373,0.0010143131076755239
fs,glc6,21%,BAY,3PG,72,M0,0.04603898156344724,0.0013415945422091853
fs,glc6,21%,BAY,3PG,72,M1,0,0
fs,glc6,21%,BAY,3PG,72,M2,0.026653339395692872,2.6704130857563464e-4
fs,glc6,21%,BAY,3PG,72,M3,0.9282173672699937,0.001957270730413001
fs,glc6,0.5%,None,3PG,24,M0,0.11236496862317284,9.097686554229155e-4
fs,glc6,0.5%,None,3PG,24,M1,0,0
fs,glc6,0.5%,None,3PG,24,M2,0.012694554581147795,0.0017583305629951778
fs,glc6,0.5%,None,3PG,24,M3,0.8795985424176387,0.00213366011123306
fs,glc6,0.5%,None,3PG,48,M0,0.08782224783831927,0.0022407318450162646
fs,glc6,0.5%,None,3PG,48,M1,0,0
fs,glc6,0.5%,None,3PG,48,M2,0.02271284599131697,1.4406150362389e-5
fs,glc6,0.5%,None,3PG,48,M3,0.8923675688339137,0.0017642526762084295
fs,glc6,0.5%,None,3PG,72,M0,0.06959741506516777,0.0010337692102229817
fs,glc6,0.5%,None,3PG,72,M1,0,0
fs,glc6,0.5%,None,3PG,72,M2,0.02395732851653369,2.491914777228033e-4
fs,glc6,0.5%,None,3PG,72,M3,0.9119116299036433,0.002843762889822446
fs,lac3,21%,None,3PG,24,M0,0.971389677515142,6.861753607201869e-4
fs,lac3,21%,None,3PG,24,M1,-6.487163002320769e-20,3.255279923811137e-20
fs,lac3,21%,None,3PG,24,M2,0,0
fs,lac3,21%,None,3PG,24,M3,0.05557899335823786,7.446110181802168e-4
fs,lac3,21%,None,3PG,48,M0,0.9696225857833287,0.002013886483439173
fs,lac3,21%,None,3PG,48,M1,-4.3255019615170925e-20,2.85686025128663e-20
fs,lac3,21%,None,3PG,48,M2,0,0
fs,lac3,21%,None,3PG,48,M3,0.05636180754714408,0.0019267909671914132
fs,lac3,21%,None,3PG,72,M0,0.979861781856098,0.0010348253625639358
fs,lac3,21%,None,3PG,72,M1,0,0
fs,lac3,21%,None,3PG,72,M2,0,0
fs,lac3,21%,None,3PG,72,M3,0.044731872080895935,0.0012753077931467085
fs,lac3,21%,DMSO,3PG,24,M0,0.9751925848628238,0.0012855812998607708
fs,lac3,21%,DMSO,3PG,24,M1,-6.53407597298453e-20,1.0151263259630724e-22
fs,lac3,21%,DMSO,3PG,24,M2,0,0
fs,lac3,21%,DMSO,3PG,24,M3,0.051943140966710044,0.0012635752125819807
fs,lac3,21%,DMSO,3PG,48,M0,0.9656553304814416,0.0014758096718839647
fs,lac3,21%,DMSO,3PG,48,M1,-5.943638317494381e-19,1.6122673090502475e-20
fs,lac3,21%,DMSO,3PG,48,M2,0,0
fs,lac3,21%,DMSO,3PG,48,M3,0.059729688573673057,0.001880719720719713
fs,lac3,21%,DMSO,3PG,72,M0,0.9755343213054686,7.384672033583436e-4
fs,lac3,21%,DMSO,3PG,72,M1,0,0
fs,lac3,21%,DMSO,3PG,72,M2,0,0
fs,lac3,21%,DMSO,3PG,72,M3,0.04850054107311584,2.414249226400378e-4
fs,lac3,21%,BAY,3PG,24,M0,0.9762746206459323,0.0032208036140843484
fs,lac3,21%,BAY,3PG,24,M1,-9.81286133545658e-20,2.677693631762906e-22
fs,lac3,21%,BAY,3PG,24,M2,0,0
fs,lac3,21%,BAY,3PG,24,M3,0.055190256886022034,0.003493008617431415
fs,lac3,21%,BAY,3PG,48,M0,0.9339212430594416,0.0011807947521150772
fs,lac3,21%,BAY,3PG,48,M1,-7.747635425498721e-20,1.5075076915117964e-20
fs,lac3,21%,BAY,3PG,48,M2,0,0
fs,lac3,21%,BAY,3PG,48,M3,0.09303852376379457,0.001315009472868861
fs,lac3,21%,BAY,3PG,72,M0,0.9430038446097107,1.6155651267202306e-4
fs,lac3,21%,BAY,3PG,72,M1,-9.45107432517028e-20,1.619169017926295e-23
fs,lac3,21%,BAY,3PG,72,M2,0,0
fs,lac3,21%,BAY,3PG,72,M3,0.08512410873440317,4.435852300897908e-4
fs,lac3,0.5%,None,3PG,24,M0,0.9414134248154251,2.5687379142663724e-4
fs,lac3,0.5%,None,3PG,24,M1,-9.435134649240076e-20,2.574468077556897e-23
fs,lac3,0.5%,None,3PG,24,M2,0,0
fs,lac3,0.5%,None,3PG,24,M3,0.08764515218407132,0.004225468264188447
fs,lac3,0.5%,None,3PG,48,M0,0.9283629924724812,0.0014402512885258476
fs,lac3,0.5%,None,3PG,48,M1,-9.304339205771002e-20,1.443464101719911e-22
fs,lac3,0.5%,None,3PG,48,M2,0,0
fs,lac3,0.5%,None,3PG,48,M3,0.09849667419144181,4.557021863031279e-4
fs,lac3,0.5%,None,3PG,72,M0,0.935337972479896,0.002065019776158844
fs,lac3,0.5%,None,3PG,72,M1,-9.369404807605048e-20,3.485305069079717e-22
fs,lac3,0.5%,None,3PG,72,M2,0,0
fs,lac3,0.5%,None,3PG,72,M3,0.08913608691497903,4.0594126710953577e-4
fs,q5,21%,None,3PG,24,M0,1,0
fs,q5,21%,None,3PG,24,M1,1.927470528863119e-19,1.9274705288631191e-19
fs,q5,21%,None,3PG,24,M2,-9.359160566728759e-24,9.359160566728759e-24
fs,q5,21%,None,3PG,24,M3,0,0
fs,q5,21%,None,3PG,48,M0,1,0
fs,q5,21%,None,3PG,48,M1,0,0
fs,q5,21%,None,3PG,48,M2,-5.995294359146231e-23,3.0013116359988695e-23
fs,q5,21%,None,3PG,48,M3,0,0
fs,q5,21%,None,3PG,72,M0,1,0
fs,q5,21%,None,3PG,72,M1,0,0
fs,q5,21%,None,3PG,72,M2,-6.262563295258198e-23,3.1314492293819185e-23
fs,q5,21%,None,3PG,72,M3,0,0
fs,q5,21%,DMSO,3PG,24,M0,1,0
fs,q5,21%,DMSO,3PG,24,M1,-2.8912057932946783e-19,2.8912057932946783e-19
fs,q5,21%,DMSO,3PG,24,M2,-7.629884493870962e-23,1.787570090787453e-23
fs,q5,21%,DMSO,3PG,24,M3,0,0
fs,q5,21%,DMSO,3PG,48,M0,1,0
fs,q5,21%,DMSO,3PG,48,M1,0,0
fs,q5,21%,DMSO,3PG,48,M2,-9.349358992514739e-23,9.383987802976146e-25
fs,q5,21%,DMSO,3PG,48,M3,0,0
fs,q5,21%,DMSO,3PG,72,M0,1,0
fs,q5,21%,DMSO,3PG,72,M1,0,0
fs,q5,21%,DMSO,3PG,72,M2,-9.118756833051966e-23,2.579246236113672e-24
fs,q5,21%,DMSO,3PG,72,M3,0,0
fs,q5,21%,BAY,3PG,24,M0,1,0
fs,q5,21%,BAY,3PG,24,M1,-5.782411586589357e-19,5.782411586589357e-19
fs,q5,21%,BAY,3PG,24,M2,2.8910642500559844e-19,2.891347336533372e-19
fs,q5,21%,BAY,3PG,24,M3,0,0
fs,q5,21%,BAY,3PG,48,M0,1,0
fs,q5,21%,BAY,3PG,48,M1,0,0
fs,q5,21%,BAY,3PG,48,M2,2.8907702485062895e-19,2.8910732656824586e-19
fs,q5,21%,BAY,3PG,48,M3,0,0
fs,q5,21%,BAY,3PG,72,M0,1,0
fs,q5,21%,BAY,3PG,72,M1,0,0
fs,q5,21%,BAY,3PG,72,M2,-4.2915373392921636e-23,1.4449387999523957e-23
fs,q5,21%,BAY,3PG,72,M3,0,0
fs,q5,0.5%,None,3PG,24,M0,1,0
fs,q5,0.5%,None,3PG,24,M1,0,0
fs,q5,0.5%,None,3PG,24,M2,7.709882115452476e-19,5.099607678777958e-19
fs,q5,0.5%,None,3PG,24,M3,0,0
fs,q5,0.5%,None,3PG,48,M0,1,0
fs,q5,0.5%,None,3PG,48,M1,0,0
fs,q5,0.5%,None,3PG,48,M2,-9.612816801806776e-24,9.612816801806776e-24
fs,q5,0.5%,None,3PG,48,M3,0,0
fs,q5,0.5%,None,3PG,72,M0,1,0
fs,q5,0.5%,None,3PG,72,M1,0,0
fs,q5,0.5%,None,3PG,72,M2,9.637352644315595e-19,1.9274705288631191e-19
fs,q5,0.5%,None,3PG,72,M3,0,0
sim,glc2,21%,None,AKG,24,M0,0.8052055940313353,0.008338998310687887
sim,glc2,21%,None,AKG,24,M1,0.02502523131415383,0.0010379616222340575
sim,glc2,21%,None,AKG,24,M2,0.13788864341468354,0.005138469483538819
