method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
fs,glc2,21%,None,3PG,12,M0,0.599232491513315,0.0206403629687411
fs,glc2,21%,None,3PG,12,M1,-9.905554820471876e-21,1.5070813424191694e-21
fs,glc2,21%,None,3PG,12,M2,0.4334207906974771,0.020240801645371554
fs,glc2,21%,None,3PG,12,M3,0,0
fs,glc2,21%,None,3PG,24,M0,0.5721293245814756,0.004193012387391498
fs,glc2,21%,None,3PG,24,M1,-1.2083618303574894e-20,9.197335804403973e-23
fs,glc2,21%,None,3PG,24,M2,0.45883737830660426,0.003913223199002804
fs,glc2,21%,None,3PG,24,M3,0,0
fs,glc2,21%,None,3PG,36,M0,0.5754419462908195,0.00564892157746256
fs,glc2,21%,None,3PG,36,M1,-3.974588842345242e-19,3.8553618943132153e-19
fs,glc2,21%,None,3PG,36,M2,0.4555573330583017,0.004610926248464378
fs,glc2,21%,None,3PG,36,M3,0,0
fs,glc2,21%,None,3PG,48,M0,0.545903006469475,0.004494352510446583
fs,glc2,21%,None,3PG,48,M1,-1.2629946949585053e-20,7.164531982919509e-23
fs,glc2,21%,None,3PG,48,M2,0.48395985851434564,0.002951748094813245
fs,glc2,21%,None,3PG,48,M3,0,0
fs,glc2,0.5%,None,3PG,12,M0,0.63827367396338,0.0052532222345361215
fs,glc2,0.5%,None,3PG,12,M1,-1.0774905509482358e-20,2.905745956919843e-22
fs,glc2,0.5%,None,3PG,12,M2,0.39513537724959896,0.005151529040905554
fs,glc2,0.5%,None,3PG,12,M3,0,0
fs,glc2,0.5%,None,3PG,24,M0,0.593393552419999,0.016727065008973845
fs,glc2,0.5%,None,3PG,24,M1,-1.15294993657333e-20,4.032662762436151e-22
fs,glc2,0.5%,None,3PG,24,M2,0.43914669814330065,0.016403258289043775
fs,glc2,0.5%,None,3PG,24,M3,0,0
fs,glc2,0.5%,None,3PG,36,M0,0.5804370017495499,0.011268891170235235
fs,glc2,0.5%,None,3PG,36,M1,-1.110435016353392e-20,8.518464192323308e-22
fs,glc2,0.5%,None,3PG,36,M2,0.45185243265610603,0.011050745148495899
fs,glc2,0.5%,None,3PG,36,M3,0,0
fs,glc2,0.5%,None,3PG,48,M0,0.5724371145574098,0.009378964329626248
fs,glc2,0.5%,None,3PG,48,M1,-7.962523839997701e-21,3.986640575294184e-21
fs,glc2,0.5%,None,3PG,48,M2,0.45969745602544715,0.009197403985699319
fs,glc2,0.5%,None,3PG,48,M3,0,0
fs,glc6,21%,None,3PG,12,M0,0.04575122322471943,0.004208208629089813
fs,glc6,21%,None,3PG,12,M1,-4.167327169975626e-21,6.936632763490175e-22
fs,glc6,21%,None,3PG,12,M2,-6.0233454026972465e-21,6.023345402697247e-21
fs,glc6,21%,None,3PG,12,M3,0.9560560418412044,0.0038029153248237196
fs,glc6,21%,None,3PG,24,M0,0.029489937137730172,0.001280470184055907
fs,glc6,21%,None,3PG,24,M1,-2.403875711777471e-21,2.8435566698704807e-22
fs,glc6,21%,None,3PG,24,M2,0,0
fs,glc6,21%,None,3PG,24,M3,0.9713654993575457,0.00174111826235355
fs,glc6,21%,None,3PG,36,M0,0.015576933998682915,5.012629443418064e-4
fs,glc6,21%,None,3PG,36,M1,-1.253884944555505e-20,1.1800629282407786e-20
fs,glc6,21%,None,3PG,36,M2,0.0015990475929546222,8.683237380670734e-4
fs,glc6,21%,None,3PG,36,M3,0.9811914339669661,0.0017647457613334749
fs,glc6,21%,None,3PG,48,M0,0.010890811559453439,0.004994778302163751
fs,glc6,21%,None,3PG,48,M1,-3.870850250415258e-22,1.9645725877067704e-22
fs,glc6,21%,None,3PG,48,M2,7.789278466586616e-4,7.789278466586616e-4
fs,glc6,21%,None,3PG,48,M3,0.9860238782582706,0.0067998666084812575
fs,glc6,0.5%,None,3PG,12,M0,0.002948160401346107,0.001702870964601393
fs,glc6,0.5%,None,3PG,12,M1,-2.954736954140206e-22,1.706669611647574e-22
fs,glc6,0.5%,None,3PG,12,M2,0,0
fs,glc6,0.5%,None,3PG,12,M3,0.9972082589534681,0.0016125224281062025
fs,glc6,0.5%,None,3PG,24,M0,0.011304821962252463,0.00652750414655357
fs,glc6,0.5%,None,3PG,24,M1,-7.62944089801909e-22,7.62944089801909e-22
fs,glc6,0.5%,None,3PG,24,M2,0,0
fs,glc6,0.5%,None,3PG,24,M3,0.9892949734073675,0.0061811769973644255
fs,glc6,0.5%,None,3PG,36,M0,0.0018802559221895545,0.0018802559221895547
fs,glc6,0.5%,None,3PG,36,M1,-1.8844502673592142e-22,1.8844502673592142e-22
fs,glc6,0.5%,None,3PG,36,M2,0,0
fs,glc6,0.5%,None,3PG,36,M3,0.9982195040563042,0.0017804959436958183
fs,glc6,0.5%,None,3PG,48,M0,0.009446692644937223,0.009446692644937223
fs,glc6,0.5%,None,3PG,48,M1,-1.1465696980742775e-20,1.1465696980742775e-20
fs,glc6,0.5%,None,3PG,48,M2,0,0
fs,glc6,0.5%,None,3PG,48,M3,0.9910545167085206,0.008945483291479409
fs,lac3,21%,None,3PG,12,M0,1,0
fs,lac3,21%,None,3PG,12,M1,-5.169762500077174e-20,2.2153963359803488e-20
fs,lac3,21%,None,3PG,12,M2,0,0
fs,lac3,21%,None,3PG,12,M3,0.014199361413998803,0.005684920787501899
fs,lac3,21%,None,3PG,24,M0,1,0
fs,lac3,21%,None,3PG,24,M1,-1.0147270122550897e-19,4.35039307230427e-22
fs,lac3,21%,None,3PG,24,M2,-1.264530276472691e-22,6.822431687055157e-23
fs,lac3,21%,None,3PG,24,M3,0.038725316687176374,0.0037969860228297433
fs,lac3,21%,None,3PG,36,M0,0.9993512424024897,3.780881659309142e-4
fs,lac3,21%,None,3PG,36,M1,-1.0173516685556251e-19,8.315561180306315e-22
fs,lac3,21%,None,3PG,36,M2,-8.486601577507018e-23,5.84849927640049e-23
fs,lac3,21%,None,3PG,36,M3,0.03987946616502082,0.0032294474177694847
fs,lac3,21%,None,3PG,48,M0,1,0
fs,lac3,21%,None,3PG,48,M1,-1.0271827467422375e-19,2.4293413225423648e-22
fs,lac3,21%,None,3PG,48,M2,0,0
fs,lac3,21%,None,3PG,48,M3,0.026928002050445026,0.0025167125128038735
fs,lac3,0.5%,None,3PG,12,M0,1,0
fs,lac3,0.5%,None,3PG,12,M1,0,0
fs,lac3,0.5%,None,3PG,12,M2,0,0
fs,lac3,0.5%,None,3PG,12,M3,0,0
fs,lac3,0.5%,None,3PG,24,M0,1,0
fs,lac3,0.5%,None,3PG,24,M1,0,0
fs,lac3,0.5%,None,3PG,24,M2,0,0
fs,lac3,0.5%,None,3PG,24,M3,0.00132437444502466,0.00132437444502466
fs,lac3,0.5%,None,3PG,36,M0,1,0
fs,lac3,0.5%,None,3PG,36,M1,-1.1552406166433215e-20,1.1552406166433217e-20
fs,lac3,0.5%,None,3PG,36,M2,0,0
fs,lac3,0.5%,None,3PG,36,M3,0.0019931612296621216,0.001993161229662122
fs,lac3,0.5%,None,3PG,48,M0,1,0
fs,lac3,0.5%,None,3PG,48,M1,-2.108282555005855e-20,1.0665602226615127e-20
fs,lac3,0.5%,None,3PG,48,M2,3.854941057726238e-19,3.8549410577262383e-19
