gel,lane,oxygen,treatment,time,blot,hif1a,ldha
a,1,21%,None,0,1416129305,11959448,28487388
a,2,21%,None,24,1373455725,6817568,28965594
a,3,21%,None,48,1601143920,60001112,33114510
a,4,21%,None,72,1593119915,5997848,31485801
a,5,0.5%,None,0,1079602280,277687096,38764074
a,6,0.5%,None,24,1475676920,224739256,67822668
a,7,0.5%,None,48,1556857695,256301512,90000192
a,8,0.5%,None,72,1397665195,217496832,92115291
b,1,21%,None,0,779740200,11017188,18436365
b,2,21%,None,24,1289610000,70321160,26515450
b,3,21%,None,48,1408796100,102769212,27873190
b,4,21%,None,72,1570000500,56741048,29447910
b,5,0.5%,None,0,869065200,22447516,21528425
b,6,0.5%,None,24,1605934620,339530646,64156540
b,7,0.5%,None,48,1537675380,271826282,76752400
b,8,0.5%,None,72,1158094260,268241246,82979935
c,1,21%,None,0,1100559141,19809244,21233566
c,2,21%,None,24,1279236706,15294734,26258148
c,3,21%,None,48,1186644591,36600746,36705120
c,4,21%,None,72,1168288858,38958010,35024400
c,5,0.5%,None,0,953343204,386562722,39643748
c,6,0.5%,None,24,1330897887,393330210,66616672
c,7,0.5%,None,48,1616121694,312918788,87839898
c,8,0.5%,None,72,1538625715,419921320,88298806
