gel,lane,oxygen,treatment,time,blot,hif1a,ldha
a,1,21%,DMSO,0,3.47E+11,2544688,22827336
a,2,21%,BAY,0,2.64E+11,421682,37907756
a,3,21%,DMSO,24,4.67E+11,1808480,33396320
a,4,21%,BAY,24,3.69E+11,704845468,58366292
a,5,21%,DMSO,48,5.52E+11,129997850,39861358
a,6,21%,BAY,48,4.65E+11,515182908,62682302
a,7,21%,DMSO,72,8.84E+11,72297726,38614354
a,8,21%,BAY,72,6.60E+11,284721680,70538634
b,1,21%,DMSO,0,4.18E+11,1463905,18645824
b,2,21%,BAY,0,3.45E+11,418840185,38837552
b,3,21%,DMSO,24,3.92E+11,7815510,26413398
b,4,21%,BAY,24,3.34E+11,335639025,52063808
b,5,21%,DMSO,48,5.08E+11,12210925,33288346
b,6,21%,BAY,48,5.69E+11,594893585,75178274
b,7,21%,DMSO,96,7.58E+11,275465,28962168
b,8,21%,BAY,96,7.35E+11,309505,88872944
c,1,21%,DMSO,0,4.60E+11,2352528,7127910
c,2,21%,BAY,0,4.15E+11,423853824,17996994
c,3,21%,DMSO,24,6.74E+11,56536188,16225848
c,4,21%,BAY,24,5.04E+11,959620314,39688704
c,5,21%,DMSO,48,6.59E+11,81405504,22716918
c,6,21%,BAY,48,6.18E+11,788139846,69656550
c,7,21%,DMSO,72,7.98E+11,38618250,38580324
c,8,21%,BAY,72,6.26E+11,635154660,70061274
c,9,21%,DMSO,96,9.19E+11,3945990,27065352
c,10,21%,BAY,96,9.42E+11,570232662,79997805
e,1,21%,DMSO,0,4.07E+11,966896,8262390
e,2,21%,BAY,0,3.94E+11,9758494,12579243
e,3,21%,DMSO,24,5.61E+11,35151796,19977636
e,4,21%,BAY,24,4.21E+11,248167244,47940045
e,5,21%,DMSO,48,4.81E+11,84338714,27220212
e,6,21%,BAY,48,4.83E+11,652049600,64331367
e,7,21%,DMSO,72,6.57E+11,62169704,36040359
e,8,21%,BAY,72,6.32E+11,317792300,87964395
e,9,21%,DMSO,96,8.49E+11,2006594,36942201
e,10,21%,BAY,96,8.89E+11,575478450,73293150
