gel,lane,oxygen,treatment,time,blot,hif1a,ldha
a,1,21%,None,0,1075830831,25576446,107544136
a,2,21%,None,12,1226468196,24916365,107421224
a,3,21%,None,24,1534716873,33466491,163423648
a,4,21%,None,36,1364521932,44248485,130575968
a,5,21%,None,48,1681793241,46881123,177688248
a,6,0.5%,None,0,1359873732,81470319,131073688
a,7,0.5%,None,12,1297510808,60085305,158195472
a,8,0.5%,None,24,1404254160,57576924,200938488
a,9,0.5%,None,36,1220768661,82494753,175121816
a,10,0.5%,None,48,1457536074,145511169,286203720
b,1,21%,None,0,1046427877,74577990,210881770
b,2,21%,None,12,1064067774,52488060,188612875
b,3,21%,None,24,1116336144,41833800,199106941
b,4,21%,None,36,1039771051,32969646,218335777
b,5,21%,None,48,1087823693,41420037,247879720
b,6,0.5%,None,0,719336266,41736078,160229080
b,7,0.5%,None,12,682086988,25591452,163066992
b,8,0.5%,None,24,1015502191,102120039,227495411
b,9,0.5%,None,36,1066111684,86348733,240207484
b,10,0.5%,None,48,927142073,203925318,293806733
c,1,21%,None,0,1097233768,145199520,177169278
c,2,21%,None,12,1008083744,44090922,116272320
c,3,21%,None,24,991018480,55330050,130571814
c,4,21%,None,36,994153656,71413554,122034414
c,5,21%,None,48,1103924560,76449897,173351070
c,6,0.5%,None,0,1304960016,253002075,251036202
c,7,0.5%,None,12,1033944024,151561149,161536908
c,8,0.5%,None,24,868093232,120491958,141313314
c,9,0.5%,None,36,864645624,245589660,161668968
c,10,0.5%,None,48,904572888,186824883,274379574
d,1,21%,None,0,943862415,74767935,225334732
d,2,21%,None,12,738986015,40513150,198562028
d,3,21%,None,24,1068982725,55128705,256680536
d,4,21%,None,36,1119955960,52157790,262122760
d,5,21%,None,48,923243240,22322655,168088356
d,6,0.5%,None,0,1460272155,81086795,318512044
d,7,0.5%,None,12,756834260,52352410,155081200
d,8,0.5%,None,24,888295075,74804380,185239972
d,9,0.5%,None,36,1112356160,99194410,252041448
d,10,0.5%,None,48,897172855,51692885,238104068
