id,type,oxygen,virus,treatment,time,well
1,cells,21%,none,DMSO,0,x
2,cells,21%,none,DMSO,0,y
3,cells,21%,none,DMSO,0,z
4,cells,21%,none,DMSO,24,x
5,cells,21%,none,DMSO,24,y
6,cells,21%,none,DMSO,24,z
7,cells,21%,none,DMSO,48,x
8,cells,21%,none,DMSO,48,y
9,cells,21%,none,DMSO,48,z
10,cells,21%,none,DMSO,72,x
11,cells,21%,none,DMSO,72,y
12,cells,21%,none,DMSO,72,z
13,cells,21%,none,BAY,0,x
14,cells,21%,none,BAY,0,y
15,cells,21%,none,BAY,0,z
16,cells,21%,none,BAY,24,x
17,cells,21%,none,BAY,24,y
18,cells,21%,none,BAY,24,z
19,cells,21%,none,BAY,48,x
20,cells,21%,none,BAY,48,y
21,cells,21%,none,BAY,48,z
22,cells,21%,none,BAY,72,x
23,cells,21%,none,BAY,72,y
24,cells,21%,none,BAY,72,z
25,cells,0.5%,none,DMSO,0,x
26,cells,0.5%,none,DMSO,0,y
27,cells,0.5%,none,DMSO,0,z
28,cells,0.5%,none,DMSO,24,x
29,cells,0.5%,none,DMSO,24,y
30,cells,0.5%,none,DMSO,24,z
31,cells,0.5%,none,DMSO,48,x
32,cells,0.5%,none,DMSO,48,y
33,cells,0.5%,none,DMSO,48,z
34,cells,0.5%,none,DMSO,72,x
35,cells,0.5%,none,DMSO,72,y
36,cells,0.5%,none,DMSO,72,z
37,cells,0.5%,none,BAY,0,x
38,cells,0.5%,none,BAY,0,y
39,cells,0.5%,none,BAY,0,z
40,cells,0.5%,none,BAY,24,x
41,cells,0.5%,none,BAY,24,y
42,cells,0.5%,none,BAY,24,z
43,cells,0.5%,none,BAY,48,x
44,cells,0.5%,none,BAY,48,y
45,cells,0.5%,none,BAY,48,z
46,cells,0.5%,none,BAY,72,x
47,cells,0.5%,none,BAY,72,y
48,cells,0.5%,none,BAY,72,z
