id,type,oxygen,virus,treatment,time,well
1,cells,21%,none,siCTL,0,x
2,cells,21%,none,siCTL,0,y
3,cells,21%,none,siCTL,0,z
4,cells,21%,none,siCTL,24,x
5,cells,21%,none,siCTL,24,y
6,cells,21%,none,siCTL,24,z
7,cells,21%,none,siCTL,48,x
8,cells,21%,none,siCTL,48,y
9,cells,21%,none,siCTL,48,z
10,cells,21%,none,siCTL,72,x
11,cells,21%,none,siCTL,72,y
12,cells,21%,none,siCTL,72,z
13,cells,21%,none,siHIF1A,0,x
14,cells,21%,none,siHIF1A,0,y
15,cells,21%,none,siHIF1A,0,z
16,cells,21%,none,siHIF1A,24,x
17,cells,21%,none,siHIF1A,24,y
18,cells,21%,none,siHIF1A,24,z
19,cells,21%,none,siHIF1A,48,x
20,cells,21%,none,siHIF1A,48,y
21,cells,21%,none,siHIF1A,48,z
22,cells,21%,none,siHIF1A,72,x
23,cells,21%,none,siHIF1A,72,y
24,cells,21%,none,siHIF1A,72,z
25,cells,21%,none,siHIF2A,0,x
26,cells,21%,none,siHIF2A,0,y
27,cells,21%,none,siHIF2A,0,z
28,cells,21%,none,siHIF2A,24,x
29,cells,21%,none,siHIF2A,24,y
30,cells,21%,none,siHIF2A,24,z
31,cells,21%,none,siHIF2A,48,x
32,cells,21%,none,siHIF2A,48,y
33,cells,21%,none,siHIF2A,48,z
34,cells,21%,none,siHIF2A,72,x
35,cells,21%,none,siHIF2A,72,y
36,cells,21%,none,siHIF2A,72,z
37,cells,21%,none,siMYC,0,x
38,cells,21%,none,siMYC,0,y
39,cells,21%,none,siMYC,0,z
40,cells,21%,none,siMYC,24,x
41,cells,21%,none,siMYC,24,y
42,cells,21%,none,siMYC,24,z
43,cells,21%,none,siMYC,48,x
44,cells,21%,none,siMYC,48,y
45,cells,21%,none,siMYC,48,z
46,cells,21%,none,siMYC,72,x
47,cells,21%,none,siMYC,72,y
48,cells,21%,none,siMYC,72,z
49,cells,0.5%,none,siCTL,0,x
50,cells,0.5%,none,siCTL,0,y
51,cells,0.5%,none,siCTL,0,z
52,cells,0.5%,none,siCTL,24,x
53,cells,0.5%,none,siCTL,24,y
54,cells,0.5%,none,siCTL,24,z
55,cells,0.5%,none,siCTL,48,x
56,cells,0.5%,none,siCTL,48,y
57,cells,0.5%,none,siCTL,48,z
58,cells,0.5%,none,siCTL,72,x
59,cells,0.5%,none,siCTL,72,y
60,cells,0.5%,none,siCTL,72,z
61,cells,0.5%,none,siHIF1A,0,x
62,cells,0.5%,none,siHIF1A,0,y
63,cells,0.5%,none,siHIF1A,0,z
64,cells,0.5%,none,siHIF1A,24,x
65,cells,0.5%,none,siHIF1A,24,y
66,cells,0.5%,none,siHIF1A,24,z
67,cells,0.5%,none,siHIF1A,48,x
68,cells,0.5%,none,siHIF1A,48,y
69,cells,0.5%,none,siHIF1A,48,z
70,cells,0.5%,none,siHIF1A,72,x
71,cells,0.5%,none,siHIF1A,72,y
72,cells,0.5%,none,siHIF1A,72,z
73,cells,0.5%,none,siHIF2A,0,x
74,cells,0.5%,none,siHIF2A,0,y
75,cells,0.5%,none,siHIF2A,0,z
76,cells,0.5%,none,siHIF2A,24,x
77,cells,0.5%,none,siHIF2A,24,y
78,cells,0.5%,none,siHIF2A,24,z
79,cells,0.5%,none,siHIF2A,48,x
80,cells,0.5%,none,siHIF2A,48,y
81,cells,0.5%,none,siHIF2A,48,z
82,cells,0.5%,none,siHIF2A,72,x
83,cells,0.5%,none,siHIF2A,72,y
84,cells,0.5%,none,siHIF2A,72,z
85,cells,0.5%,none,siMYC,0,x
86,cells,0.5%,none,siMYC,0,y
87,cells,0.5%,none,siMYC,0,z
88,cells,0.5%,none,siMYC,24,x
89,cells,0.5%,none,siMYC,24,y
90,cells,0.5%,none,siMYC,24,z
91,cells,0.5%,none,siMYC,48,x
92,cells,0.5%,none,siMYC,48,y
93,cells,0.5%,none,siMYC,48,z
94,cells,0.5%,none,siMYC,72,x
95,cells,0.5%,none,siMYC,72,y
96,cells,0.5%,none,siMYC,72,z
