id,type,oxygen,virus,treatment,time,well
1,cells,21%,none,siCTL,0,x
2,cells,21%,none,siCTL,0,y
3,cells,21%,none,siCTL,0,z
4,cells,21%,none,siPHD2,0,x
5,cells,21%,none,siPHD2,0,y
6,cells,21%,none,siPHD2,0,z
7,cells,0.5%,none,siCTL,0,x
8,cells,0.5%,none,siCTL,0,y
9,cells,0.5%,none,siCTL,0,z
10,cells,0.5%,none,siPHD2,0,x
11,cells,0.5%,none,siPHD2,0,y
12,cells,0.5%,none,siPHD2,0,z
13,cells,21%,none,siCTL,24,x
14,cells,21%,none,siCTL,24,y
15,cells,21%,none,siCTL,24,z
16,cells,21%,none,siPHD2,24,x
17,cells,21%,none,siPHD2,24,y
18,cells,21%,none,siPHD2,24,z
19,cells,0.5%,none,siCTL,24,x
20,cells,0.5%,none,siCTL,24,y
21,cells,0.5%,none,siCTL,24,z
22,cells,0.5%,none,siPHD2,24,x
23,cells,0.5%,none,siPHD2,24,y
24,cells,0.5%,none,siPHD2,24,z
25,cells,21%,none,siCTL,48,x
26,cells,21%,none,siCTL,48,y
27,cells,21%,none,siCTL,48,z
28,cells,21%,none,siPHD2,48,x
29,cells,21%,none,siPHD2,48,y
30,cells,21%,none,siPHD2,48,z
31,cells,0.5%,none,siCTL,48,x
32,cells,0.5%,none,siCTL,48,y
33,cells,0.5%,none,siCTL,48,z
34,cells,0.5%,none,siPHD2,48,x
35,cells,0.5%,none,siPHD2,48,y
36,cells,0.5%,none,siPHD2,48,z
37,cells,21%,none,siCTL,72,x
38,cells,21%,none,siCTL,72,y
39,cells,21%,none,siCTL,72,z
40,cells,21%,none,siPHD2,72,x
41,cells,21%,none,siPHD2,72,y
42,cells,21%,none,siPHD2,72,z
43,cells,0.5%,none,siCTL,72,x
44,cells,0.5%,none,siCTL,72,y
45,cells,0.5%,none,siCTL,72,z
46,cells,0.5%,none,siPHD2,72,x
47,cells,0.5%,none,siPHD2,72,y
48,cells,0.5%,none,siPHD2,72,z
