id,type,oxygen,virus,treatment,time,well
1,cells,21%,YFP,DMSO,0,x
2,cells,21%,YFP,DMSO,0,y
3,cells,21%,YFP,DMSO,0,z
4,cells,21%,YFP,BAY,0,x
5,cells,21%,YFP,BAY,0,y
6,cells,21%,YFP,BAY,0,z
7,cells,21%,MYC,DMSO,0,x
8,cells,21%,MYC,DMSO,0,y
9,cells,21%,MYC,DMSO,0,z
10,cells,21%,MYC,BAY,0,x
11,cells,21%,MYC,BAY,0,y
12,cells,21%,MYC,BAY,0,z
13,cells,21%,YFP,DMSO,24,x
14,cells,21%,YFP,DMSO,24,y
15,cells,21%,YFP,DMSO,24,z
16,cells,21%,YFP,BAY,24,x
17,cells,21%,YFP,BAY,24,y
18,cells,21%,YFP,BAY,24,z
19,cells,21%,MYC,DMSO,24,x
20,cells,21%,MYC,DMSO,24,y
21,cells,21%,MYC,DMSO,24,z
22,cells,21%,MYC,BAY,24,x
23,cells,21%,MYC,BAY,24,y
24,cells,21%,MYC,BAY,24,z
25,cells,21%,YFP,DMSO,48,x
26,cells,21%,YFP,DMSO,48,y
27,cells,21%,YFP,DMSO,48,z
28,cells,21%,YFP,BAY,48,x
29,cells,21%,YFP,BAY,48,y
30,cells,21%,YFP,BAY,48,z
31,cells,21%,MYC,DMSO,48,x
32,cells,21%,MYC,DMSO,48,y
33,cells,21%,MYC,DMSO,48,z
34,cells,21%,MYC,BAY,48,x
35,cells,21%,MYC,BAY,48,y
36,cells,21%,MYC,BAY,48,z
37,cells,21%,YFP,DMSO,72,x
38,cells,21%,YFP,DMSO,72,y
39,cells,21%,YFP,DMSO,72,z
40,cells,21%,YFP,BAY,72,x
41,cells,21%,YFP,BAY,72,y
42,cells,21%,YFP,BAY,72,z
43,cells,21%,MYC,DMSO,72,x
44,cells,21%,MYC,DMSO,72,y
45,cells,21%,MYC,DMSO,72,z
46,cells,21%,MYC,BAY,72,x
47,cells,21%,MYC,BAY,72,y
48,cells,21%,MYC,BAY,72,z
