id,type,oxygen,virus,treatment,time,well
1,cells,21%,none,DMSO,0,x
2,cells,21%,none,DMSO,0,y
3,cells,21%,none,DMSO,0,z
4,cells,21%,none,DMSO,24,x
5,cells,21%,none,DMSO,24,y
6,cells,21%,none,DMSO,24,z
7,cells,21%,none,DMSO,48,x
8,cells,21%,none,DMSO,48,y
9,cells,21%,none,DMSO,48,z
10,cells,21%,none,DMSO,72,x
11,cells,21%,none,DMSO,72,y
12,cells,21%,none,DMSO,72,z
13,cells,21%,none,DMSO,96,x
14,cells,21%,none,DMSO,96,y
15,cells,21%,none,DMSO,96,z
16,cells,21%,none,BAY,0,x
17,cells,21%,none,BAY,0,y
18,cells,21%,none,BAY,0,z
19,cells,21%,none,BAY,24,x
20,cells,21%,none,BAY,24,y
21,cells,21%,none,BAY,24,z
22,cells,21%,none,BAY,48,x
23,cells,21%,none,BAY,48,y
24,cells,21%,none,BAY,48,z
25,cells,21%,none,BAY,72,x
26,cells,21%,none,BAY,72,y
27,cells,21%,none,BAY,72,z
28,cells,21%,none,BAY,96,x
29,cells,21%,none,BAY,96,y
30,cells,21%,none,BAY,96,z
31,empty,21%,none,DMSO,0,x
32,empty,21%,none,DMSO,0,y
33,empty,21%,none,DMSO,0,z
34,empty,21%,none,DMSO,24,x
35,empty,21%,none,DMSO,24,y
36,empty,21%,none,DMSO,24,z
37,empty,21%,none,DMSO,48,x
38,empty,21%,none,DMSO,48,y
39,empty,21%,none,DMSO,48,z
40,empty,21%,none,DMSO,72,x
41,empty,21%,none,DMSO,72,y
42,empty,21%,none,DMSO,72,z
43,empty,21%,none,DMSO,96,x
44,empty,21%,none,DMSO,96,y
45,empty,21%,none,DMSO,96,z
46,empty,21%,none,BAY,0,x
47,empty,21%,none,BAY,0,y
48,empty,21%,none,BAY,0,z
49,empty,21%,none,BAY,24,x
50,empty,21%,none,BAY,24,y
51,empty,21%,none,BAY,24,z
52,empty,21%,none,BAY,48,x
53,empty,21%,none,BAY,48,y
54,empty,21%,none,BAY,48,z
55,empty,21%,none,BAY,72,x
56,empty,21%,none,BAY,72,y
57,empty,21%,none,BAY,72,z
58,empty,21%,none,BAY,96,x
59,empty,21%,none,BAY,96,y
60,empty,21%,none,BAY,96,z
