id,type,oxygen,virus,treatment,time,well
1,cells,21%,none,none,0,x
2,cells,21%,none,none,0,y
3,cells,21%,none,none,0,z
4,cells,21%,none,-GLC,0,x
5,cells,21%,none,-GLC,0,y
6,cells,21%,none,-GLC,0,z
7,cells,21%,none,-GLN,0,x
8,cells,21%,none,-GLN,0,y
9,cells,21%,none,-GLN,0,z
10,cells,21%,none,GLC6,0,x
11,cells,21%,none,GLC6,0,y
12,cells,21%,none,GLC6,0,z
13,cells,0.5%,none,none,0,x
14,cells,0.5%,none,none,0,y
15,cells,0.5%,none,none,0,z
16,cells,0.5%,none,-GLC,0,x
17,cells,0.5%,none,-GLC,0,y
18,cells,0.5%,none,-GLC,0,z
19,cells,0.5%,none,-GLN,0,x
20,cells,0.5%,none,-GLN,0,y
21,cells,0.5%,none,-GLN,0,z
22,cells,0.5%,none,GLC6,0,x
23,cells,0.5%,none,GLC6,0,y
24,cells,0.5%,none,GLC6,0,z
25,cells,21%,none,none,24,x
26,cells,21%,none,none,24,y
27,cells,21%,none,none,24,z
28,cells,21%,none,-GLC,24,x
29,cells,21%,none,-GLC,24,y
30,cells,21%,none,-GLC,24,z
31,cells,21%,none,-GLN,24,x
32,cells,21%,none,-GLN,24,y
33,cells,21%,none,-GLN,24,z
34,cells,21%,none,GLC6,24,x
35,cells,21%,none,GLC6,24,y
36,cells,21%,none,GLC6,24,z
37,cells,0.5%,none,none,24,x
38,cells,0.5%,none,none,24,y
39,cells,0.5%,none,none,24,z
40,cells,0.5%,none,-GLC,24,x
41,cells,0.5%,none,-GLC,24,y
42,cells,0.5%,none,-GLC,24,z
43,cells,0.5%,none,-GLN,24,x
44,cells,0.5%,none,-GLN,24,y
45,cells,0.5%,none,-GLN,24,z
46,cells,0.5%,none,GLC6,24,x
47,cells,0.5%,none,GLC6,24,y
48,cells,0.5%,none,GLC6,24,z
49,cells,21%,none,none,48,x
50,cells,21%,none,none,48,y
51,cells,21%,none,none,48,z
52,cells,21%,none,-GLC,48,x
53,cells,21%,none,-GLC,48,y
54,cells,21%,none,-GLC,48,z
55,cells,21%,none,-GLN,48,x
56,cells,21%,none,-GLN,48,y
57,cells,21%,none,-GLN,48,z
58,cells,21%,none,GLC6,48,x
59,cells,21%,none,GLC6,48,y
60,cells,21%,none,GLC6,48,z
61,cells,0.5%,none,none,48,x
62,cells,0.5%,none,none,48,y
63,cells,0.5%,none,none,48,z
64,cells,0.5%,none,-GLC,48,x
65,cells,0.5%,none,-GLC,48,y
66,cells,0.5%,none,-GLC,48,z
67,cells,0.5%,none,-GLN,48,x
68,cells,0.5%,none,-GLN,48,y
69,cells,0.5%,none,-GLN,48,z
70,cells,0.5%,none,GLC6,48,x
71,cells,0.5%,none,GLC6,48,y
72,cells,0.5%,none,GLC6,48,z
73,cells,21%,none,none,72,x
74,cells,21%,none,none,72,y
75,cells,21%,none,none,72,z
76,cells,21%,none,-GLC,72,x
77,cells,21%,none,-GLC,72,y
78,cells,21%,none,-GLC,72,z
79,cells,21%,none,-GLN,72,x
80,cells,21%,none,-GLN,72,y
81,cells,21%,none,-GLN,72,z
82,cells,21%,none,GLC6,72,x
83,cells,21%,none,GLC6,72,y
84,cells,21%,none,GLC6,72,z
85,cells,0.5%,none,none,72,x
86,cells,0.5%,none,none,72,y
87,cells,0.5%,none,none,72,z
88,cells,0.5%,none,-GLC,72,x
89,cells,0.5%,none,-GLC,72,y
90,cells,0.5%,none,-GLC,72,z
91,cells,0.5%,none,-GLN,72,x
92,cells,0.5%,none,-GLN,72,y
93,cells,0.5%,none,-GLN,72,z
94,cells,0.5%,none,GLC6,72,x
95,cells,0.5%,none,GLC6,72,y
96,cells,0.5%,none,GLC6,72,z
