id,type,oxygen,virus,treatment,time,well
1,cells,21%,none,none,0,x
2,cells,21%,none,none,0,y
3,cells,21%,none,none,0,z
4,cells,21%,none,none,12,x
5,cells,21%,none,none,12,y
6,cells,21%,none,none,12,z
7,cells,21%,none,none,24,x
8,cells,21%,none,none,24,y
9,cells,21%,none,none,24,z
10,cells,21%,none,none,36,x
11,cells,21%,none,none,36,y
12,cells,21%,none,none,36,z
13,cells,21%,none,none,48,x
14,cells,21%,none,none,48,y
15,cells,21%,none,none,48,z
16,cells,0.5%,none,none,0,x
17,cells,0.5%,none,none,0,y
18,cells,0.5%,none,none,0,z
19,cells,0.5%,none,none,12,x
20,cells,0.5%,none,none,12,y
21,cells,0.5%,none,none,12,z
22,cells,0.5%,none,none,24,x
23,cells,0.5%,none,none,24,y
24,cells,0.5%,none,none,24,z
25,cells,0.5%,none,none,36,x
26,cells,0.5%,none,none,36,y
27,cells,0.5%,none,none,36,z
28,cells,0.5%,none,none,48,x
29,cells,0.5%,none,none,48,y
30,cells,0.5%,none,none,48,z
31,empty,21%,none,none,0,x
32,empty,21%,none,none,0,y
33,empty,21%,none,none,0,z
34,empty,21%,none,none,12,x
35,empty,21%,none,none,12,y
36,empty,21%,none,none,12,z
37,empty,21%,none,none,24,x
38,empty,21%,none,none,24,y
39,empty,21%,none,none,24,z
40,empty,21%,none,none,36,x
41,empty,21%,none,none,36,y
42,empty,21%,none,none,36,z
43,empty,21%,none,none,48,x
44,empty,21%,none,none,48,y
45,empty,21%,none,none,48,z
46,empty,0.5%,none,none,12,x
47,empty,0.5%,none,none,12,y
48,empty,0.5%,none,none,12,z
49,empty,0.5%,none,none,24,x
50,empty,0.5%,none,none,24,y
51,empty,0.5%,none,none,24,z
52,empty,0.5%,none,none,36,x
53,empty,0.5%,none,none,36,y
54,empty,0.5%,none,none,36,z
55,empty,0.5%,none,none,48,x
56,empty,0.5%,none,none,48,y
57,empty,0.5%,none,none,48,z
,,,,,,
,,,,,,
,,,,,,
