id,type,oxygen,virus,treatment,time,well
1,cells,21%,none,none,0,x
2,cells,21%,none,none,0,y
3,cells,21%,none,none,0,z
4,cells,21%,none,-GLC,0,x
5,cells,21%,none,-GLC,0,y
6,cells,21%,none,-GLC,0,z
7,cells,21%,none,-GLN,0,x
8,cells,21%,none,-GLN,0,y
9,cells,21%,none,-GLN,0,z
10,cells,0.5%,none,none,0,x
11,cells,0.5%,none,none,0,y
12,cells,0.5%,none,none,0,z
13,cells,0.5%,none,-GLC,0,x
14,cells,0.5%,none,-GLC,0,y
15,cells,0.5%,none,-GLC,0,z
16,cells,0.5%,none,-GLN,0,x
17,cells,0.5%,none,-GLN,0,y
18,cells,0.5%,none,-GLN,0,z
19,cells,21%,none,none,24,x
20,cells,21%,none,none,24,y
21,cells,21%,none,none,24,z
22,cells,21%,none,-GLC,24,x
23,cells,21%,none,-GLC,24,y
24,cells,21%,none,-GLC,24,z
25,cells,21%,none,-GLN,24,x
26,cells,21%,none,-GLN,24,y
27,cells,21%,none,-GLN,24,z
28,cells,0.5%,none,none,24,x
29,cells,0.5%,none,none,24,y
30,cells,0.5%,none,none,24,z
31,cells,0.5%,none,-GLC,24,x
32,cells,0.5%,none,-GLC,24,y
33,cells,0.5%,none,-GLC,24,z
34,cells,0.5%,none,-GLN,24,x
35,cells,0.5%,none,-GLN,24,y
36,cells,0.5%,none,-GLN,24,z
37,cells,21%,none,none,48,x
38,cells,21%,none,none,48,y
39,cells,21%,none,none,48,z
40,cells,21%,none,-GLC,48,x
41,cells,21%,none,-GLC,48,y
42,cells,21%,none,-GLC,48,z
43,cells,21%,none,-GLN,48,x
44,cells,21%,none,-GLN,48,y
45,cells,21%,none,-GLN,48,z
46,cells,0.5%,none,none,48,x
47,cells,0.5%,none,none,48,y
48,cells,0.5%,none,none,48,z
49,cells,0.5%,none,-GLC,48,x
50,cells,0.5%,none,-GLC,48,y
51,cells,0.5%,none,-GLC,48,z
52,cells,0.5%,none,-GLN,48,x
53,cells,0.5%,none,-GLN,48,y
54,cells,0.5%,none,-GLN,48,z
