filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,DHAP M0,DHAP M1,DHAP M2,DHAP M3,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G3P M0,G3P M1,G3P M2,G3P M3,G6P M0,G6P M1,G6P M2,G6P M3,G6P M4,G6P M5,G6P M6,GAP M0,GAP M1,GAP M2,GAP M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,R5P M0,R5P M1,R5P M2,R5P M3,R5P M4,R5P M5,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,glc2 dmso 3 a,9429363.05492342,695075.499497647,1089843.06684941,485965.715913884,288840.066172043,2480195.16323464,2453018.75451046,30634.0168790937,216109.126309825,21441.6082824941,0,697128.528418038,9385894.97139904,555222.673478604,7467622.05405013,81220.3252149335,8268201.06933798,967314.79257054,5355014.81630819,963691.458922598,2857534.9729787,632271.241895753,926562.218947516,40335997.9122696,1353029.15246567,7020873.97090916,96193.6768649992,107976937.597759,10691489.6070611,38000733.8265202,6309252.15982035,38012202.7611102,98970678.7545604,14286170.025968,79787911.7642756,12831307.4250059,43830900.7018002,8162511.63370723,14405142.6424817,559707.624918958,0,1723381.98334612,0,769530.734350279,107333.44821543,7250935.07984981,283139.363138844,982428.567308947,3357.67810061072,0,3140483.66630877,915568.23299168,2990213.68487234,218862.730057754,405821.986909463,67360.501404048,5097326.26711374,198777.310303361,57417.3029181978,0,0,3905378.86318012,63890.121407905,4387209.2037995,9130.61895188069,2755934647.74157,153998210.709741,11991332.5593635,6941869.03926734,71579269.8372699,2226538176.28007,1057542795.16638,99503723.7986779,235292512.966148,128191156.376624,70831877.9797574,594706397.108889,93364819.8430059,4576332.68953633,34054892.3033729,843570.754982995,102873969.634657,8646525.04064788,27581910.7792877,4746270.31589713,28296227.2032928,11251385.6419571,689594.588802503,6539903.03263461,123855.384463414,0,440624.502029158,224797.347179802,367751.852195525,208737.460681434,0,90725890.5271548,3248106.59714143,1614902.45435929,19615.9452204967,7052814.71809168,429035.705794346,309735.927473866,65202.8718347687,547383.019052841
2,glc2 dmso 3 b,19218317.9967301,1573234.96982391,3522235.1359105,1743586.55604416,1036685.25287257,8447658.88904862,4881596.44582892,136189.854558037,485938.941959893,112708.208112494,33245.6282907291,1661985.79035965,19582024.6813368,1184816.22605022,16973533.1167575,288314.350081717,9194960.81703395,1130532.91013761,6847843.25411568,1360690.00345398,3721380.43507579,1130389.14481909,1341021.1212867,50319481.4115793,1790005.12289022,11502287.6717902,226593.733466097,139777898.540669,13213429.2807073,48028899.3559522,10196737.7717845,49802877.5667905,115148700.461296,16875390.4332862,98504371.9725669,17110652.5710755,53648826.166821,13515817.5734027,19743674.4614679,792229.945517519,10217.4959474159,1969185.50243178,0,1561633.97026441,347777.465694624,13771178.8445792,796869.488094468,2013319.24053124,14245.9790411039,0,8152586.67911064,1293463.21648997,8202025.27867786,247349.851492527,494283.336758183,152549.025191983,7755983.48684785,329386.398632526,91464.5239585899,0,0,7360234.25983887,242627.203401933,7024469.17030994,44998.375904026,3505971538.79396,194499940.330687,16393962.6773654,9465125.5295921,93191738.6061416,2827563868.07957,1540146561.28917,138973977.165449,330015932.92548,179064373.996537,105282338.289877,909737263.847643,132769976.299883,7485312.22938368,71715103.9670771,1912156.79171159,151563665.07729,13109533.4548875,46629203.3381546,10612756.9998176,49196043.8457761,10194583.7266838,595960.004734439,6627292.79083065,120242.066154978,4106.34614730527,716324.74358722,444547.361881889,511363.984815352,341117.639143852,0,108686867.943916,4067994.93760179,2097849.90018115,0,7101103.88677932,410579.607142542,481616.411582776,129915.648407604,1089900.26333363
3,glc2 dmso 3 c,21912602.2136689,1816049.74842721,3775597.78857186,1849423.01218999,1083291.90233724,9745910.40546082,4683462.98660316,102818.513674046,383291.750931575,166928.485155116,43174.0260751512,2256171.0992668,20702968.9866918,1361466.57041429,18712036.2046441,314277.908446524,8708618.81783872,997588.052755603,6300707.50541985,1147641.69657074,3406674.24871408,1119103.75806439,1296455.10338651,60363293.4714774,2281415.33500215,14766860.0917087,251655.883422609,146524980.783343,13178867.5251952,50061798.6375949,11429529.9317072,55028773.9261384,114984828.512921,15984540.9543974,96256146.287467,16600295.4387875,53416468.2310883,13653826.1903905,19704849.0509353,1883703.7352174,68216.1914162501,3393076.70783084,0,1815873.09651178,394747.57739365,16092091.8058657,1018355.92919803,2384164.50647139,22800.3843092612,0,10155592.7617511,1383311.02722807,10069567.7302968,288278.514109954,537031.576531262,214375.059699684,8298171.74938676,353802.944739385,72266.3241440814,0,0,7735253.88150874,216174.884684781,7437954.04010754,12918.5145843521,3950512644.92471,219550928.00526,19230208.3337029,9942611.7916637,105604731.825972,3202194264.98662,1667213084.80959,145634099.640255,336537807.330027,181451446.326683,108202791.835535,995193066.585401,148378186.152173,7826007.64614445,71515356.7816097,1868536.38111417,152802835.130191,12643886.4525371,47028840.9899963,10806152.3624424,51087471.2607446,15101102.3808228,951037.12687639,10218022.7322602,263593.667356243,12963.2653741225,1082481.72689782,719112.588986195,1146414.57700828,423664.523774647,0,131012838.960611,4853870.37590433,2957987.96283361,0,6855055.88556999,421830.274711765,465956.917066136,106636.652446806,1104577.00017055
4,glc2 bay 3 a,18525898.9201467,1292874.62964749,4221684.98497781,840297.025050673,1227647.54180948,6751635.61755715,5470602.51397045,67182.837930521,1111262.04640286,11444.327364409,110837.130287426,2134091.07028598,22311947.2291936,1355899.39575773,19421802.7639652,363764.643874062,8194088.83335492,702765.311964733,5633492.16651896,676415.870701972,1827446.43494703,845712.405899688,284306.421308042,38040019.0448743,1251445.58107344,9361844.47614966,53492.9907860898,84171959.9508059,4800280.00330315,29771168.3064293,3536123.07227871,8296451.82386771,108008553.724371,11570528.6220417,88695873.188894,9772234.69529624,30104716.3556805,11467238.7896303,5643340.56659394,721018.5172302,5798.76314586398,1770731.03260422,0,5819964.74817767,1051665.78292552,27721196.9142228,1732791.4340392,6257216.58608281,197240.12866587,0,8755735.84171609,1102048.19751088,6636589.00468515,242074.931414285,553842.069707388,120484.817072075,6232296.26654085,254294.00926865,16601.4315558741,0,0,4544551.99224119,114674.964272636,5404756.27315659,11732.7709721794,3441751213.2311,191646611.777618,9189539.6906724,3735930.39356503,89899083.4209331,2794619597.52757,1334956861.34446,99205681.4617063,361966900.868369,72801435.2027341,112992413.551306,634369611.52201,125167034.75988,6579066.37042953,69060737.2959183,1358446.42685288,77773320.8614873,4399136.86114009,21314892.4460962,2619007.0570168,6261349.69054698,7281342.68294873,397515.056428506,4868030.62155107,58517.0001370027,5063.76838845418,1051637.13946952,930917.386439815,764739.026793923,560640.747866955,0,112461429.784389,3783514.94460404,5610832.18778917,0,4976624.21755785,210711.001325903,119271.290153466,5009.68693628126,198960.009162863
5,glc2 bay 3 b,12697988.3872045,931821.044580342,2861446.82790227,525692.8152172,792720.417164624,4662096.69201411,4231159.72416035,89966.2819053482,853636.771480804,5976.64907518996,144209.756964563,1449252.60255569,22316579.287542,1288670.53246825,19513777.2110916,332619.984567951,6491648.50471704,602543.962387806,5016386.80702367,513767.865056535,1529066.45262569,622479.239397258,217376.414904945,26661225.23082,833873.39747277,5686254.56168781,10656.684713264,79390710.1862665,4811152.58824166,27421227.404065,2952271.68889141,7556481.81133919,100514473.382375,11043700.6397901,84653231.411002,9043464.23830409,27861470.7980574,9739584.92359002,5126235.29833251,2219166.92523645,113422.153272022,3431721.15026505,8324.46865718801,5101373.89200392,867088.317685581,25104955.6325912,1527151.84726083,5818036.28552645,132420.035677718,0,6625403.83974598,975095.152483314,5020507.79966597,243212.040791857,514923.758225638,109416.725599189,5894516.86828224,230644.682272913,22463.5173726374,0,0,3853128.55062312,53693.2939474802,4961590.29340806,1871.11748634596,3038425491.40073,170325980.542126,8989831.68971561,2806312.43171551,80203236.422492,2448521546.00245,1189232417.42635,85648371.707524,313936649.923606,61685522.3903113,97173728.4459723,565966857.041263,91644064.3380968,5007672.66524301,53024166.9345373,1075285.36400717,54989140.025081,2974657.7072616,17098297.4116153,1790037.48196319,4748025.31507927,8663761.69428888,526029.180994937,5818106.98657098,57577.0090729325,4614.32912615406,1366391.72593694,1300146.04687633,1109631.57503286,960879.303778015,0,93679980.4888031,3228435.57708443,4692623.71151406,7216.00495977999,4640730.96046337,212591.456375197,75690.5044940323,12403.4254696406,176684.783334246
6,glc2 bay 3 c,13606873.3508357,951841.734601322,3138326.3604183,591900.7615928,888755.361637296,5067525.08881493,3990077.23390728,34037.7790333803,829100.003890687,11674.6693068414,19752.0558568313,1318251.92669907,21075824.1384009,1142332.97167521,18301696.7734171,293695.639218257,6891130.19951692,645711.418866051,5407894.70609368,540283.130770873,1771551.43459243,735423.435806325,262832.84623694,29970342.1574247,1126897.33043101,6575926.47028707,44872.8044846148,81866676.6118954,4798344.06850353,28284852.0727731,3157609.7252859,7989834.99580592,101151941.776883,10895762.2938026,85790490.5838501,9126156.5488313,28846771.1276794,10149435.0757088,5271066.67373827,1177883.91805119,37779.3492246704,2522558.92408377,8987.07646045726,5602493.11680857,995745.741767506,27140253.7945601,1798833.87668416,6497406.56404977,221222.632696667,4484.17276735981,6896978.29309602,919265.133092003,5386287.88976624,227839.699305409,519067.15162033,96213.1869059911,6254605.91049861,249149.551806285,39626.1510969944,0,0,4407205.89823205,78451.0413649713,4908217.82282475,22154.690579380702,3521794560.48536,193343043.860087,10365900.1643808,3792706.28294487,92291129.9650043,2838163429.24926,1234020862.92587,89588396.880946,321588022.942544,65677193.3789118,101265946.988895,591097871.373104,98386916.6500614,5522745.65979461,57572300.8511201,1090521.99249157,55759043.7117158,3110779.79290533,18691241.7150182,1911540.68312057,4974725.08297655,7120579.51956131,411699.159817984,5082048.76613444,82854.3243197128,18353.4736522582,1181993.39973541,1017118.02924481,878068.111374454,684371.958818979,0,108445551.558172,3845329.54804889,4986123.61326311,12057.1842692023,4757542.55136738,229159.636563693,79869.3895637531,8118.13884033271,171734.600953112
7,q5 dmso 3 a,9731622.80666819,1293282.8838136,781278.629074629,3981102.23442457,605857.128912866,16464291.4311337,1781106.28416561,21341.3502101609,56458.5214136733,532750.822752349,18698.0171605115,3618942.55595082,46956124.6701018,1465808.64002337,0,18491.8489866784,11978421.0303314,1560207.41419158,1900784.01973383,1503722.98144607,6930114.79865139,1484670.16298388,0,86080503.829864,2654164.50263671,0,95694.6358423481,128240939.042052,13653771.1645953,24309283.965982102,13120827.450551,97926170.3655886,165902256.468366,22622004.2419467,30003960.4714416,21549753.1517475,103326511.985992,18426703.1858942,328404.330463898,1802144.29450488,17609.4634659178,1396550.44360126,0,20553916.682429,1381383.15063798,413560.768902535,0,1726.91459072502,0,0,16883577.8341143,1052173.55083758,0,15654.2070155974,8786751.32412083,548906.599725788,0,0,0,0,0,12639109.647524,181799.487768975,2357899.98016206,4886.24716090979,68653295.4717041,8647192.94691403,3974224.84198128,24313999.0292079,159091345.807327,4879076820.03566,766612818.841773,117521794.680425,79703496.6500606,408084628.712598,68347652.2815023,1792518110.79092,196942677.471258,6975281.22557879,101901.654784712,684449.923950083,119788145.612874,13004801.0961313,22531625.8199692,12880073.8108131,89984670.9620628,16365580.9738919,600782.096462065,12336.4344666962,50168.8793362547,3556608.91607497,90142.8255698928,0,0,0,0,149194674.211955,4610034.79990585,0,0,4374158.54314979,321449.057480521,434866.825922858,48567.3858435909,1982966.78140763
8,q5 dmso 3 b,11268837.5931546,1548757.98239723,944795.68655378,4611384.17726151,653207.710284477,19184340.7825156,1893708.8397542,40246.7192723916,87633.7761406727,551429.672133287,11423.7568828134,4382340.78073742,51771853.164602,1693770.81275529,0,0,11871179.4423772,1559435.1329756,2045995.49751975,1684203.24494384,6988734.38966748,1620976.47077694,0,62743055.7162476,1798259.26819831,0,0,131276214.039228,13865287.6453257,25425511.9904458,13964750.161301,100759824.334027,176073045.316015,24081952.8115274,31905594.052507,23312529.7768623,109266449.080911,19472647.2701225,311866.922651742,4358512.65772925,118179.200605228,1485413.33701796,0,21918551.578718,1455212.7104711,60130.7154763549,0,0,0,0,18562025.4631832,1068777.40483172,0,19958.1738385854,9799027.49503158,584028.626342278,0,0,0,0,0,13407715.5197926,266639.073555384,2321205.55767747,14813.7217064718,70960945.6106324,8839002.22147154,4605282.85264025,25233054.4920604,154771026.81584,4701847071.45782,799774021.060047,121286697.732449,84523938.2950636,426876411.814299,69836978.1899741,1860297671.34545,186402743.364325,6673179.64884255,151726.805641847,669042.159763044,123895785.166776,14022705.7678847,24259003.7776653,14196078.32161,93768238.4218968,21085116.8636688,746206.951256322,0,97716.3804262818,4522623.40301452,105557.901459849,0,0,0,0,139403463.050958,4202880.27966159,0,0,5065571.38016422,393715.959393417,509021.83600382,50744.1130336861,2156250.83578447
9,q5 dmso 3 c,14759423.1162798,2039315.86362433,1408976.93241811,6736318.24001646,1119759.1226751,30396115.4792731,1789223.01179651,21325.2141813921,63181.379437254,633542.008445081,6793.14184369342,4625684.54727022,64727087.3092583,2143399.3895206,0,0,10932881.4215912,1349971.35209078,1935249.64522335,1915434.36484415,6620947.19079692,1854288.36594436,0,99020934.189456,3121298.39529343,0,114067.778259308,140345754.395976,14182652.2392631,25750298.890508,20536696.1882075,109022311.806355,176516515.139908,23341074.1983727,30873771.2888278,28459804.0578089,112110538.005694,26002876.5001664,613256.370035704,1886252.52648005,8131.49344540696,1621602.3981691,24162.4841240947,33677815.5440512,2269662.52417195,2822.51880077556,0,0,0,0,33028252.3235703,1502057.60101286,0,6109.83978305626,10142749.5316372,682430.753030978,0,0,0,0,0,17260840.2711214,368687.206330062,2499361.22342578,32399.9421483388,80057267.8894076,10518767.2017393,6058891.73154512,30886370.1053427,175687004.993221,5517947077.7389,866666094.912771,126198064.378605,96441937.0167521,461132879.050569,83790197.3908436,2241011297.99864,260770809.789628,9177467.49209646,206538.858398549,1061570.89843627,141754910.463192,14239190.5030053,25882418.8270322,21946770.8801616,107415495.761048,17209395.8599387,600024.757962235,3180.71435937494,72926.1131879189,3158518.16622777,130887.380581734,0,0,0,0,174984160.990312,4916290.27931113,0,0,4756681.34775777,402372.050975534,531390.408940697,68359.0800619249,2723833.66928014
10,q5 bay 3 a,12063473.0408848,726122.299639437,189692.314089089,991727.105983897,355212.265827757,11100699.1931242,3253583.3136003,2376.08384398404,0,22039.2744107739,5791.18878118312,3421361.372925,44895772.7079154,1490155.61850391,3056.208863673,0,11779026.2750667,725643.893176023,123494.176509491,589775.546325183,1339536.96584957,1316997.16092205,0,41216401.2969279,1106775.75535898,0,0,121290718.781011,5499342.57079132,1528754.13492654,5620714.48488828,14123337.1059798,195772850.442005,13912502.4704642,3671525.42966961,10103921.2303889,25181220.503982,18610429.6354105,95668.1485726906,3422906.05837453,69533.7957078442,1208697.86268772,2562.94953724252,46251751.53532,3114667.32135858,5042.43971076302,3665.58685393345,0,0,0,13477611.3299804,826605.447623355,0,0,7045473.0130586,441750.109254208,0,0,0,0,0,6217366.02948753,95394.7559535346,2417153.43386925,0,52078682.0666599,2684387.03139526,141761.935340473,6502249.94078382,147550659.753224,4546132601.7958,1026166916.33372,59795980.8846049,22822154.3383177,112269761.656445,44846350.9437639,1306268127.14895,151353730.470009,5413324.33888581,3529.76924516863,0,71516107.2811482,3032102.80989778,764162.514829713,2929335.35174211,7731236.74135112,17451817.8768567,595246.156380716,0,0,5704365.98745258,169455.252798835,0,0,0,0,129086856.015443,4039882.81582502,0,0,4326719.05002291,172548.366459747,2429.04811227007,2603.10766558939,333691.304566342
