filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,DHAP M0,DHAP M1,DHAP M2,DHAP M3,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G3P M0,G3P M1,G3P M2,G3P M3,G6P M0,G6P M1,G6P M2,G6P M3,G6P M4,G6P M5,G6P M6,GAP M0,GAP M1,GAP M2,GAP M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,glc2 dmso 3 a,48461705.5286238,4200515.81066621,9676786.31296537,1546289.67092213,1791772.51610018,1993337.53860287,6909439.73743913,178615.02517245,1132687.13669105,15711.1272578391,25539.0396463736,21312.3128430508,27354682.218525,1728614.23149576,24619620.6853515,447336.814768626,11989535.5695151,1579921.7294555,9495553.83418634,1164295.85746576,2369358.23783617,237494.640197859,151014.302151696,151461442.758905,6327600.82240693,36386654.4788743,539457.441947537,232619542.624216,19098607.9098546,68439002.831091,6733217.63178377,9357117.56351522,212549907.302022,28613007.505633,171257926.845746,18992174.3777887,41357313.193423,4638993.99078274,4035311.53746611,996720.438946301,31653.1042032315,2988840.00883064,4027.46907721046,2675778.32822225,620651.061396544,23395169.2701946,1366989.30753109,3598293.58633004,51389.5645858906,0,13442222.6912699,1176567.22940005,13088191.7722804,233353.472739576,869182.547204561,181696.247828892,9322242.37143954,398230.862232933,55482.5347849155,4495.28384710268,0,12086060.0228004,553896.251749073,9854964.66250384,18304.5996194499,4836571944.01771,271851194.444938,29561482.6505156,4186279.45752435,14073787.9692114,294304485.250687,2544375074.21614,216905085.399651,537688816.956509,93709824.742583,109031004.120071,127516621.442235,200221356.130643,9492983.18635865,68559541.3792955,1628503.41503387,176440809.815158,14403382.7150592,51622776.6242643,4972958.3206943,7018242.8372336,9181909.13529147,401070.936711236,3674054.03118833,44750.4641064656,192725201.035489,6647655.95574846,3589182.20748018,34215.2931151116,9483382.46738371,365073.786267282,433149.61421255,35957.0739874399,29023.9695655681
2,glc2 dmso 3 b,31126811.0002134,2544979.16594776,6227441.07196231,999424.060594215,1072282.00544375,1259911.06931274,5803210.07422951,260490.746450336,847209.971885256,37144.556520052,10445.0983913888,19781.7477823404,30235181.3176879,1760377.68106698,27293390.5046972,512873.789334444,10997650.2392838,1491792.12526295,8748753.73570327,1098720.96344602,2021273.38697209,182298.900616997,132568.666860443,62316044.3596474,2487465.03530824,12750092.5769165,91212.6634465118,216230739.513369,18066720.8626973,64466802.2127217,6304866.50298299,9065247.61360201,204279218.103465,28154775.4815367,167827411.340993,18839708.8488625,40759875.8154237,4258840.63888709,3938350.39523214,1282567.61197075,67155.8177312403,3587143.92185728,7931.99362773288,2278113.38911504,454463.836639674,20295261.2079536,1072932.95829643,2900488.97436803,11616.9728193932,0,8918008.38686407,1033078.83619748,8527219.9516854,149446.277158838,903931.285241572,197609.148641609,9546192.02454221,362483.31801647,50843.8158372482,0,0,8692359.12455158,315044.514932158,7401042.18165969,13020.9995019611,4178363856.22888,232426167.099695,22609430.7705378,3671115.506968,11739303.0546933,255700734.136945,2249004298.73234,195152550.408194,480258642.981689,86486426.4230503,94468584.9294561,107638543.016447,101880517.40775,5330612.87006233,49372183.8610896,995536.260276992,136615838.420331,11782887.5501632,39636801.062761,4139934.82082308,5286844.53895113,7658760.64355697,373133.185884226,4061059.96286253,38339.3277278181,138325572.06497,4959946.36411283,2396819.7523656,0,8187206.29646878,336513.539758387,360399.483326615,24091.6884196849,53720.8788999749
3,glc2 dmso 3 c,47260922.325278,3776702.88435969,8895097.73550781,1398362.36450998,1686038.47442988,1955728.67969927,6424882.54143224,103237.809776056,864838.254007637,35273.3399496255,53426.7824789103,126732.360013705,32210287.5984331,2021830.88047002,29563752.6697458,544120.946938231,9343153.60638751,1221469.09262468,7588449.04899358,947772.784866988,1735163.24136809,131979.750919275,68523.1732473521,106860821.983713,4734177.91459126,28529054.7375192,505618.024423147,221742019.716985,17083248.9041456,63563338.4669646,5743622.35306625,8912630.03639885,185782767.120945,25303399.2044253,151791251.131002,16634271.9162311,35986585.6855199,4116850.08819367,3623530.85602929,1670226.80012247,78331.0446891462,4111440.26878596,14523.9057147029,3253785.93747747,752601.91617535,27598798.081883,1612740.92628693,4215682.11906041,79250.1478546443,0,13320728.6994172,1233794.01829531,12973723.0042343,281826.503969302,819226.105109954,206663.871856425,10093530.5469236,387260.17971624,35568.9102065823,0,0,11213934.0850503,414870.397663936,9356590.16440269,40929.3187249519,4738518617.99746,268581345.951262,27006522.5908562,3743523.88548386,12276986.7244743,289296661.195838,2538487393.47252,206965100.729345,483420214.402142,80582569.0217973,98496851.5049933,124819591.261124,115013844.335718,6460104.09357811,67143156.6895,1448164.39994042,149618373.215623,11696225.7928836,41953931.445226,3721981.989048,5408974.2724165,6566190.78519591,315415.974469512,3588391.81200614,52235.6760546696,176298955.028593,6029235.28941291,3214988.17837807,0,7963817.3224475,316337.196478191,296032.420600569,5935.85762536173,81681.8033341097
4,glc2 bay 3 a,22166757.6627274,1414682.34239709,3512180.19567789,248539.865809355,708382.252571942,585036.130892367,4364999.12444947,74089.283735834,439706.218355415,0,22817.6056886747,34927.8179218283,25777124.431242,1504892.34675365,22918960.1666979,377829.003489448,7476528.21292839,682014.814210271,4714029.56397087,518382.365605691,1011126.25085743,41769.3506282804,0,39566483.8831212,1381959.71998558,7420401.81745614,57179.1791258985,136930404.384153,7594479.08416784,42135325.6540969,1707468.26018031,1173116.83901148,150198801.49099,15309352.55847,113520068.16196,8195453.61212277,24634334.5305664,1936990.03604245,818075.462403349,946860.409654794,18472.9037392652,2904277.28949022,18298.1386525801,6092858.65067808,1070284.37122366,29725991.2873018,2075132.54435813,7011754.14165605,219406.732005741,0,9862574.73547464,804949.151308143,7654718.9742328,90775.9474953442,844669.868331901,184685.503195476,7883449.34282312,323923.552393285,22898.8447339888,0,0,5416522.0538186,83376.7849198089,5103077.87498218,0,3908862617.71383,219854601.461943,10150241.1105942,75656.5672078003,8413056.03078435,240030952.166018,1759526571.77917,117088345.952794,377846073.104223,29941537.9982301,88233890.5261461,70221306.6282187,89833331.1366048,4302377.80629613,40087155.117271,734119.569093521,65037452.1763809,3229319.36317834,15696067.693787,520088.834027506,373818.6606105,6075408.99342132,244228.437147483,2901887.23523866,24908.7440744468,136741371.590987,4595897.27188221,4129792.1414497,11041.6842466064,6710726.62299326,244130.97201972,47262.2991532497,0,0
5,glc2 bay 3 b,26098508.6004222,1704813.25766756,5104967.2399514,356924.562083722,1055365.93565116,796651.951656116,5741974.90784429,119114.185921275,844430.392141253,0,44507.9796720558,80530.8884647028,30139787.4491538,1784628.35939018,27586004.5597798,470770.748749027,8929485.71208884,774118.29100363,6035673.06097844,531640.447458623,1222604.99104027,43123.8283150242,0,35216548.1138054,1329413.64464135,7736277.53359191,38483.1918517599,140498121.225249,7810541.24881231,40801460.6146314,1655520.68637926,1325281.32593976,179679328.468932,18396674.0148891,138488096.735767,10006798.5209064,29939210.6350563,2341674.81553453,1040741.40803909,2088842.5347058,99851.1384493279,3899126.78553575,34891.1196921236,8697045.34114569,1422948.41123173,41232469.554874,2753917.16400437,10077081.6033465,298903.204276835,0,11811955.6083825,902267.019604671,9116055.5701967,146238.009167421,1073524.82383122,185280.557069126,8612459.10933911,330595.609579847,40520.804813359,0,0,6747312.86107591,142202.098125258,6391497.27694707,12856.4309194408,3809244465.90987,210808560.226006,10063945.3349353,203117.117190951,8320729.56900336,228943845.21357,1837352792.8823,122681402.97466,408948145.561821,33391155.8911155,96612558.8967994,71310790.0785814,92738049.4464018,4643048.72053008,46890360.1332318,889402.624558237,73048619.4701152,3598739.45575373,18568409.3517555,583676.578413167,455737.876230393,6311702.56755764,265389.392201168,3271024.1709174,21576.7832387717,132153120.126386,4345150.30385047,4498190.71043395,18307.293287997,6412314.2356645,199040.601204474,121759.611374839,8794.84073225914,21558.3136715689
6,glc2 bay 3 c,18323314.3682247,1129244.87045926,2521516.07166558,188202.987413636,552406.081090467,447148.857900671,3449686.4949781,11088.9225318966,104754.323950033,3832.94038573258,3904.35990887944,3051.42091756865,21508484.7671293,1228745.56216921,19235558.8458542,339358.205429215,6336848.05595261,554320.438992016,4065687.84096036,351240.315352455,806573.295222425,5758.67085861715,0,34683848.191045,1349627.6078329,6262929.92057087,40536.9226838588,119997720.377029,6388159.19078742,35800794.1914951,1373725.27643795,923877.300410752,149776478.247331,15135654.2567913,112946785.807476,7928342.47118351,23973116.9698312,1746655.71199196,658488.881843937,1631145.23604442,41070.1254609909,3596028.14875562,19508.7765837892,6529863.35047762,1090562.85700264,30166986.8390627,1978057.27702978,7494877.77378245,195892.263170103,0,7884381.90653435,614747.49008274,5828660.85598446,94774.5643959209,864671.396406531,114888.357295615,6746066.1613915,275735.307453734,39460.0328527477,0,0,4440655.98834259,110423.925368412,4821094.13610672,24213.376833062,3430522253.78051,192512415.023381,8161055.04327229,183213.626244297,7543009.42717135,207551276.707672,1458986031.17707,96538433.7357672,298629945.5263,23283053.9457913,70221364.3884284,57284424.7984263,64893945.5259175,3084987.00937583,31172095.4710764,576476.932050173,53428712.3042209,2407100.22635356,12813095.3842072,364077.494227274,272455.995233254,4816099.46627427,185063.123034773,2182602.58484277,18386.5379499236,121054920.891072,3814701.52246191,3532499.43022958,0,6234286.18666692,198699.35495087,70848.4696262193,2818.58731608058,0
7,q5 dmso 3 a,23203365.2527599,2674703.92266331,1408829.00253765,6914448.63043998,1138612.53581313,29824177.022677,2938591.15849591,205220.561336198,20037.2600297035,533894.472818704,9187.32684769856,3897559.7262961,59093372.0054884,1831585.8733439,0,0,14606129.5962549,1597553.96583528,1743037.45650686,1513206.66520314,6145084.27956446,1331864.24973099,0,150365996.353648,4758775.07892657,34137.794748642,241733.446530953,213237200.31062,18378565.7405446,26131284.9335551,18828696.8220863,108016077.096223,245838321.974338,28452140.5616442,31107076.5967522,23310152.5164222,108370005.621358,18645605.6312627,174037.939735006,2978414.32469684,59238.2013353608,2090686.54339052,0,32050332.0816422,2212211.79882052,476812.309607378,9135.16374638812,2498.93499371576,0,0,31349478.7944928,1198370.27950074,0,0,11688662.0550859,608561.856100869,0,0,0,0,0,21653325.9292396,474176.705960001,1987358.76309054,0,95607987.255222,9969256.13506584,5189580.70408865,27441309.0691857,164401470.104625,5033262051.68669,1171498281.62815,147163632.617794,96409768.3345016,461572045.01025,81650938.8493771,2164546074.18359,228034059.654446,7890344.20315862,171797.972400457,640320.246315925,149076263.376702,11935460.1299006,18144362.3350267,12416765.7070831,72180651.2998875,15699894.5164012,501173.482776032,4044.2529496569,35420.6627341515,198784704.150265,6564133.72697405,0,0,6541014.89632808,296861.559705473,318240.67854761,37907.2640443248,1468561.23705053
8,q5 dmso 3 b,23838853.3796914,2873078.5186659102,1555557.26292588,7337145.4020736,1193799.6656035,31302298.6257753,3576510.87247507,87726.702575275,11859.983614741,592654.502072081,13528.6764357367,4759207.54703615,57900685.584184,1922039.97707358,0,8324.51795223448,14783546.6979446,1739103.26851506,1831572.31016369,1640514.72596577,6154074.98845405,1491330.19016505,0,99586749.9271881,3169637.36052468,0,52923.8840332556,198081464.106903,17771133.9840598,26166648.0482369,17950039.2696208,102315558.885669,245730352.910358,28920726.3309477,31410285.1261915,23974849.4412534,108666123.91286,19411106.1510449,271071.862982883,4492703.70414548,93748.7074120343,1929336.72435236,3922.72588076928,30389479.0359132,1983233.43555878,31563.8237405952,0,0,0,0,28762079.287342,1281139.18983582,0,0,13150001.1356039,731044.872852057,0,0,0,0,0,20479107.3241757,416263.031934265,1998332.4991773,20810.4411803095,89435993.9459325,10548466.5372158,4650420.41227572,26909931.4841219,150669141.749811,4662773212.13122,1130595830.42787,145704092.553007,93752419.5295741,453472644.401641,80334788.3073142,2091116996.58037,213486096.471279,7295110.99076387,149565.356081786,606123.286959849,147290831.626142,12820785.7707258,18586746.6788653,12487630.9837116,72888085.4175361,15591667.3165309,470181.574223601,6170.98365827449,39731.2831306804,169675174.619254,5535609.67406607,0,0,6870193.85858743,265550.942112224,341831.777322634,18494.6748092146,1553242.94079069
9,q5 dmso 3 c,20830618.0162359,2184643.21080615,1086478.3973398,5431900.74352551,960204.007841146,24755805.274329,2381424.59874084,56631.4888707868,9257.73452074358,460357.022789665,2735.88965564079,3007430.98768283,40883210.8370772,1307448.09043857,0,0,13035505.4834967,1321148.30291743,1325809.25544309,1223533.52639298,5257433.33026393,1037181.31171943,0,117944364.036457,3886635.83973607,29594.221353051,100736.856560365,176652611.045295,15773365.5637632,22854118.6456561,15086774.3768231,95463882.4582291,238048945.94883,27440101.7642977,30267651.8092305,22209009.9429004,110228891.521732,16841230.9172182,269161.877002709,1890898.67912856,18157.6289963388,1817654.00462216,2743.81154423806,24550518.0164514,1668074.85334523,16223.3121696608,0,0,0,0,19577470.6778686,840280.696977754,0,0,9983183.46937173,594099.898202142,0,0,0,0,0,17211521.9928695,332387.847757284,2294595.03786827,13434.8100207109,77304564.0654874,7408074.66099916,3982652.30526278,23908169.6219718,148953189.551979,4604238212.95657,970071111.177139,124003010.267795,80163846.6893523,395541536.033377,71535510.7200333,1879572651.00238,162577958.315817,5433090.47714819,48870.9522270923,371907.978475426,130450868.220549,10865680.6906885,15184670.7426465,10029817.5971015,62731618.0005587,10365004.6753936,311057.692175212,2060.6135495843,27660.7450665722,178279556.262405,5777991.49707448,0,0,5711711.82692746,221842.468075894,222930.465133775,27133.7593276421,1201459.92548395
10,q5 bay 3 a,19995210.3802077,1125559.18982287,202340.045164924,971610.681931169,502847.601673452,14545404.6618568,3584472.33738842,14265.372354516,0,12682.4214683155,3489.33863897279,3094777.33022892,41404263.113648,1272262.96929706,0,0,12312060.5067903,790269.579680597,46035.6502434222,473128.776331593,991464.745751982,994042.723192466,0,62432765.3010748,1639715.04211724,0,0,161992819.841231,7266306.44622961,1274127.84019273,6341905.60964486,11465263.5506449,242247340.959849,17330931.6627176,3439940.72256792,9485566.97216497,26797025.1980261,17028842.3200898,69602.8931078523,3203321.15349447,41131.9633910755,1545248.77578948,2291.36975662348,57057400.7091707,3787860.92190364,16987.5744028697,0,0,0,0,18924018.5849366,859276.92872335,0,0,8555743.37768344,519027.071892178,0,0,0,0,0,11329162.7549191,200249.763941478,2504465.64513538,0,53862767.1773805,2972672.37170662,123953.803893859,5387351.73777509,132626978.979371,4137487762.24513,1158276085.04603,65056619.2545724,20507865.8130428,83256663.9487806,41873454.2124836,1274834559.26811,162039899.374542,5424336.00364618,17390.8633390141,0,93779360.803613,3977426.97990745,504587.231461628,3210496.13987795,5513648.70965305,11550113.1243041,354194.310661851,0,1617.3082618355,148666885.249553,4552139.86954443,0,0,5604263.90722849,124452.613887077,0,0,289144.761914739
