filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
1,glc2 21% 3 a,9998092.964,627232.8885,9870780.251,12521447.07,474630816.7,34089311.44,402445919.9,8039837.922,8925964.647,619198.9195,4491660.447,99794.37125,68541517.05,6436276.861,1485257.263,24714.92325,80126.13931,3212.134725,117623372.2,11730692.78,23243931.38,2288096.014,4534908.34,232631.95,5424692.751,378058.7033,148791.9562,0,26340790.75,2411533.484,10079523.23,537673.0021,466031.7173,649150.7322,74868.94736,151098.6754,29458.05382,57651.12559,51570.24223,337824.6161,16051.14989,26271.17808,5284.233864,87930.89974,483101.457,51293.79514,186035.4753,2776.293914,13745.99859,0,16820918.98,1487546.83,6110184.231,364379.8676,321522.2933,2371035.805,355491.404,2324003.32,196610.7249,518666.8223,20223.74952,32594.02288
2,glc2 21% 3 b,9291286.926,711886.2131,10771102.9,1995653.591,487940203.5,36241423.09,470580161.1,8823424.159,7829660.363,592789.2417,4236794.579,96711.95681,67127768.5,6297423.177,1642035.058,66727.18317,84290.13458,5140.691303,110454631.7,11019556.14,22049132.1,2031526.791,4474483.579,168218.6673,3825870.469,262508.8973,164848.6693,15067.9937,25752725.59,2357441.041,9594385.945,569087.3076,468961.664,853653.7853,87752.26343,196529.0653,18034.2908,139586.6962,26926.96151,487339.8664,18058.42792,30047.68435,7125.103231,0,612205.3201,63317.87092,232091.1237,2231.872723,12528.95833,0,16216956.19,1455928.218,5900171.468,330267.6108,314737.4691,3221403.255,486888.6299,3492446.743,299606.6156,757046.2034,44825.34233,27038.92092
3,glc2 21% 3 c,8299015.568,665325.8624,9675124.639,784745.3894,452316458.1,32593905.36,413443688.3,7742022.749,7989441.099,549114.3476,4021376.314,93398.96525,78418018.05,7309336.725,1645009.922,51063.84224,90536.94008,1531.772724,122239530.1,12391517.89,23470861.92,2236094.431,4437141.459,154841.15,4838070.7,329358.4729,144521.7788,0,28568710.5,2556597.682,10532291.33,542883.4014,523686.267,702648.2554,77416.93227,133104.5528,12805.71495,17271.87699,20386.96208,500723.1838,36854.7318,25259.42772,0,0,533091.0002,50924.28765,125249.6427,2648.225273,12293.63178,0,15272017.6,1326068.074,5485375.716,300204.7158,337370.5659,3493723.158,537432.5669,3602359.464,311345.5259,816940.7818,43950.18562,23293.539
4,q5 21% 3 a,17600044.88,883959.7814,164932.0744,1293086.202,959307663.6,45921942.32,11672212.67,5782569.9,11328570.19,616296.3049,146786.1371,80136.89512,1099230.683,120389.0718,92768.6386,864814.0774,4710443.079,157370908,22896122.17,3504423.054,5516753.953,22569638.12,7871610.092,241568980.8,5659547.193,327408.5401,67048.23853,3109.46137,17211140.06,1707444.568,3955582.139,11945957.58,25587811.69,349520.7889,37492.74637,71863.15047,133271.024,402354.5435,1629575.795,375019.9823,14904.50377,28604.51767,14756.23215,431253.5537,101733.2764,15798.5336,25836.45262,124748.1071,40278.55677,1314752.272,9073424.313,853283.2446,2158155.525,6981499.27,14207344.78,3138232.918,431133.9703,682223.2365,1617856.981,3532892.847,2229941.929,67391.99814
5,q5 21% 3 b,12902515.29,560187.4367,84154.30749,716570.1819,727983154.2,34660142.32,7876013.028,3668499.913,8215384.956,494038.9265,94476.08937,78132.87798,806916.479,71892.56083,64600.40774,588975.6563,3267823.304,109597461.4,24041773.77,3510609.07,5619600.566,22728204.55,7688914.7,226660564,4765738.986,344261.935,90380.78762,13126.7016,14875901.55,1479639.578,3328164.33,8841573.724,20624296.05,292187.9458,38370.51481,75127.34589,106020.1287,244050.1258,1111982.684,135193.9882,19998.48174,29430.922,12616.54622,417415.8074,97498.01268,15333.39447,20169.33839,110463.6094,29635.40239,1149602.516,8606888.273,858502.6712,2023506.629,5836524.779,13142527.34,3511730.931,514291.5349,758430.7708,1647300.548,3985295.329,2161656.031,83178.85191
6,q5 21% 3 c,16122287.36,792193.9357,127107.5327,386510.522,946649872.8,45192029.96,11147252.61,5016388.257,11303000.48,639230.6738,148580.1115,94646.3227,1139486.086,109097.3075,139171.3634,936416.0888,5028547.018,163119860,23908427.37,3411948.003,6075056.531,24328354.85,8931489.12,261613609.3,5822214.906,406744.9781,52492.51862,12663.62935,16564739.25,1637299.131,3762714.171,12596027.96,25594203.63,340059.8812,44786.83311,35272.95087,136178.4493,223598.6575,1619684.449,269290.3297,25024.99289,34423.95993,17438.17333,393840.9462,103060.627,15670.6805,27124.9284,120671.3886,37791.50494,1531301.93,9157308.278,878249.8015,2299258.439,7720896.517,15643403.41,3540737.176,464170.3729,677434.2049,1752524.015,3757247.431,2246332.612,75181.4224
7,glc2 0.2% 3 a,4398861.068,303929.9972,3679967.33,516892.7879,183588996.4,10286331.79,81915383.27,1219299.071,1727483.708,148385.1702,405088.0062,10640.92761,22013432.49,2006054.933,394794.6725,3047.437589,18206.84788,0,24574342.31,2415065.457,7146809.704,573669.8702,1717374.409,58969.87768,1794471.261,106623.2429,25047.72339,7809.124749,8042169.016,674841.6001,4103323.055,220694.9622,131535.9803,199111.7807,25297.80301,34076.3324,3267.608054,14468.97707,8182.01924,183223.3534,17820.24629,6073.116201,2726.235898,0,150457.2946,13967.4918,46014.4639,1109.303195,12125.13858,0,3809437.96,296987.8194,1528885.275,56899.81419,138457.9115,2749177.612,359888.637,2329462.746,184760.9808,609593.8211,42249.01372,3199.988356
8,glc2 0.2% 3 b,5760701.705,349768.739,3677008.706,287593.4581,310082168.2,17161656.78,106787671.5,1615248.065,2786627.633,176363.2312,575696.3553,16473.03826,26129928.03,2383602.362,524152.1955,8076.940476,15713.98028,0,29482137.4,3000173.557,8912419.841,709535.2576,2309301.455,38048.3518,2110789.813,140087.9622,48203.56871,0,9372754.662,812877.7641,4867150.049,202088.2347,156152.0089,315543.715,37357.87277,59921.33023,4638.90211,25863.09933,7655.263162,171432.279,6581.504655,12853.02882,2329.818887,51097.31342,219244.9241,21622.18273,68008.51683,1476.875413,11114.38749,0,4299639.931,361748.2824,1894867.624,72274.13975,58280.94166,3530047.52,475623.9258,3259377.6,255539.3485,868424.7449,31836.31241,3731.572074
9,glc2 0.2% 3 c,4008614.525,280912.0421,3721827.518,293459.0304,185784117.9,10888893.29,90547228.75,1421559.358,2105897.824,157914.6526,521435.5632,13349.02217,22716354.57,2066579.513,391505.4553,4029.949027,19441.20729,0,29742370.04,3039795.972,8921187.7,721794.9779,2251961.943,65149.60798,2002391.001,123943.0012,57988.121,0,8045276.805,701684.4998,4219509.239,175952.0979,122154.5449,323779.8143,40955.17702,83329.23797,3655.941824,59231.78592,20389.96672,265453.5815,15994.59423,11819.2084,1195.646064,0,193887.2944,18083.78839,59904.60436,2914.224085,13179.50315,0,3669053.217,291659.5995,1588422.001,60308.74214,53174.16909,2982263.331,406414.3647,2639986.028,209730.1522,695241.7048,21887.29157,10292.76319
10,q5 0.2% 3 a,5920941.284,281257.6149,21888.76912,984137.3036,283385215.3,12785585.89,3097641.646,26893.97949,2461270.767,160284.5208,51722.26456,0,456995.9944,24441.75234,7551.946401,79786.0637,1723281.405,56775927.03,12347008.63,1192120.751,1259711.773,3561301.42,1651050.155,52946034.41,2472057.27,150641.8596,26421.41515,0,10479861.24,754205.531,543017.4965,2018978.896,3201167.273,183821.0168,25137.93279,8603.236297,16166.511,15729.67714,247832.6731,134280.829,5663.632616,0,0,103334.6991,67143.05464,5475.928598,0,20554.99941,11847.17631,327186.4257,3885895.419,261403.9864,199533.853,725784.1185,1356548.789,3447587.75,344464.3633,192711.4865,683129.0433,833267.4183,2051442.472,27298.81545
