filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G3P M0,G3P M1,G3P M2,G3P M3,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,palmitate M0,palmitate M1,palmitate M2,palmitate M3,palmitate M4,palmitate M5,palmitate M6,palmitate M7,palmitate M8,PEP M0,PEP M1,PEP M2,PEP M3,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,sedoheptulose M0,sedoheptulose M1,sedoheptulose M2,sedoheptulose M3,sedoheptulose M4,sedoheptulose M5,sedoheptulose M6,sedoheptulose M7,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,glc2 21% 1 a,13666851.15,850391.098,812626.0579,0,0,0,6700796.071,0,133999.152,0,0,0,37953885.57,1615649.46,31127599.22,354919.9804,19675821.82,1795366.859,7751250.253,514815.2129,814925.6766,0,0,12963895.38,992868.033,1230125.085,0,690116702.3,54387595,115206726.7,9070308.136,4443101.531,227042175.6,25041887.98,99337726.85,9032855.524,12730657.21,840952.9555,72891.02315,1871195.724,101232.1172,26492631.14,961631.8178,2571366.384,0,0,4929782.394,877428.4658,2717090.066,0,1677306079,144738686.5,264664517.7,29251528.72,24754186.41,1818352.332,676708684.6,35726914.97,2397947.704,0,0,0,820892978.3,28967570.25,78587824.04,1170022.586,181402158.5,12790778.71,25601346.48,1463083.92,517692.6204,213432892.9,37012847.98,4975286.228,0,0,0,0,0,0,9651905.1,379981.0784,8856455.977,85186.75506,93121107.2,3653770.679,22953603.22,287178.8332,57807.6619,0,0,0,0,0,0,0,32730490.76,1002780.279,313211.1226,0,16245335.36,1488484.331,654241.1068,27397.88513,55069.18658
2,glc2 21% 1 b,15790668.08,943083.588,664339.4738,0,17891.57968,0,6359089.067,0,0,0,0,0,35390312.13,1601489.945,29468431.25,293956.8918,20566706.97,1894999.062,7214438.759,576925.7643,838387.237,0,0,12448958.68,924635.3035,1109400.314,0,667341710.1,52658856.65,110126232.6,9238013.99,4271712.656,208043802.6,23634003.4,93047803.35,9010567.008,11946800.99,721947.0316,73960.72629,1997908.7,154375.8056,26509465.92,1028353.449,2431352.577,0,0,8093640.683,929519.8652,2659285.125,0,1746009465,153346704.1,278286920.4,31466413.82,27821350.83,1953720.796,692445073.3,37102962.35,3369635.112,0,0,0,659517211.4,24788871.82,79300766.52,1178980.044,182905957.6,12190106.39,25473136.22,1872862.933,537822.3692,320439198.3,56207022.21,5451540.704,0,0,0,0,0,0,8952681.57,396262.3886,8775711.495,88630.08814,74032921.21,2722376.93,21232200.97,183650.571,7850.650097,0,0,0,0,62183.86518,0,0,37766096.47,1179061.396,277256.7486,0,18497308.09,1307307.045,647133.8233,41567.05988,128610.7991
3,glc2 21% 1 c,9076199.136,628490.2944,630899.311,0,0,0,5093785.595,0,299014.5155,0,0,0,32738537.75,1477117.015,27160816.81,259473.2072,17594172.59,1772294.365,7581819.658,555462.471,966435.2805,0,0,11609825.02,909059.0679,1159742.901,0,627827829.7,51167554.16,111378195.2,9326678.293,4563188.179,209588592.8,23450987.29,98951161.82,8977948.341,13143260.72,906691.1776,86333.20012,1957682.5,113761.2986,26064273.57,991491.651,2735719.781,0,0,4453239.603,852401.4412,2509913.626,73823.15946,1500801606,131878765.9,242528742.8,28069376.25,24007080.83,1798990.18,643173195.1,34582774.56,3050641.497,0,0,0,413256009.4,15539827.12,78662609.37,1167899.711,162920207.2,12416826.2,24931222.69,1665365.801,514739.6521,290330928.7,51807668.4,4243470.626,0,0,0,0,0,0,8424228.084,364965.4289,7391150.985,77745.88466,63828117.62,2508972.843,18985604.71,143526.8959,0,0,0,0,0,0,0,0,25583397,747162.4111,267275.6953,0,10297982.48,589116.9366,492825.3039,0,89209.83891
4,glc2 21% 2 a,12003123.48,885886.8728,1832874.094,144356.7057,225202.1325,0,11655213.98,372720.0331,779733.2349,0,0,0,50182418.17,2422050.577,44163168.98,622089.2825,22935327.67,2974509.659,15576237.12,1754650.303,2738767.872,105355.996,0,18036788.18,1895512.324,2662000.969,79364.10818,928879162.4,90316147.22,231388748,26594665.43,13394515.65,285505084.7,40344192.67,200451883.5,23741920.16,37608757,3987843.456,1471281.345,3602433.948,409553.1288,41844211.99,1939547.095,4912079.713,0,0,6354615.203,1157521.297,5025180.902,98914.98518,1934132977,190363678.2,422471430.6,65632534,60490291.86,6424349.748,1094092467,61542866.48,6376929.379,463855.1594,306559.9388,0,786805098.1,33005566.45,223866240.5,4137184.151,250408074.5,22834505.58,62601598.51,6465812.384,3076570.677,338151869.2,55079144.95,6578529.591,0,0,0,0,0,0,12899101.51,538357.9725,12436042.92,163375.5002,107575548.8,4893656.005,54567203.85,819739.6302,5337.924264,0,0,0,0,0,0,0,47952369.71,1595231.874,596075.9678,0,13790591.52,847308.4458,1033589.822,85284.41885,71407.73925
5,glc2 21% 2 b,11415750.75,800391.8293,1566798.676,167858.7703,180875.5019,0,9011074.811,0,973602.297,0,0,0,56477762.63,2865766.622,50239939.94,710009.319,23251079.87,3150999.062,16079697.93,1863968.232,2748914.038,104493.0195,0,16343342.91,1828564.236,2397563.287,74519.08857,843772525.2,85467055.42,210198243.1,25078688.33,12612386.04,299733170.2,43153004.34,211470621.9,25942994.27,39435890.79,4275220.885,1650143.905,3400119.292,330600.8368,39514112.41,1765594.752,4536590.828,38045.71624,0,5275110.51,775362.5142,4106210.896,114523.1755,1968197921,197857447.6,440298053.4,68797763.93,63377363.49,7323365.346,1076444731,59753765.88,6734447.708,493519.5343,448325.0943,0,686868508.4,28409366.61,185333259.8,3211202.711,231842803.7,22378385.71,57213275.37,6402798.555,3018510.562,425300766.1,75186645.41,6927811.272,0,0,0,0,0,0,13752962.11,646735.5127,15089614.01,179278.9334,69509239.25,3095491.312,32632310.46,445480.1437,32500.59185,0,36498.95295,0,0,0,0,0,36995890.86,1166014.256,485596.0653,0,13652248.88,853071.6271,1085419.132,138409.9519,100613.0185
6,glc2 21% 2 c,10997469.8,816076.8846,1528212.015,203826.8345,208673.2923,0,10510853.35,0,936922.0102,0,105105.2056,0,60309226.52,2983018.1,53924608.36,789708.9001,25483264.25,3361812.981,16936855.47,1901276.777,3024625.665,182070.4533,30752.2423,17032045.05,1665646.839,2691222.619,105567.3985,921804869.7,92518751.76,232678340.9,27652792.61,14228700.75,321171037.8,45817123.8,226592215.5,27839538.54,43042975.36,4416935.721,1833420.925,3689690.982,391798.2765,45407099.09,2116673.088,5204878.748,52999.79258,0,6067421.17,995496.4502,4983940.885,77519.60056,2401005578,238222611.8,535150062,82888232.39,80393656.77,9171104.933,1284732153,69655646.39,8041303.867,586989.3475,469968.5684,0,571658559.1,24987662.83,205534331.1,3605428.616,239051935.6,22962951.83,58542994.26,6394527.422,2821225.107,511810887.6,88456456.38,8698671.835,0,0,0,0,0,0,13982294.6,644788.4703,14246561.86,146219.9761,84292311.33,3953719.43,45561735.84,674004.8712,0,0,0,0,0,0,0,0,39252251.22,1312767.259,555888.1755,0,14183348.8,983097.7972,1009830.175,122676.7121,110305.6783
7,glc2 21% 3 a,28009071.48,2308466.612,4607327.91,650097.4364,787959.631,42206.27699,22941157.34,1179721.58,3787358.67,0,0,0,74694452.54,3740337.966,68806322.15,912656.0896,32394455.76,4096782.633,23799679.66,2727145.651,4891052.191,0,0,25777933.11,2471321.218,4573157.503,178878.9688,1217294774,112543365.4,341747598.8,33300735.95,20596654.81,361780772.8,51998528.03,278584704,32543340.1,58783599.65,5441477.35,2368433.153,8446060.12,988364.1885,80543965.03,4294733.931,12224835.31,176073.766,0,10532591.96,1251590.08,9139709.772,191898.5714,2900953664,271676763.6,627668868.8,96436215.17,110374724.4,11877610.8,1304660936,74041358.08,10609605.12,574398.1616,846670.0144,0,1098672390,54074648.71,528792737.7,10363791.05,508378873.3,46115564.99,142158861.4,13114937.39,7992646.353,536550899.1,94256453.85,8401790.687,0,0,0,0,0,0,17616128.83,880789.442,19469218.23,246790.3688,84856771.16,4525271.144,53180280.63,949169.0523,63057.70745,0,0,0,0,0,0,0,68033188.1,2332563.308,1384908.269,0,14664208.61,833994.1962,1380080.026,133274.2821,129305.0159
8,glc2 21% 3 b,25390592.14,2116225.454,4582681.771,633638.154,657437.799,37857.52206,22843425.62,1140960.433,3959003.631,0,147702.5239,0,75950320.08,3788958.465,70883165.04,923182.6291,35210329.94,4732428.286,27824966.61,3086019.762,5842775.09,352287.4468,0,23644037.19,2370634.262,4169096.776,179304.3872,1151098619,110485091.9,323283505.7,34944994.45,20583446.45,377282158,53919451.78,294073410.4,35836386.65,62599870.43,6050726.837,2899722.773,8609040.926,1021882.745,80949715.46,4231443.683,12175420.19,195621.8848,0,9970731.739,1502847.803,8939794.211,0,2763897569,269742239,636824558.2,101071537.4,106427347.1,11727259.12,1238427547,69440565.15,10491581.02,635478.3798,846058.6504,0,1030072531,50800071.3,499679225.4,9730145.1,484415948.2,45713577.49,138149092.2,13541613.51,8122612.133,547369425.5,92643966.89,8542543.986,0,0,0,0,0,0,18434178.01,853387.1614,19992460.4,293380.0717,92408500.54,4930552.801,56063681.38,1003355.387,0,0,79198.64973,0,0,0,0,0,56942096.08,2015460.466,1016206.823,0,15049802,969741.8249,1483175.689,203525.8165,170156.0883
9,glc2 21% 3 c,24114899.35,1915183.488,4416222.392,623372.6257,688068.5226,18564.26221,23340185.24,941943.4582,4116424.259,0,0,0,67549656.48,3214271.827,62223741.53,785485.0521,34289258.13,4596323.143,26163395.08,2947025.925,5606555.082,447703.7961,79764.67393,24741861.58,2404487.065,3886777.871,184503.5875,1137851446,109076006.4,322932341.9,34613486.55,20080455.53,391739111.5,56234897.53,303883285.9,36715425.96,64096423.12,6065437.755,2861209.047,8329085.865,1123148.821,79342364.61,4095494.574,11996040.12,157992.7978,0,9579462.272,1552510.371,8773516.672,211110.4764,2795912980,268163870.3,625285925.2,97957274.24,106670310.8,11577414.97,1284084882,70780803.81,10579019.74,825214.494,1114817.146,0,951032359.5,46481749.49,481975377.4,8980537.81,498851854.4,47380218.97,139863664.2,13487014.22,8256158.309,414118906,68923475.51,6501036.778,0,63548.7056,0,0,0,0,15996192.55,745883.8975,17669670.68,194689.1379,74241268.41,3829821.668,45840394.96,794128.4142,0,0,75938.59397,0,0,0,0,0,60187858.51,2206840.968,1125582.959,0,21418468.78,845227.1174,1394584.408,164281.6274,151185.5877
10,glc2 21% 4 a,43082896.86,3333357.716,8609692.997,1380965.426,1272808.862,80675.39102,36845057.74,2429966.375,8365696.19,506663.5819,119169.3404,0,93770357.17,5108278.021,87436739.1,1500155.894,47308323.69,7088112.712,35295268.15,4876001.562,7449898.773,707151.2901,74756.5198,35864849.44,3216967.046,4840287.018,268756.134,1393385653,150126154.9,382816387.6,49085494.12,25376570.49,516703783.7,86058089.17,404155325.5,55679828.57,84148282.96,9910280.751,4034907.798,9261037.69,1511571.071,92979115.06,5005225.396,12305649.69,354857.4736,0,25470755.3,2684126.167,25272901.09,755843.6106,3525873230,359454566.1,835996093.7,142567165.5,139123961.8,17158557.41,1315613522,74589012.15,15212947.81,0,1518886.053,0,1737695471,99987499.09,975654718.3,24074546.17,716467510.2,77007173.23,202956074,23315350.84,12499133.91,508519762.8,90932252.6,8691126.083,61944.26062,321389.6982,0,0,0,0,21166160.23,1127793.965,26777488.88,448156.3974,102762500.8,6387516.911,71417374.16,1627035.861,0,0,296048.5753,99022.50559,0,8995.814364,0,0,69790003.89,3602794.69,3292109.887,0,30066553.63,1831920.52,3277945.68,552864.1091,382937.1804
