filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G3P M0,G3P M1,G3P M2,G3P M3,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,palmitate M0,palmitate M1,palmitate M2,palmitate M3,palmitate M4,palmitate M5,palmitate M6,palmitate M7,palmitate M8,PEP M0,PEP M1,PEP M2,PEP M3,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,sedoheptulose M0,sedoheptulose M1,sedoheptulose M2,sedoheptulose M3,sedoheptulose M4,sedoheptulose M5,sedoheptulose M6,sedoheptulose M7,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,glc2 dmso 1 a,23134779.68,152442.3478,304028.2373,0,0,0,2797516.651,0,0,0,0,0,22609252.85,994955.4975,18664546.52,157323.1547,9214417.258,701359.0977,3408951.361,147828.4165,317895.1389,0,0,12029954.22,963582.8634,1354473.946,0,586690615.7,47117685.44,103026989.9,7898724.672,3853784.334,151275493.7,16304533.43,62768067.27,5503194.304,7722830.377,400465.626,0,2193758.442,192961.5872,23518410.57,903101.5516,2313043.791,0,0,4243967.568,1105111.386,2672165.586,112334.1775,1337672749,113698475.4,214823967.3,24091869.37,21656420.07,1350635.906,672200715,35154191.99,1993771.292,0,0,0,560357799.7,21666389.53,90389708.38,1439416.451,149788194.7,10220641.62,19727733.94,1119251.209,312302.9289,119722303.2,22646020.17,5467554.181,0,0,0,0,0,0,2889587.035,60623.16892,2471517.276,0,70100388.26,2348202.695,16200338.41,131833.1255,0,0,0,0,0,0,0,0,26964062.85,767485.3337,381874.9681,0,22247542.51,572405.2582,559352.7355,42169.80785,0
2,glc2 dmso 1 b,4439221.622,402082.7776,297119.2937,0,0,0,3214361.933,0,0,0,0,0,25599381.86,1053346.764,20513856.37,264710.5806,8349391.307,753340.641,3309880.043,128613.4437,260677.4988,0,0,12119176.21,1054363.036,1376341.314,30557.21488,587514590.6,47007789.46,101229132.9,7565266.471,3625748.501,151683726.3,16223088.76,64889560.02,5615214.946,7715525.023,355332.3228,40218.50563,2114853.231,164558.2,23597752.83,725405.6093,2206598.323,0,0,4127428.452,1158766.786,2782383.227,76590.69095,1363253052,119298240.2,222020536.7,24640938.41,22122955.28,1215854.755,718786614.6,36155195.32,2262455.962,0,0,0,539841369.4,21111744.83,94493448.98,1578405.225,137669621.2,9163672.691,19991782.72,1278045.341,383145.4188,202205697.4,32988490.4,4064306.246,0,0,0,0,0,0,3359812.094,133450.48,2710263.762,16054.81284,94132936.54,3233543.966,22973810.66,265575.8331,0,0,0,0,0,0,0,0,28321975.41,837804.2981,384972.7465,0,23390324.43,588937.3127,529518.3135,17119.87871,994108.5944
3,glc2 dmso 1 c,3685354.374,310557.4879,259784.0237,6922.531938,0,0,3921834.206,0,187893.4669,0,0,0,25886943.88,1124266.326,21284268.18,214313.0912,8382902.778,842041.6902,3533459.155,197961.906,396947.4672,0,0,11827302.81,960276.1257,1266364.979,0,559184347.2,45071942.55,97444021.06,7435729.108,3397491.415,168693277.7,18416055.61,73826059.52,6494360.204,8773891.224,511604.9278,79240.77637,2165339.468,168996.8712,23796531.77,1002630.832,2383078.69,0,0,4111360.134,1212015.417,2569188.556,54233.26988,1389575194,119357210.6,223883145.6,25182971.09,21482795.58,1366269.348,617684141.4,29630135.84,2131428.585,0,0,0,755892693.1,28100381.23,83611965.43,1251817.563,121834734.3,9135719.323,18916995.95,1063786.612,320189.1769,197065949.3,31859755.02,4670623.017,0,0,0,0,0,0,3350976.501,122405.2815,2594794.958,0,75288318.65,2575869.076,17600546.59,151902.191,0,0,0,0,0,0,0,0,25899229.93,787273.8617,318958.7697,0,10587391.18,599684.4088,462809.1725,32676.23069,0
4,glc2 dmso 2 a,5649051.812,364757.2397,553523.3006,0,44461.77585,0,6035660.319,0,393279.1342,0,0,0,31563290.9,1431106.597,27781358.89,378608.5597,9462505.907,1284166.069,5750907.97,596895.631,983745.2326,0,0,16643873.91,1876297.156,2354664.407,74453.58805,747321215.1,76223761.89,177462982.8,20611385.24,9315491.961,182589385.4,25264060.07,113440585.3,13108351.6,18754397.95,1778795.259,528177.5893,2011673.426,185159.8366,25816806.87,1136831.586,2547455.346,23748.97503,0,4120115.715,1430313.609,3372866.825,189425.9327,1414820181,146685747.2,312994987.8,46859613.44,41256672.56,4574321.897,866110491.9,45374846.18,4549854.194,0,0,0,742038158.7,29988819.39,165065731.5,2842041.931,166113504.1,15424331.59,37708997.72,3912878.128,1741520.656,387224859.3,62862663.35,6523896.376,0,0,0,0,0,0,4045909.167,163833.9071,3457868.814,23687.70917,107466032.5,4351619.661,43509816.68,629137.8764,0,0,0,0,0,0,0,0,41232820.74,1398388.252,557690.9069,0,11793874.24,671470.2089,812838.5607,103356.6752,121250.8369
5,glc2 dmso 2 b,5260086.492,396750.4236,622547.5281,51304.95463,33462.61581,0,6198902.758,0,535608.8969,0,0,0,32517045.76,1593045.327,29086561.15,373314.6214,10251299.31,1414452.791,6364924.971,752823.1674,1042882.308,0,0,15567474.64,1793977.229,2279850.619,72148.23531,732846831.5,77086111.46,179809015.9,21570652.99,9830779.875,189929969.5,26937102.26,120834149.4,15069086.22,21169255.05,2016553.773,639874.5903,2346039.57,188355.7452,26797254.74,1111334.421,2690946.947,21446.14175,0,4414036.678,1416438.727,3373408.062,153147.9493,1449800518,152191444.3,331909471.7,51954134.07,44481007.94,4760198.543,853212137.5,45775169.42,4306804.99,0,0,0,469626674.7,19659596.38,139699092,2504954.244,166016232.9,16506236.71,38564098.13,4023483.127,1334299.173,327591108.2,63538808.16,4693225.604,0,0,0,0,0,0,4221075.394,176995.3033,3803423.255,30481.25151,80007827.05,3097171.984,34115624.03,445713.9976,0,0,27776.59419,0,0,0,0,0,35459677.83,1171626.472,487383.0025,0,10637633.64,727363.685,918682.7527,121863.675,113322.6739
6,glc2 dmso 2 c,4387126.266,288248.0733,471477.2891,46105.19128,26970.31299,0,6347584.029,0,263124.5048,0,0,0,31422137.93,1511616.522,27764984.39,379018.0745,9413931.843,1236566.565,6084048.469,672495.6017,1056933.613,0,0,15428221.48,1732377.389,2262752.998,69107.61609,706208182.9,73024537.15,174296072,20541696.51,9713670.565,190928281.3,27171825.34,122822723.1,14693238.52,20934599.14,1998266.552,704337.7024,2186076.159,232868.4302,26468633.24,1130508.258,2344732.987,18465.75213,0,3932065.152,1917920.46,3295494.063,239516.531,1527376973,159378189,344120992.2,52841920.82,46786518.27,5209048.953,938443843.9,46837049.21,4609610.325,0,234833.5137,0,572035988.9,23470580.96,148644268.5,2633707.788,153167263.1,14663309.65,35233146.12,3683344.445,1720159.082,258892657.7,44463297.24,4713546.074,0,0,0,0,0,0,3511154.782,154097.2096,3096120.377,14260.76856,50691789.13,2179318.024,22231264.29,280239.5837,0,0,0,0,0,0,0,0,34673340.52,1150156.426,524687.0061,0,10318159.8,684991.5195,898464.5404,125316.8484,110608.6323
7,glc2 dmso 3 a,12349948.62,920266.8978,2156090.805,299050.3192,322442.6419,0,17423584.59,390665.4576,2815221.935,0,0,0,44913190.19,2260984.786,41076185.96,586956.2792,14302548.03,1909005.716,11150402.86,1335436.271,2324160.169,127828.2027,0,27808430.14,2821023.349,4741380.204,228582.4561,1103908534,110051178.7,323234278.3,34495677.43,20732461.32,265762175.1,39021740.02,204309533.7,24576511.88,43107562.85,3843684.785,1888831.019,4692732.067,644914.2438,46071599.8,2285139.783,5948041.077,88402.33124,0,6990256.441,3164658.994,5806598.442,554480.754,2411510445,242853874.9,597902720.2,97783473.98,105344520.2,12097824.59,1195577147,61466101.25,7592064.333,433246.8078,824850.6291,1009407.881,1845002025,74866040.67,369698028.2,7271503.613,334133655.6,31375337.85,96489280.61,9624056.123,5800373.733,473966135.4,82919066.81,7166177.41,0,0,0,0,0,0,5345088.012,248677.6889,5287051.596,34084.89667,126637378.3,5751024.723,52582960.5,797345.4413,0,0,0,0,0,0,0,0,78292730.18,2832573.945,1352372.135,0,12490949.22,671298.1553,1193030.207,191456.9049,167230.3865
8,glc2 dmso 3 b,11402248.79,927004.7399,2381198.728,331353.7309,368701.4997,35827.63159,17161675.71,676472.0988,3980260.965,0,136422.325,0,52379635.61,2660973.589,46831841.11,676370.7969,16129630.74,2371436.196,13302422.25,1619921.502,2771196.676,134420.5481,0,25962386.47,2745559.203,4804512.722,394524.1175,1068081691,113174733.3,331068736.6,37227046.09,21836841.7,295647871.2,45849356.61,235082098.7,29664351.91,50646895.99,4977454.674,2348706.328,5425127.354,829479.2723,52797417.78,2834545.807,6921413.168,93736.41421,0,7432111.916,2662599.64,6612489.497,607803.1384,2338213543,254062518.8,622105677.5,105473853.3,111663952.3,13007149.2,1141678411,61072031.48,8221986.624,664871.6196,562675.6825,0,1086318856,50487896.93,418936032,8432484.23,340308248.8,35968110.52,105901445.7,11638494.02,6709821.38,450808175.6,89958540.13,9979456.704,0,78635.68881,0,0,0,0,7223334.65,369843.7661,7213079.167,86791.74901,78383058.35,3589291.37,40209090.85,695235.5546,0,0,58159.41208,0,0,0,0,0,61400957.53,2463544.929,1297027.588,0,10224615.53,784512.0851,1399582.703,227172.5091,180801.3787
9,glc2 dmso 3 c,11600830.78,998693.4407,2394601.756,325509.1907,356500.6911,0,18012244.88,959674.2962,2684626.028,0,219314.9635,0,53746062.71,2787586.611,49158966.08,686837.5831,15992872.67,2295171.074,12594880.31,1503633.087,2667466.803,123057.5782,0,27075782.23,3171789.852,5176670.275,225061.4337,1159159317,119312567.2,351824512.5,38166350.34,23251959.69,299572015.1,45302885.28,236827821.9,28934092.73,50413592.24,4851858.989,2128329.02,5737923.908,828421.0855,57529852.18,3099083.628,6994641.662,109346.6155,0,8070195.161,2729957.453,6757138.479,397280.0784,2511755178,260778476.5,639500436.8,103463217.4,113366388.6,12703429.5,1329557163,69202304.28,9373930.762,608711.3454,642114.5829,0,873507244.5,42696176.22,409065254.8,8350209.49,345117027,35756417.93,103381137.2,10305135.02,6478631.418,431644825.1,74947475.61,8112481.421,0,97329.03723,0,0,0,0,7955160.858,408030.3889,7499451.826,83719.52784,83875922.89,4333416.685,52600145.65,797267.506,0,0,0,0,0,0,0,0,68960787.51,2538301.886,1460106.185,0,15126569.43,788917.6753,1358240.434,206216.4259,217926.698
10,glc2 dmso 4 a,22538158.95,1750561.759,4396296.761,643604.5267,641181.1277,0,23686521.89,792104.2498,3986646.844,0,110291.021,0,65981299.52,3689286.895,61076444.86,1065154.365,19537468.16,2657830.316,14726587.33,1655101.677,2998477.525,129511.4453,0,27624319.96,2925208.889,5513762.676,177069.419,1243419554,120917438.6,355018146.5,37844073.17,22549468.13,346274249.9,52263494.48,264601464.4,32180063.51,55719047.59,5256020.084,2341402.503,6382416.899,901542.1217,58327661.51,3070104.694,50519.76317,185107.3025,0,14527735.22,2516646.573,14569760.54,413872.8463,3125509250,304290838.7,735100485.2,113669902.6,128927513.2,14226957.38,1390870023,71397479.66,11644980.33,675237.2129,1133771.984,0,1290739653,73199236.09,726062291.2,17841348.02,436406975.1,40683033.11,123739017.8,12317112.89,7083150.647,339733440.6,54991548.82,7041400.447,0,147959.692,0,0,0,0,8960370.231,461358.0953,9782309.965,163750.8608,84758195.19,4762178.204,53734004.04,1051763.446,0,0,156637.1283,0,0,0,0,0,67002652.09,2951570.093,2723692.264,0,15357906.5,1119277.864,1878174.472,256898.5886,339277.633
