filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G3P M0,G3P M1,G3P M2,G3P M3,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,palmitate M0,palmitate M1,palmitate M2,palmitate M3,palmitate M4,palmitate M5,palmitate M6,palmitate M7,palmitate M8,PEP M0,PEP M1,PEP M2,PEP M3,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,sedoheptulose M0,sedoheptulose M1,sedoheptulose M2,sedoheptulose M3,sedoheptulose M4,sedoheptulose M5,sedoheptulose M6,sedoheptulose M7,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,glc6 21% 1 a,14566657.81,858200.678,869120.9266,116196.5705,82934.9762,30181.69093,3545787.208,0,0,0,0,0,2305139.078,0,991218.1574,39557804.5,8491582.306,606311.9679,6100326.632,1340128.381,871259.0745,947928.1204,0,10495555.05,330159.6269,487433.6347,416104.9599,424521211.7,30405544.34,60617073.42,67843981.6,9437700.327,121320390.3,13796665.31,103051082.4,25078860.8,16503795.57,16951725.56,1814324.343,86516.88671,0,0,101946.9978,0,1601947.118,32726849.97,1709169.865,569800.3741,0,4198665.595,1087033508,82406520.58,200816061.4,41654031.99,32107254.24,16472989.63,260198094.1,14257362.42,725756.2139,0,0,0,860477645.9,29150621.21,3665935.731,129312985.7,117020585.6,6992216.652,13605048.85,13614155.42,1504060.207,49102960.38,7468850.38,850463.279,0,0,0,0,0,0,921917.8787,0,914639.7315,12355518.54,49123416.16,1517761.383,421891.3647,26043205.35,16065.14056,0,2063572.453,34354.35832,0,0,0,0,23850130.65,506470.3117,0,224512.9372,39250105.02,777757.5298,779678.015,65126.84262,0
2,glc6 21% 1 b,8278696.62,631952.7475,716507.9759,98975.79577,82765.96229,100675.921,3111904.644,0,201422.0438,0,0,0,1843013.961,0,824200.4123,31715559.11,6128406.028,371557.8857,4481249.471,1047730.453,618070.546,611266.0939,0,10158293.37,357776.8322,567103.191,366378.4729,421785150.6,30134105.64,59532304.52,66366800.28,8547111.55,83404727.48,9596990.905,73039631.44,17723862.15,11090550.85,11625628.64,1113834.898,0,0,0,76544.69562,0,1133769.346,23455938.96,1467696.3,555980.8051,0,3736101.954,1025246322,78460718.71,183491142.6,38242332.03,28525677.76,14277840.92,289222631.3,16260140.11,826460.8608,0,0,0,507355353.1,18377796.34,4793469.667,147092582.4,77645307.64,5004229.961,10149336.61,10689587.29,1079966.381,85363388.28,14151447.79,1872877.165,0,0,0,0,0,0,747921.3109,0,1027416.776,7715368.071,100527653.3,3320035.884,1836911.026,61034679.33,0,0,6801.439361,0,0,0,0,0,19686691.79,296420.9145,0,249369.555,20141690.42,847314.8971,762538.7297,0,0
3,glc6 21% 1 c,9663355.385,732185.8125,965230.8395,144807.8723,78972.32183,133404.1715,3234016.479,0,191786.4827,0,0,0,2073211.258,0,1046516.026,37044079.86,7080635.069,445257.6187,5612603.144,1239646.805,760900.8309,729208.8081,0,10988940.24,355350.1396,609464.5246,609330.5339,496166617.2,36095342.01,73766110.43,81199072.26,11361610.19,87630191.49,10058327.91,81842145.92,19381424.07,13418304.82,13432379.61,1552097.107,39883.60239,0,0,77915.00215,0,1370190.678,30062168.33,1861315.316,688866.3072,0,4811991.299,1204508341,91877720.97,224573604.3,46979971.61,35274591.97,18577186.07,370699242.7,20101094.1,1304027.122,0,0,0,452497654.3,15576416.09,5919558.334,175977266.3,97814741.55,6075348.756,13226886.89,14283558.4,1551735.057,168672743.8,30837899.89,3685518.802,0,0,0,0,0,0,883142.2098,0,894821.5239,10285488.26,87015359.58,3220675.028,1872429.006,59583455.36,0,0,25620.3767,0,0,0,0,0,20962138.35,240183.7222,0,242523.4112,21699893.31,943055.9802,973256.7234,89530.68724,0
4,glc6 21% 2 a,29700879.81,1722148.18,4352574.357,871300.5943,928103.1669,755132.855,5845229.772,0,220705.0102,0,0,0,2309380.041,0,1710128.103,59835900.38,7049285.514,523240.3724,8881377.871,1671224.045,1462827.933,2593242.501,138905.6793,15073529.26,468103.6822,1186302.425,1639043.826,557198574.4,36101728,90003357.71,153277655.7,23364658.87,90147909.17,11033786.15,133512739,27349454.28,25633425.07,38385424.75,5061931.397,257332.089,0,0,193459.8367,0,3076602.004,51494766.52,2251644.555,742128.1433,426772.1368,19008340.14,1649268752,109947561.3,282109332.6,58126871.22,67502105.43,43781683.56,464120570.9,25858008.85,2392005.267,0,0,0,540432931,18405624.87,15536096.44,460267959.1,141151875.4,7568069.342,20152392.47,33797241.29,4065466.881,277871492.5,47195152.36,3874589.075,0,0,0,0,0,0,995172.0989,0,511765.9218,15130617.02,37343028.56,1104672.546,2313667.589,75450001.09,0,0,0,0,0,9112.313444,0,0,34498308.6,744862.55,0,564207.9843,25698027.07,1097192.944,1333938.901,227989.1663,337850.1433
5,glc6 21% 2 b,37117518.71,2551568.429,5860696.197,1028524.494,1289202.598,815211.07,6794540.968,0,226525.5145,0,0,0,2363958.616,0,1933050.785,66575026.27,6523470.091,468797.503,8839115.381,1711332.809,1647914.936,2494109.119,123156.8207,14425804.41,635194.4657,1192398.969,1434562.708,627178128.6,41759737.84,103981971.5,174571046.2,27751491.24,79053917.17,10031232.72,133998706.5,26785256.61,25938259.2,37532618.64,5462237.335,320203.396,0,0,161272.6185,10869.07329,2882550.563,53389006.07,2599284.098,663909.5628,492572.7357,24386687.31,1973433346,132474889.4,347934225.4,71142684.18,87487406.49,54757307.47,558407889.2,29334618.67,2693681.798,0,0,0,548007345.7,18982832.08,16280755.22,475640371.6,150414345.1,7690995.265,21769831.32,38145104.01,5794747.111,239081230.8,40705819.6,3105991.683,0,0,0,0,0,0,1008625.692,0,1257429.568,16266989.64,37045671.41,1097110.82,2334249.139,78729025.08,0,0,15405.58739,0,0,11470.91333,0,0,34956958.8,959093.6387,0,576473.8122,38896216.5,1010711.343,1776451.762,281841.9592,311714.0685
6,glc6 21% 2 c,42067492.83,2715433.862,6301480.079,1148963.056,1400232.584,980475.5193,6499831.123,68092.44396,0,0,0,0,2401025.349,0,2078390.721,70549105.07,6850723.612,603476.942,10281112.43,1770419.58,1780304.613,2811193.415,166329.4341,15572278.79,747955.7437,1417408.099,1974613.605,645093232.5,42133972.15,107339756.9,180116844.4,29459811.44,92716920.08,11270608.12,148722665.4,28253101.54,29351701.35,43328007.84,6621039.701,354198.8287,0,0,232142.9585,0,3539175.694,62469479.28,3042921.765,621683.1448,420854.1434,25428771.78,2140477482,143493324.6,375813594.4,76693162.1,94121636.11,59139752.31,604052225.4,32141530.4,2853916.808,0,146220.7271,0,652231961.2,22281911.79,19874591.18,592597443.2,159564507.2,8680185.12,22182929.86,37382292.98,4903877.253,276217395.8,51124910.44,4647847.718,0,0,0,0,0,0,1121588.849,0,1455591.278,17695396.42,41122737.92,1251735.849,2701467.226,87745820.83,0,0,0,0,0,0,0,0,34369127.74,707392.8381,0,517235.2337,42319165.02,1145249.612,1724030.133,315196.5157,350807.8337
7,glc6 21% 3 a,144320139,9158361.917,15052541.79,2242678.96,3660852.592,2793056.88,17599776.55,315333.1098,767801.9783,0,0,0,3734648.768,0,3374365.161,108841732.2,6057248.345,433054.2139,7387675.001,1114727.29,965198.7617,3010103.079,101129.6601,21482271.82,387818.9865,1290195.052,4317252.701,643691716.4,34760061.69,64081231.02,237225108.4,18313336.19,78517892.15,8501024.357,106592785.8,17835955.11,17172282.21,43567488.68,4364960.097,2199348.336,0,0,662312.5153,28788.99013,7689699.106,122910959.7,6171103.986,750910.6283,2159666.624,82007371.03,2892020075,176310459.7,296864720.5,48072363.54,81891775.89,57226693.14,679788208.1,36656457.83,2250248.998,0,0,0,914385845.4,32404457.52,36304615.53,1056276888,256708587.6,13026975.02,23090287.39,90381757.7,5805364.966,430750638.7,72062756.01,7804114.841,0,0,0,0,0,0,1305973.395,0,1593303.74,24641830.51,52153193.96,1628346.822,5791764.372,175871290.9,0,0,6319.450926,0,0,0,0,0,47491863.29,1106716.336,80527.23406,1409787.116,47470314.63,987531.722,1126790.833,165455.6876,286654.9254
8,glc6 21% 3 b,120931101.3,7143935.783,13140481.8,2030239.987,3472018.476,2467008.481,14653370.23,209979.636,777849.5419,0,0,0,2523797.898,0,3444489.83,112580260.2,6607120.454,404440.2501,8038725.357,1226448.612,1194835.305,3306060.518,161646.8076,19193645.87,355998.5064,1229624.918,2942807.257,584833669.9,32538617.6,62425315.92,230231986.3,18901574.39,79283973.12,8595048.589,113515557,19326401.55,19026690.13,47720651.03,4873371.841,1143445.073,0,0,482025.0635,0,7081352.979,116755123.7,4906651.108,712623.2832,2478294.687,83172425.49,2886279703,174482082.7,310656239.8,53282841.97,89399421.19,64848818.38,668876505.4,36235366.17,2131891.498,0,0,0,897410405.6,31270130.26,41766253.89,1204396684,235979208.6,11626967.71,22354728.68,87696272.66,5594972.339,375124701.6,63673404.21,6045627.703,0,0,0,0,0,0,1094140.298,0,1213070.196,28284128.96,30944502.12,1182179.967,4149721.96,136295422.5,0,0,22454.18066,0,0,0,0,0,38253799.8,753509.0405,49361.80787,1094641.796,59728602.91,1503345.825,1408698.702,89261.8268,388013.7214
9,glc6 21% 3 c,120375145.7,7343075.699,11523014.66,1800230.141,3065659.337,2121152.149,13649891.84,0,0,0,153272.3615,0,2656572.958,0,2843046.129,90838709.97,7810987.201,456563.6763,7119422.079,1160647.63,1159607.1,3004016.522,68071.8627,18981207.76,302338.4851,1267810.276,3020416.005,583303168.2,31659501.95,61338460.79,218960859,18915982.77,75958773.78,8112293.845,94505502.55,16738296.96,15525954.44,38735455.09,3949560.609,1448542.095,0,0,419257.7701,0,6269844.421,101672729.2,5246105.873,465027.6346,2199633.268,71654944.37,2931101101,175053071.8,309605181.8,53594363.02,85753513.5,61533587.24,763823958.7,41063220.4,2614592.884,0,0,0,759112469.9,26170831.14,33050432.84,978364850.4,230830210.4,11252450.54,18270809.32,71095584.97,4886403.225,387816524.7,65170719.46,6155407.035,0,0,0,0,0,0,1018918.509,0,2766135.508,25787644.15,27796270.35,980947.0425,3791300.341,119740505.2,0,0,11469.04699,0,0,0,0,0,45083752.89,970502.0329,73746.2312,1305128.246,56314358.73,1228933.113,1150423.666,125977.9005,397966.168
10,glc6 0.5% 1 a,5010101.875,283579.8192,336583.2676,27455.86587,46536.61657,54226.89422,802975.3802,0,0,0,0,0,1400982.824,0,154026.4221,11907244.88,4501121.241,143869.074,2036766.35,826896.4018,161201.0398,493127.9682,0,9291276.319,102396.4927,297668.5128,285205.4322,233545471.4,13202465.73,20371734.64,51208511.16,4113568.426,56382536.1,5522381.952,35617528.87,14039429.83,5314951.355,9607014.214,399166.8777,31595.40481,0,0,597626.7477,0,656862.6289,18790491.54,798929.5888,525562.7036,0,1790260.799,442257685,32628803.91,91719298.24,23162212.87,17761776.83,11174002.24,274383420,15308370.03,508339.7861,0,0,0,799352794.6,27511820.18,1508666.344,39948752.06,33864728.65,1295351.429,2413839.375,5766382.335,118839.7266,134800943.7,14736391.2,2436373.045,0,0,0,0,0,0,505992.3824,0,243674.4468,3039896.937,72411883.53,2489135.792,556329.1198,22297826.79,0,0,0,0,0,0,0,0,26545837.6,399692.0554,0,247026.8256,11579020.46,603395.4338,259858.0857,0,0
