filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G3P M0,G3P M1,G3P M2,G3P M3,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,palmitate M0,palmitate M1,palmitate M2,palmitate M3,palmitate M4,palmitate M5,palmitate M6,palmitate M7,palmitate M8,PEP M0,PEP M1,PEP M2,PEP M3,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,sedoheptulose M0,sedoheptulose M1,sedoheptulose M2,sedoheptulose M3,sedoheptulose M4,sedoheptulose M5,sedoheptulose M6,sedoheptulose M7,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,lac3 21% 1 a,7494364.334,469460.0166,704650.8869,49235.04482,0,28985.59593,4306272.802,0,0,0,0,0,44721101.23,1224159.691,0,2554564.68,9390718.288,802851.5806,5742764.491,1314105.604,601682.8152,578210.9062,0,8762130.09,446315.886,465307.043,212471.9105,443900227.4,34641035.59,61905433.26,55761268.12,7057653.119,107565451.1,11579874.98,68873672.71,17428009.28,9758764.277,8033764.122,613521.3809,36169766.22,1957558.447,0,113847.3425,0,0,0,9514507.706,746682.7498,0,72650.89465,1612335529,126235403.4,282054536.7,56345985.57,36308411.67,16211722.79,481935188.8,27141033.16,1963822.451,0,0,0,917498492.5,31299265.23,11989706.28,581943330.6,108880146.4,7427888.86,12543391.95,11007802.34,310707.3738,95916345.51,24566298.21,1160910.938,0,0,0,0,0,0,8073436.771,180764.7127,0,977706.6867,84124230.08,2571193.667,421328.4439,31783241.97,0,0,13827.51338,0,0,18486.44524,0,0,27558379.36,822256.4904,0,0,32430278.79,952005.0852,944629.1434,79728.79846,0
2,lac3 21% 1 b,7096226.776,379174.7618,589015.5733,23934.03938,26869.36382,58021.46049,2898387.083,0,0,0,0,0,35789910.09,925829.8382,0,2153483.74,7582731.215,575714.0421,4431671.137,1008372.86,402884.3025,377301.0561,0,9762729.308,372762.2277,319698.8317,114793.8215,391375752.5,28336900.96,44983534.66,42351295.14,5004258.913,100444715.8,10023794.51,59342668.99,15008498.45,7693250.823,6236790.28,458331.9722,31562788.03,1667333.903,0,53811.18715,0,0,0,6736479.142,813466.9688,0,0,1242469566,96953022.78,204206883.9,41661889.16,25176688.36,11886085.03,343064137.6,19240478,1190552.447,0,0,0,2851884121,96878304.53,9251214.353,415504266.7,96033152.16,6112210.705,10253757.14,9661060.266,454807.0747,165621535.8,30101698.21,1770131.492,0,0,0,0,0,0,6740095.596,120761.0126,0,714887.9651,129581708.6,4348881.904,277644.6344,21331812.49,0,0,51791.67973,0,0,37449.54134,0,0,41962381.81,1227165.898,0,0,25797342.27,741143.0209,716124.0023,61820.31333,0
3,lac3 21% 1 c,8805054.947,502575.0804,725645.9715,42262.11377,48803.27506,8882.346886,3982995.458,0,0,0,0,0,36604789.88,945519.149,0,2507919.836,8556589.336,745026.7992,5272812.955,1266800.953,683131.3986,443396.4331,0,11085814.06,484984.6856,376465.7253,157561.4585,462856208.2,33384673.26,55513566.56,50559086.18,6561353.217,110405449.7,11714783.5,68384481.25,16904260.69,9710494.009,7523915.735,600282.4598,35772159.93,2022732.867,0,140321.2386,0,0,27728.91171,8727618.99,870493.6941,0,115707.9244,1612473124,125394388.2,277084151.7,55928876.32,36584618.46,15962366.9,453970034.5,23899531.67,1691327.049,0,0,0,3072668453,103448829.6,8133791.433,374938320,113337466.5,7522229.714,14371306.22,10696454.19,904556.864,171701513.1,25339906.48,2946553.254,0,0,0,0,0,0,8986977.632,174512.8607,0,728728.5267,222321182.7,7152434.514,666353.4426,38255109.8,0,0,14606.32991,0,0,21781.18337,0,0,49186208.66,1543010.104,0,0,25880103.47,860945.6557,804313.4217,66913.23305,0
4,lac3 21% 2 a,21276277.95,1489224.034,2576020.976,469958.6709,0,0,6304562.982,0,0,0,0,0,59348295.67,1681100.316,0,3742912.241,11383640.04,942036.5559,7017391.495,1597210.933,825560.1473,714962.7631,0,0,586792.1409,532720.8729,0,593019856,41510076.88,71830198.45,79339365.42,8987632.621,138299028.8,13988493.92,90766739.86,22335890.22,11864933.81,11026499.32,930037.7077,53406791.41,3030031.398,0,378404.4091,0,0,0,28450427.18,1108551.154,0,458867.454,2307460536,165427127.5,331883744.9,64866388.56,43556876.51,21248198.67,677209848.2,38008856.76,3348057.702,0,0,0,1057577075,36243077.71,12422948.56,561012570,154250770.8,9093691.694,15253266.59,16168005.04,886024.2936,488894707.5,83493606.8,9105562.01,0,0,0,0,0,0,10656290.25,266531.6401,0,1473890.17,82254584.49,2670380.68,826463.2253,42794838.5,0,0,0,0,0,18876.32692,0,0,31250639.5,864954.6306,0,0,31230806.47,1087854.9,1226624.055,83584.12521,0
5,lac3 21% 2 b,22312745.92,1475013.765,2663007.128,481886.2942,280320.1325,177574.1374,5286376.589,158825.863,244123.1096,0,0,0,58388775.84,1659087.939,0,3635119.982,10269196.92,886821.6519,6346206.409,1442565.15,759424.1493,627084.9793,0,11206379.21,539035.323,445041.0412,394129.8505,519850346.9,36730377.67,64108332.06,68842839.1,8318224.612,131209597.7,13366172.07,84024168.11,21247972.67,11207626.88,10510113.11,849169.4792,53286545.29,3100137.944,0,418279.4129,0,0,0,19677432.16,1059551.155,0,228451.6545,1957529457,141750720.9,285532605.3,56285928.78,37006055.19,18066065.88,547897178.8,30384499.67,2257374.328,0,0,0,1026169800,35747662.74,10703839.22,513722058.1,147562854.3,9385575.277,14968516.07,15746894.44,1029227.646,377991501.1,66688012.85,6121964.148,0,0,0,0,0,0,10574501.16,249330.8461,0,1486314.031,78837184.52,2548339.529,789603.6517,40821441.8,0,0,21685.61204,0,0,11579.55152,0,0,32160438.9,859819.5761,0,0,27652129.99,1071550.668,1159359.97,66889.39941,0
6,lac3 21% 2 c,31204806.03,2186285.812,3237819.252,566723.918,330785.8703,209899.8816,6360677.639,0,357852.5021,0,0,0,59112847.13,1677556.202,0,3651671.024,11986279.64,942714.377,6359082.447,1471811.379,798656.1916,636168.5545,0,12269711.83,399387.5419,582608.3026,441619.0179,573771307.5,40047794.23,67963359.29,72642031.4,8286570.476,143682744.8,13752150.72,86696880.46,21202394.07,11004952.16,9936067.247,834999.3005,57635427.74,3530116.646,0,624497.0354,0,0,0,21969837.12,1201647.449,0,307051.9063,2086457737,147259129.1,291121407.9,55725954,36640566.04,17215365.56,619015344.6,35251275.61,3321500.54,0,0,0,1154109059,39854849.86,10475944.07,480678545.4,176013258.1,10808864.19,17295944.34,16715696.45,1065642.094,435476542,69142988.07,7934240.935,0,0,0,0,0,0,10956569.18,312871.7859,0,1418623.436,67749926.59,2121096.884,481240.2471,30804853.11,0,0,8588.869582,0,0,22037.75801,0,0,36207274.92,957478.3121,0,0,41970852.51,1144172.957,1227230.808,124077.3994,0
7,lac3 21% 3 a,136842076.4,8178242.736,9697343.112,1584647.348,892685.0605,504791.4016,22350832.05,347844.5178,0,0,0,0,112935977.3,3464795.829,0,5558709.87,15348682.6,1046223.287,4698760.523,1249727.624,218252.735,358062.3845,0,19510692.91,306075.5868,322950.224,807707.7335,673333919.9,36255120.14,35814114.59,73128532.41,3754643.767,166965842.6,13697371.71,58459322.4,15912400.12,4717121.552,6148554.869,30812.43134,134434664.1,8883898.29,0,1699685.37,0,0,0,111902628.9,4160848.106,0,2326361.419,3390941196,211997378.1,242045781.8,41912782.02,24484814.99,12576615.79,763421403.4,39382505.9,2248112.264,0,0,0,2186824842,75179652.68,18101326.87,789917533.8,350933224.9,16702861.83,15729448.17,31714500.97,609104.0189,525907178.5,92485880.72,9546876.718,0,0,0,0,0,0,30228988.88,872097.1422,0,1851289.197,196272047.9,6392147.086,1545451.767,81763202.98,0,0,32719.31714,0,0,0,0,0,45614711.71,1226383.722,0,0,56996828.85,1476598.052,1034334.371,47401.7945,0
8,lac3 21% 3 b,143028613,8303884.053,9589274.399,1715741.401,875853.8985,593535.7514,18501478.54,0,0,0,0,0,100623529.7,3013944.179,0,5028145.317,14361438.05,982371.8973,5279727.668,1300854.653,266300.2789,482523.3793,0,16363218.62,297560.4158,317112.3077,503571.226,777532450.4,42228725.24,43455045.99,85477274.67,4567663.197,190371749.4,15506451.84,68098951.61,18889507.99,5871744.277,7434413.537,208362.1268,148951670.6,10018028.16,0,1897028.479,0,0,0,111181190,3669426.986,0,2400643.853,3842823397,237979136.1,287559591.3,51375693.88,29438605.04,16167888.21,816387911.8,45273941.44,2884150.666,0,0,0,2904379307,98675716.47,20167909.34,879809340.4,313075092.9,15654388.71,15641970.17,30368616.55,604437.0055,524954373.1,90271113.97,7379943.941,0,0,0,0,0,0,24274122.41,736504.4197,0,2035101.777,150421011.1,4993916.798,1039101.271,54834785.37,15766.52665,0,35443.52891,0,0,0,0,0,41525842.29,1147529.247,0,0,44412249.62,1750576.453,1136487.27,0,0
9,lac3 21% 3 c,123271251.9,7598556.802,9419523.713,1492283.021,803004.2164,455196.3915,17771693.15,253390.7892,401089.6458,0,0,0,104397609.9,3166585.573,0,5146060.641,12928527.86,743027.0873,4699765.325,1227147.072,178923.5739,293582.456,0,17834822.82,309167.1745,259577.9087,727917.5232,628523000.8,34099398.75,33736756,67169053.28,3443519.771,154208941.6,12850817.09,60015334.29,16542887.55,4777081.805,6304680.482,0,134027418.8,8991977.154,0,1667381.492,0,0,0,80931420.81,3203620.765,0,1777307.692,2959541475,184174018.9,214029864.6,36947034.75,21083098.72,11491736.29,692527706.2,37642566.43,2453299.089,0,0,0,2291343681,78715711.4,17877721.14,787309286.6,301367616.6,15816202.2,14023222.36,28044276.56,555740.1279,369346256.6,65642885,6920843.35,0,0,0,0,0,0,28923904.8,915127.193,69444.57959,1653434.327,144852597.3,4704410.236,1071362.834,57368458.08,0,0,52109.1504,0,0,23182.66111,0,0,41478296.89,1100888.085,0,0,48713141.61,1206590.491,936013.0549,31467.37545,0
10,lac3 0.5% 1 a,5623767.201,341081.1542,276036.3187,0,57608.54114,14259.17626,946707.7111,0,0,0,0,0,12142199.99,171265.7351,0,1038696.558,5272414.167,230015.0957,2172536.215,797061.738,157088.9407,397004.2026,0,6306186.414,33354.26773,115623.52,100419.7593,136738664.9,7866316.137,11810503.7,25102320.88,2207544.418,58811763.24,4670810.176,24541699.92,9248730.928,3428968.45,5193035.779,80209.25488,18595953.59,557272.5864,0,463525.982,0,0,0,2407692.099,495099.6746,0,30450.17496,430794123.3,33059437.18,98193512.43,24189682.35,17344479.89,10416560.17,287639118.9,16163082.07,581143.1984,0,0,0,793395728,26673441.31,9925677.104,463808358.2,51789992.81,2001672.552,2704722.688,4956061.755,135443.8127,95084365.86,7910990.248,951412.4013,0,0,0,0,0,0,2060127.044,0,0,228104.3894,87553814.31,2732564.418,391678.1165,27418191.01,0,0,24410.12159,0,0,29473.51827,0,0,21863095.45,587804.0786,0,0,12628736.89,533154.1891,290360.9345,0,0
