filename,id,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,DHAP M0,DHAP M1,DHAP M2,DHAP M3,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G1P M0,G1P M1,G1P M2,G1P M3,G1P M4,G1P M5,G1P M6,G3P M0,G3P M1,G3P M2,G3P M3,G6P M0,G6P M1,G6P M2,G6P M3,G6P M4,G6P M5,G6P M6,GAP M0,GAP M1,GAP M2,GAP M3,palmitate M0,palmitate M1,palmitate M2,palmitate M3,palmitate M4,palmitate M5,palmitate M6,palmitate M7,palmitate M8,PEP M0,PEP M1,PEP M2,PEP M3,R5P M0,R5P M1,R5P M2,R5P M3,R5P M4,R5P M5,sedoheptulose M0,sedoheptulose M1,sedoheptulose M2,sedoheptulose M3,sedoheptulose M4,sedoheptulose M5,sedoheptulose M6,sedoheptulose M7
1,glc2 21% 1 a,1427674.052,0,936069.8601,0,8800048.955,448236.565,2190972.184,0,0,0,0,104818088.4,8936867.987,19798923.89,800233.7905,1028193.851,0,0,0,0,0,0,726475.9101,0,4585114.971,0,583574.1466,0,0,0,0,0,0,0,0,0,2411680.641,0,0,0,0,0,168223.2035,0,0,0,0,419505.6368,0,0,0,122389291.1,20504857.74,2419622.05,0,0,0,0,0,0,281414.5809,0,237768.8494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,glc2 21% 1 b,1660661.406,0,1133523.057,0,10123052.82,486182.3426,2694911.544,0,0,0,0,126111882.4,9456179.012,22968193.87,1005959.684,1395987.816,0,0,0,0,0,0,989679.0175,0,5243251.778,0,879126.5376,0,0,0,0,0,0,0,0,0,2762056.541,0,323332.4906,0,0,0,352515.1375,0,0,0,0,354148.2129,0,0,0,121823843.4,21939113.75,3019027.129,0,0,0,0,0,0,246079.3165,0,112509.1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,glc2 21% 1 c,1264941.47,0,807690.4571,0,7768816.654,344542.2739,1809414.97,0,0,0,0,102153425.6,7777291.239,17770425.85,768317.9779,873541.6601,0,0,0,0,0,0,617023.2773,0,4442460.014,47371.72971,676359.1069,87150.33153,0,0,0,0,0,0,0,0,2147367.91,0,157115.054,0,0,0,217056.7015,0,0,0,0,253197.3804,0,0,0,213110804,37079660.89,3356766.697,0,0,0,0,0,0,211459.57,0,165121.1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,glc6 21% 1 a,163325.0736,0,0,4210253.451,8216369.139,389007.1681,4761886.598,850169.5583,173180.2021,369801.5408,0,111404988,9361024.473,46529803.02,9406452.307,3579977.85,5620632.756,0,0,0,0,250814.7585,164768.2044,0,0,243871.6814,0,410413.4691,7105938.592,0,0,0,0,0,0,0,2402663.763,0,0,1431178.749,0,0,0,0,0,0,492977.1128,174179.6712,0,0,0,338698222.9,58749068.97,5271122.899,0,0,0,0,0,0,0,0,0,728147.6888,0,0,0,0,0,303081.8277,0,0,0,0,0,0,0,0
5,glc6 21% 1 b,96179.21001,0,0,3048832.834,8061713.017,264843.8289,3768930.542,701132.8506,0,241508.0615,0,116606680.5,8754851.528,37550437.2,7845863.216,2863102.925,4288787.189,0,0,0,0,0,47404.85773,0,0,339543.082,0,496235.7407,7477192.327,0,0,0,0,0,0,0,2137780.433,0,0,803188.7925,0,0,0,0,0,0,311117.62,219189.5951,0,0,0,176442276,30454272.23,2888630.861,0,0,0,0,0,0,0,0,0,626799.492,0,0,0,0,0,309051.3867,0,0,0,0,0,0,0,0
6,glc6 21% 1 c,232674.5757,0,0,3241802.188,11108334.84,451420.3382,4046405.903,888176.9293,0,375899.8559,0,185914093.6,13680175.32,40724954.03,8898293.219,2868118.288,4921706.314,0,0,0,0,0,95465.98348,0,0,313707.3981,0,304153.4982,7211710.098,0,0,0,0,0,0,0,2298495.366,0,0,1274474.475,0,0,0,0,0,0,265192.6037,273492.152,0,0,0,168155727.4,28585689.64,2857003.583,0,0,0,0,0,0,0,0,0,597454.9711,0,0,0,0,0,248863.3757,0,0,0,0,0,0,0,0
7,q5 21% 1 a,3302877.651,0,0,0,7598792.582,345378.8423,551437.538,638744.8803,3632215.987,1036851.279,0,117370130.8,9327926.857,6123899.603,7522192.23,37766733.31,9598123.126,0,0,0,0,0,8264216.242,205571.8099,0,0,0,0,0,162153.5041,0,0,0,0,0,0,4064161.278,0,0,0,771672.3486,0,0,0,0,0,0,752947.5889,0,0,0,462704217.4,78855044.03,6894328.23,0,0,0,0,0,0,661793.2525,0,0,0,307044.9677,0,0,0,0,0,0,0,0,0,0,0,0,0
8,q5 21% 1 b,3892603.568,0,0,0,7458947.203,250546.0056,533283.7879,722373.9274,3919674.448,1056683.798,0,122761124,9829346.34,5862691.158,7593612.996,38573180.24,9756603.805,0,0,0,0,0,8425594.858,190710.5848,0,0,0,0,0,0,0,0,0,0,0,0,4002648.659,0,0,0,691764.5687,0,0,0,0,0,0,708101.0524,0,0,0,185387272.8,31756830.89,2906103.21,0,0,0,0,0,0,677133.3011,0,0,0,315593.648,0,0,0,0,0,0,0,0,0,0,0,0,0
9,q5 21% 1 c,1159005.654,0,0,0,4213549.505,0,128564.263,275349.6478,1799325.467,334526.91,0,82990970.3,5974111.732,2237598.139,2981749.281,16835974.54,4251959.138,0,0,0,0,0,3349914.783,0,0,0,0,0,0,0,0,0,0,0,0,0,2018678.559,0,0,0,198563.0104,0,0,0,0,0,0,0,0,0,0,181263025.3,30700810.3,2990640.066,0,0,0,0,0,0,118851.8607,0,0,0,72996.60969,0,0,0,0,0,0,0,0,0,0,0,0,0
10,lac3 21% 1 a,3733526.395,0,0,0,9476106.976,398800.4194,3912252.597,601373.9642,0,195546.4633,0,144826972.7,11203364.56,42989566.65,8127295.99,2661550.059,3492423.43,0,0,0,0,0,8714826.216,320028.8586,0,124112.4513,0,90645.56827,0,0,0,0,0,0,0,0,4299409.709,0,0,0,669736.0991,0,0,0,0,0,0,958233.4704,0,0,1693956.24,311092440,52144258.81,4943928.731,0,0,0,0,0,0,649293.058,0,0,0,222298.8421,0,0,0,0,0,0,0,0,0,0,0,0,0
