filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
1,glc2 21% 1 a,47967983.59,2287498.876,11830715.07,190493.8232,1687350438,65797134.07,160328650.7,2029864.593,5371306.613,163412.7588,188110.13,6295.30123,131622291.5,8686488.501,967699.6293,64037.62827,97406.97991,1589840.324,333260574.8,32769536.49,65345944.09,8376923.462,7681479.381,3022291.2,14430238.94,514768.5954,257045.0422,632.1542337,140293617.7,12802539.99,29850014.16,2639070.865,1866106.171,1211644.563,95750.37504,78891.12696,12510.5315,18292.59265,30657.30415,2381300.374,167587.1175,174644.4827,22844.11586,NA,3748960.97,355825.4747,681088.6059,92198.06487,82420.67331,42773.43952,29479514.04,2518195.867,5070539.687,459052.4354,349639.2148,70869150.08,9299867.998,41168981.16,4266267.042,6579810.93,547731.8535,144921.0759
2,glc2 21% 1 b,70695255.98,3327992.774,23835974.89,384967.4621,1562793651,61422868.23,185792998.2,2874163.783,5146536.174,163318.8071,202877.5579,2594.238545,141632849.9,9268380.305,1192428.152,93730.39114,79216.46532,19952.66491,365452827.4,37536840.3,77209910.53,9714623.798,9248534.432,674429.6118,16567080.14,602915.5724,341776.621,682.8807513,148504376.6,13524481.56,32946604.4,3069964.551,1541615.356,701988.2049,63164.18019,102493.3586,15294.99163,19315.19116,NA,2045717.723,155801.787,205892.4909,25910.42536,NA,4299125.81,435892.0868,872924.4835,110638.5313,109767.9593,10683.79664,27249133.38,2645918.035,5951145.523,563002.6032,267645.7739,77878229.7,10769832.35,51804917.38,5525144.028,8179652.813,718880.276,234007.955
3,glc2 21% 1 c,74113429.87,3483186.47,25055336.36,407976.2847,1869610122,73871004.82,250852736.2,3904408.939,5854751.227,182114.2536,281059.3459,3984.845573,169134036.4,10923830.3,1431163.001,115734.6224,89633.62567,17575.62302,391706671.7,40621413.71,85689009.66,10756313.57,10660289.45,960888.875,18800478.06,667310.9011,382953.0557,664.1917519,160725244.4,15239540.97,37630285.39,3480554.664,1768806.788,1024275.623,87922.62404,138473.9752,22786.06731,25800.93272,NA,2356312.285,186220.6039,234464.098,29362.12325,NA,4809282.335,489624.0757,1027043.944,131970.1183,133764.4708,14932.18014,31873307.12,3062411.772,7027063.544,685580.693,341272.722,85842195.74,12211653.53,59857381.12,6533574.914,9833062.729,860509.9406,289912.0139
4,glc2 21% 2 a,97813786.11,4922683.235,36103716.77,663512.9794,3210971903,129294108.2,447736332.9,7878019.863,9226540.95,314475.8984,720588.0875,16486.67864,275463053.8,18011280.05,2731986.315,300023.2401,337360.3512,7155.55071,464453418.2,53753706.46,129025108.7,21492754.98,21484845.46,2533697.504,30956937.9,1255001.854,643106.4507,2624.675188,197377510.9,21976267.48,60004453.99,7067819.236,3858609.844,1384564.628,133267.8503,283461.8005,51440.17057,64236.61504,21286.82055,2597120.337,248341.0828,322360.5435,54865.26494,37801.31125,6490408.27,760069.4652,1803096.572,291345.209,306665.983,36465.738,47664476.4,5319345.66,13966447.23,1689012.85,894940.6945,99168851.8,16722034.83,91978295.51,12054239.82,19919797.95,2103623.128,920924.1457
5,glc2 21% 2 b,85783454.08,4668497.036,46724340.79,950339.3661,2170866090,93967285.28,547455900.9,10241342.02,9646078.329,348621.53,846719.9182,21191.04603,301517625.5,19915659.95,3443359.522,378037.89,409632.3248,76623.63858,479221705.7,61078910.89,144925534.5,25249808.57,25242637.39,3119250.097,28858469.02,1227081.543,727127.6506,2541.085195,196231714.6,23268523.68,64660322.79,8455503.439,4401001.452,1343581.487,146220.7515,329390.3531,68408.77487,83165.88698,35310.26309,2323556.559,229047.1067,396564.0298,70001.7436,52258.21386,7692008.792,933826.5771,2339776.652,408012.0651,420293.7825,56678.42408,52183294.15,6254601.304,16898781.33,2201657.252,1172093.042,103123451.8,18262655.76,98905270.88,13914753.37,22663856.34,2623698.772,1132010.714
6,glc2 21% 2 c,96164056.48,4829334.306,38331370.65,742208.8919,3045841151,122652769.1,484829818.9,8793014.395,9671192.274,308832.1148,838022.9955,19618.51415,305248811.9,19944246.84,3293364.715,380296.5581,384613.8413,8255.569579,482495911.3,58172454.22,138188947,23004668.14,22656471.19,2741021.463,33409518.57,1384805.228,711659.5944,4373.247229,210552966.3,23890529.01,64843009.63,8178348.288,4387140.57,1286246.911,139583.9994,321332.4231,64777.62786,70610.14347,33131.52639,2708645.886,236847.3272,385349.6022,68948.98123,42309.75899,7372378.762,869727.9285,2144645.381,354133.7483,354661.6114,49398.98458,49072311.11,5680446.056,14996326.18,1817014.322,945409.5964,111310978.9,19141108.93,103537345.2,13965484.99,22728140.58,2459325.645,1063864.327
7,glc2 21% 3 a,135679979,7239345.22,65099900.25,1356696.785,3791695255,165425923.1,992866581.3,19262986.67,12507934.32,499463.0102,2215618.418,50466.26793,411116912.4,27396457.81,4144560.726,454943.3237,539715.5162,9737.344814,730829230.2,78635558.8,194276840.8,30416704.56,35250245.54,4134491.702,46699450.27,2062627.587,1117043.341,13539.30774,274160372.9,28489461.78,86567519.64,9873580.323,6241435.324,2096035.14,205724.4591,539469.0742,111769.6086,142245.7838,35424.9576,4085752.341,359413.917,659972.9288,108716.3869,78644.47618,14050280.66,1491454.721,3790220.566,596888.9819,690920.4876,91118.55222,100290511.8,10562430.8,31886609.67,3574617.589,2233068.729,118598129.5,19605680.29,117158724.3,14803038.13,27260660.37,2786675.039,1366837.513
8,glc2 21% 3 b,134846779.1,8192690.593,90229890.52,1997593.045,3643402239,179888734.9,1541603066,33262987.29,13729877.7,607691.3406,3032360.076,76100.9791,478256821.5,31398453.07,5957653.545,644674.311,831039.1038,44110.04333,846608506.7,96775852.5,248048070.9,42776318.51,47312036.98,5532550.038,47792082.8,2267967.561,1562873.836,21189.00509,322797459.9,36532380.8,110169627.2,13452167.85,8410028.565,2134281.651,238648.3012,698049.2859,147889.6325,189661.2863,40660.05156,4500152.923,518947.8465,925941.6795,183540.033,133989.6531,17598881.09,2064163.937,5213228.45,891873.2251,1034042.198,129979.167,122897868.2,14339452.64,42679619.59,5282561.994,3188898.075,123706619,22557443.54,131107860,18009916.42,32135233.32,3593401.593,1705110.079
9,glc2 21% 3 c,99758568.54,6027575.04,72964025.64,1515060.803,2457005547,118619286.3,1012741540,20157127.52,16408163.14,663850.0548,2189113.458,52381.64394,417752514.4,27563118.41,4320532.568,500497.0692,533762.6798,8069.824899,712099298.8,75897590.56,185863403.3,30563089.89,34013585.09,3873323.381,57984815.93,2408419.061,1024585.52,10011.1081,272177383.1,27666272.78,82049157.52,9223220.907,5718658.332,1741465.034,207653.6892,497072.7838,100763.2308,124687.7436,33821.31208,3731457.767,347529.8574,607096.8825,105239.0644,77692.17802,12309426.8,1313976.832,3317387.21,525987.1044,613362.4581,75486.45897,99592220.67,10091345.86,31075487.06,3434962.911,2212286.321,155554210.6,21328616.58,102063257,12789642.13,24074975.94,2500617.201,1207777.494
10,glc2 21% 4 a,165165053,10668942.28,114779920.7,2796933.133,5867155008,324982590.4,3059002471,71313441.39,23250817.88,1169915.185,8720954.906,228461.1632,641280177.4,42495508.28,9697778.938,1259083.197,1389416.267,69923.08224,1216460939,131402066.5,329757681.9,54369919.81,61170847.97,7387493.131,67757168.82,3855217.493,3698601.363,61229.94214,375688496.9,40370257.43,122647703,14429584.81,8698256.381,3195295.298,349495.2881,1019516.212,202148.3567,275051.9128,53869.51078,6002779.353,581407.7312,1148027.95,198632.9693,160314.903,24288656.72,2689262.663,6829953.34,1129781.094,1310143.518,162150.2192,166140029.9,17823884.4,54735824.71,6474579.888,3696581.559,157731577.9,28393431.07,164871994.9,22306373.85,39712421.53,4459425.152,2004638.163
11,glc2 21% 4 b,133980302.4,9226680.855,107046661.4,2652185.947,4735958146,279282582.4,2903547428,69253622.89,21111936.08,1071076.997,7787065.651,210892.2457,567281878,37962186.8,9109998.407,1474327.35,1494865.306,134335.3379,1121951967,129440381,326738965.4,57476649.24,65108083.94,8032129.521,55582724.05,3317927.176,3217049.651,64803.60187,364561239.2,42483268.7,124276901.2,15863420.94,9024831.386,3243273.836,385921.9073,1109976.934,245357.1229,297971.4761,38547.78827,5801359.852,637249.2851,1355236.842,262803.5505,199876.7647,25947329.98,2996903.878,7707482.54,1370675.639,1515458.16,210206.3706,160002832,18670143.81,55046561.87,7050166.899,4111328.547,147964529.7,27975715.81,158363970.6,22886871.23,39048097.92,4682230.837,2069830.196
12,glc2 21% 4 c,135538928.9,9552917.508,113564942.6,2737901.027,4481271218,273533489.7,2971102979,71684394.62,22028941.85,1117777.035,8434508.155,211749.874,650563267.3,43150270.9,10263249.26,1486055.649,1756517.269,18029.21336,1213838442,132974492,333166742.1,56895479.37,63297733.08,7559887.08,65708448.47,3749291.893,3674998.673,83618.79209,383229581.9,42059831.14,124444996.1,15217927.66,8579045.844,3887476.779,444567.5623,1149040.034,241115.4632,295188.539,40798.76739,5761332.794,637447.5365,1295746.187,255911.6803,172963.9143,24958105.85,2797070.296,7137650.56,1197188.223,1369455.175,182143.5403,159918520.6,18091131.78,54176348.49,6502530.675,3835229.217,155099021.3,28541902.46,166118092.2,22708328.58,40387517.12,4580299.606,2053816.528
13,glc2 0.5% 1 a,119236519.7,5054814.745,19315401.65,329666.3644,2254949030,84083550.3,53475235.65,156135.333,5264298.812,116313.1484,101503.1934,1344.03163,107431983,6882089.564,502123.0564,6128.969644,8477.31887,44791.76391,151559848.2,13982346.4,33280005.99,2999700.832,3796734.612,161034.1344,21794613.02,784555.0577,381165.47,1892.989337,67601189.73,4703251.38,12990745.48,673951.6565,417226.7265,1249527.38,91837.79435,51364.69253,2813.622133,10420.7058,NA,1969947.526,125374.1287,90218.22247,7810.099892,NA,1696676.451,144261.1537,319164.6927,32031.06255,38712.30179,6058.900972,18193660.22,1214199.819,2176767.956,107559.2934,85855.05329,57691909.53,6340158.853,25376766.93,2099467.138,3622098.548,207176.9855,42750.50592
14,glc2 0.5% 1 b,100697170.7,4480047.429,23470202.79,426146.4641,1135709006,42969099.02,64474758.34,639494.3137,4438024.845,80720.89756,97845.94203,NA,112029278.3,7232656.782,538247.5138,4656.266928,38181.36573,910095.7758,158497645.5,15228150.29,36249095.62,3233042.43,4235293.149,840651.7173,17043270.24,625822.4164,373196.8254,1605.088931,67275659.84,4859385.5,13507701.31,719950.4926,497424.5623,1202013.146,77010.7468,48192.49619,6818.171468,9020.053299,29067.8466,1887798.056,126984.5868,103612.1395,8631.880621,NA,1760006.12,156109.4647,357210.3231,35381.58158,44791.67738,14602.29762,20078513.54,1359750.376,2654702.957,145583.2803,113000.7439,60449884.64,6711040.346,27583424.73,2307168.261,3948138.975,241661.9334,43498.30874
15,glc2 0.5% 1 c,171212698.9,7528105.722,42925923.02,745115.4319,826555319.6,33115087.99,97838442.37,1491134.452,4936996.654,137430.4104,119722.0305,2669.894261,160256567.1,10194799.13,685393.7345,5195.57371,11441.79223,3155.709733,178596857.6,16786496.23,41607477.91,3829522.742,5084684.808,267644.0286,18190328.69,644458.3807,393248.6212,1553.572285,78146302.78,5588074.034,15735703.9,848811.0191,529835.5,1146922.459,79640.67382,48763.61574,6814.430958,NA,NA,1796381.984,96597.87008,114903.0417,8514.718733,NA,2085087.863,184527.6636,460286.0894,42593.90495,56211.67756,7149.434192,18933331.78,1316399.361,2784107.164,159643.4812,105797.7392,64910412.68,7318773.134,31566421.04,2655917.115,4571179.666,245264.3629,51360.05137
16,glc2 0.5% 2 a,95882344.6,4286166.527,21143232.22,354698.1187,3264865760,123841749.2,164706055.3,1548476.227,8317420.773,226211.8223,323836.0876,3870.616323,190717072.9,12148044.33,1320764.574,65381.34154,124295.9293,12459.08487,240356968.4,22471883.01,60973806.1,6696847.003,9992672.047,756708.8687,26342892.04,1026594.357,501552.9309,3578.409775,102898272.9,7607645.589,26277343.89,1576043.725,1257600.607,1660601.095,105953.7294,130279.2972,21510.04691,NA,28277.57405,2528378.925,144613.421,161935.0326,18155.98787,NA,2833509.648,240143.712,653992.2148,73833.72622,114862.1686,11387.50018,22731083.29,1642296.634,4125154.808,255894.4018,207262.6277,65845553.15,7490569.212,41247552.23,3769947.226,7996903.392,484168.9235,230810.4791
