filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
1,glc2 21% 1 a,74817363.67,3305996.719,12060147.13,184787.928,2825001989,105531045.9,90084972.78,615294.1232,3487257.272,129537.5733,110719.9109,2175.44249,123349071.3,7781922.994,539321.0797,8168.880384,5557.421871,31970.06979,228413318.1,22527764.67,41954127.03,4730453.311,4387945.58,299616.2718,32206622.55,1204079.197,415791.4209,2181.220143,94522420.76,8103695.819,16283341.02,1366444.342,673096.9213,1510135.438,130213.7155,110973.6521,13731.30831,NA,1491753.249,102869.0663,68789.44778,3131.624149,2379.557763,NA,1735521.032,157838.0805,295032.7308,34531.77467,30159.41423,4477.660094,23169290.31,1907242.705,3608054.226,287795.1913,143567.2403,20347431.58,2586844.443,10276771.71,1036040.912,1423671.3,95012.48672,13251.83284
2,glc2 21% 1 b,57552368.95,2559130.5,11606889.37,168529.013,1057121481,41251048.31,92150919.56,1213726.623,4343684.07,150179.4032,109629.7771,5177.363707,119142168.5,7517807.337,550018.4255,10366.26814,14199.20401,2533.239718,207225545.4,20559007.08,39395829.02,4544097.234,3849195.455,259184.2268,26477794.09,981261.3602,484916.9267,5486.804095,79047214.81,6855295.545,14908508.48,1134133.072,592638.3615,1322034.617,117383.4277,114942.303,10857.03867,4783.795501,972727.1295,82531.58213,64874.71475,5729.32922,5601.142618,NA,1661107.05,160886.0051,312831.5754,33157.41779,31515.31763,2551.598147,18136188.11,1549224.505,3241582.135,259879.996,127943.8041,19047286.02,2585694.337,10502674.84,1090898.867,1429579.192,89484.16158,12181.71194
3,glc2 21% 1 c,46026127.59,2137885.891,9914697.633,161160.3983,1474460420,56476780.27,101645841.7,1202865.832,4482526.357,162349.9731,125378.3259,1493.439348,110777406.8,7172255.635,579827.6758,25287.62401,19730.99079,NA,218969334.7,21864377.74,42071173.73,4961762.921,4375552.689,340528.876,22221504.54,819702.1657,446425.8939,2455.491031,79226361.25,6895252.412,15519567.84,1264833.622,608381.8681,1408382.093,99844.21148,131606.0093,13530.4779,3821.06915,909254.6426,75975.74705,59801.07751,4080.08035,8617.505862,NA,1749914.638,169599.7307,330250.5903,37845.50209,35317.78553,4099.093516,18603238.81,1628005.429,3371457.301,285661.3293,146160.9186,23090428.46,3050610.207,12871641.69,1322025.166,1809015.485,135606.311,25571.32809
4,glc2 21% 2 a,37944786.41,2015663.958,18488364.41,355869.6461,1192934345,48895404.89,213148708.1,3878643.632,6957884.376,228599.1405,464371.7518,11191.89699,193224389.5,12466909.33,1708021.45,165322.6352,162700.3638,4978.264407,318885032.9,35234827.76,82419795.86,12633375.85,12021913.56,1223978.073,26829981.74,1036327.908,564022.5933,5328.632373,121439298.1,13192258.54,33591885.64,3984234.698,2076470.039,2191275.898,191461.299,306185.7424,51843.46155,39012.54892,1553461.012,125147.3088,134501.5367,18671.06315,19312.67179,NA,2950045.974,320430.0683,735223.6386,110158.8335,113419.034,13930.275,33931679.14,3450338.506,8054643.996,940660.5329,504791.8803,34273973.6,5391820.267,27107383.1,3470890.924,5395074.418,582696.6736,223901.8261
5,glc2 21% 2 b,50551252.83,2576050.769,21804381.08,418747.2659,1681176687,67764493.49,237409270.5,4164066.293,6765595.667,218423.1027,430005.0247,10662.03367,186960564.5,12207641.62,1732695.289,167565.4671,161783.8623,18400.50796,314331512.4,37313912.08,85460280.82,13289909.03,13027437.8,1328485.821,27234170.76,1066907.927,576417.5117,4461.355348,131199170.2,14982572.21,37494892.78,4561120.859,2342867.256,2040788.014,221990.8465,345634.6255,61357.20207,47126.03081,1225171.015,112610.0711,138439.6564,21070.97258,20822.63506,26026.95888,3054440.977,342387.7235,810113.1675,130231.4465,126550.6528,18024.33636,31249885.9,3390435.146,8036302.849,983176.4216,522778.7109,37016171.71,6051933.498,30394900.13,3992617.734,6040358.524,691226.553,251799.4577
6,glc2 21% 2 c,55845863.72,2809494.244,22324715.89,427807.0725,1971172874,79027109.04,280964762,4949171.067,7675687.175,232485.6738,497181.9297,9484.627845,212705169.9,13731330.65,2075287.607,232999.2968,189337.6991,NA,349728214.8,40330918.53,94128239.84,14718219.21,14073761.92,1555439.493,29532370.39,1167850.612,560271.73,4709.599644,145725250.8,16246546.09,41298394.02,5007973.508,2482308.579,2131956.763,225305.1599,344916.6872,62027.97706,46555.63851,1215552.219,103059.6438,160518.8053,20084.42592,27096.85619,NA,3190699.247,355759.515,847484.9628,135718.9781,130246.3951,19884.40484,33924430.81,3627998.448,8797089.144,1082410.69,565539.1923,42160218.93,6897741.75,34822491.79,4562904.862,6934467.414,785795.6644,296033.3834
7,glc2 21% 3 a,78957711.37,4608847.589,54570135.75,1109577.432,2381297053,109844795.2,836476219.6,16301471.96,10905060.37,423590.2258,1598936.238,41027.48691,368084450.9,24062852.58,3027494.004,302157.5443,378280.254,5619.802018,606884067.6,63722698.96,156953579.7,24680560.46,27800267.95,3284066.123,50442155.97,2056610.259,1159677.074,15939.92038,206587741.2,21059536.47,64630587.22,7375891.33,4450631.841,2996759.393,269458.8345,454108.8537,72445.29139,57289.93588,2579169.85,223361.1321,413283.4209,59359.37476,72338.36582,25845.22295,8416028.808,885059.3454,2201953.412,358227.4525,400646.7985,49036.94242,75680203.11,7757219.596,22876199.03,2611783.231,1597284.216,52224942.74,8493302.459,51829364.84,6401614.79,11834134.97,1233654.582,591582.7109
8,glc2 21% 3 b,58446724.93,3361206.578,35863618.03,725195.6933,2240410068,96984355.47,602704984.9,11449758.71,8717026.927,367711.7971,1144910.536,27441.9281,297063614.1,19164740.7,2759495.013,255088.5592,312793.0637,NA,499318596.5,54996897.95,135992231.7,22032408.5,24555411.9,2904085.935,41596087.37,1738298.693,958290.129,10592.36802,176062727.3,18405952.74,56075721.52,6597893.687,3893492.701,2369194.551,242076.2219,422345.3591,77071.71887,61433.73931,2128973.743,202032.9982,344922.0843,51970.2202,60779.35524,27157.70199,7132991.257,784475.4216,1952268.72,332341.5237,364393.1782,48221.54045,62233596.43,6499253.57,18891551.33,2235823.693,1307903.684,50741008.15,8418755.066,49725568.96,6345391.799,11487695.38,1232092.197,571750.8769
9,glc2 21% 3 c,51725632.15,2915589.645,30887407.54,599148.3548,2001432948,89347434.84,599555452.3,11581227.75,9816919.695,393652.1553,1349192.682,32443.98319,323429173.5,20876249.7,2773531.919,278709.8707,280800.4062,9872.108571,519920731.8,56279801.55,136346536.1,21935134.03,24583038.93,2571481.476,45304774.3,1882737.625,1067547.791,9561.68269,184918411.5,19248125.19,58031552.29,6422188.217,4042945.376,2478201.907,226038.5633,408264.5907,74951.13629,51458.28185,1898157.325,187269.4173,347100.7182,54350.60678,64584.24267,34059.19149,6986000.921,755847.3372,1840910.397,293129.3263,348394.4933,46497.81879,65790130.96,6719882.313,19778811.35,2210219.627,1337169.759,51461597.79,8322128.984,49961474.24,6210377.181,11418424.39,1199200.915,561117.3937
10,glc2 21% 4 a,97098724.5,6506166.288,80400065.02,1841440.311,3274427377,180287277.1,1842427194,41496542.1,19523556.23,903040.098,5586036.967,137617.5608,509936189,33327256.31,5297196.899,567825.7482,759583.5,4006.501653,975511354.4,98378422.76,237454680.4,36913654.27,41859733.69,4643947.705,64840697.76,3056774.74,2457256.815,39329.50872,336206680.1,34263201.13,99574424.11,11039994.84,6474563.982,4645767.829,481378.3326,874353.9415,149141.1,105778.5766,4356928.3,394228.7619,870877.4456,131840.0016,149715.0226,36963.19188,14970390.57,1515899.091,3676085.573,580832.5823,661532.5494,81233.2328,130999303,12989638.99,38163799.98,4318553.206,2480183.96,79346493.48,13543185.26,79939813.82,9959723.185,17776055.91,1914113.868,868111.6105
