filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
1,glc2 dmso 1 a,77501942.69,3743651.744,24561283.14,497219.7663,1471604739,59520529.91,234464337.9,4153501.251,5687359.695,209601.2026,193717.8378,NA,195917199.2,12501675.18,929341.7098,22818.51664,18619.52351,12353.19751,393558063.7,39798044.85,83274186.66,10010673.69,9620922.807,788156.6076,17952025.19,651039.9036,298671.751,1604.391562,174698618,15875376.18,37824471.55,3158399.857,1722043.359,3275172.537,242179.2672,244851.8639,29535.57883,NA,3493551.987,258944.6529,183274.6086,20770.18341,19930.45122,24623.20455,4822140.493,477254.5819,972589.7036,121879.7306,114337.3736,12025.52392,37174587.71,3090589.048,6254766.398,565166.2827,290164.2763,72190568.18,9545221.7,41337548.16,4336303.534,6295209.819,476732.3921,127979.1485
2,glc2 dmso 1 b,106046887.6,5095086.192,35193016.1,719172.0026,1187641178,50245596.37,255052662.9,4819466.114,5813070.589,188436.1768,195056.208,2258.995376,183662936.4,11975542.77,908992.329,15868.66576,8509.066102,NA,357802231.6,37600931.59,76781116.74,9114689.198,8143340.616,590574.2757,16923563.16,601994.697,284463.1212,1237.856876,170129877.7,15440391.75,35845244.6,3078518.488,1512281.796,2269859.308,200679.367,231700.971,26575.0072,4407.958494,2319738.18,175331.8008,183679.2444,21646.81985,17817.73898,20532.53937,4584960.257,460662.9726,919777.2994,114393.0588,113748.9899,11766.08065,32403654.41,2856226.448,6078187.416,530153.1213,269822.7595,68467272.26,9379865.23,40718020.04,4240677.604,6017755.389,449907.6333,119070.4535
3,glc2 dmso 1 c,80499039.53,3916665.636,27603292.07,532592.6722,1720040844,68599063.49,228284826.5,4037497.965,5528787.434,168197.5351,172032.7958,4982.101593,167132986.2,11057738.47,917858.5947,51657.90869,33641.01358,1018.253356,381266645.1,39814306.54,79479260.98,9735625.766,8770272.431,665063.1935,17044597.54,599790.5068,282120.3673,NA,171159224.7,15198209.33,36562810.88,3153839.52,1586074.578,2347411.2,192327.3602,233066.3757,29078.16979,9044.400594,1995801.001,170008.6868,182621.1297,22975.14179,19418.71413,16760.81943,4639691.749,466901.2247,942507.9071,119190.9785,111226.4063,8403.032201,28356394.65,2539178.784,5551049.398,469807.8471,245627.8421,71790395.1,9803244.317,43404845.74,4472265.372,6434729.573,508366.0997,144695.5758
4,glc2 dmso 2 a,131094929.6,7025331.005,72498568.85,1564767.734,1723380520,75635976.01,469840666.7,9368319.405,8329030.545,214002.4346,517301.6801,11060.36233,272360794.6,17767123.32,1749071.089,170173.2557,134135.5112,75533.52269,440220738.4,54055841.16,128046303,20460801.39,19102344.53,2244034.993,25739080.87,1032902.974,455599.5149,3585.498384,210396461.7,24578503.86,61965047.42,7629217.053,3840593.469,2579680.469,254224.432,383964.7654,62753.04166,31990.89311,2080614.779,190173.319,328248.9139,53238.33364,51156.76662,29797.50001,6573847.789,783626.4592,1877867.666,308548.5229,290759.7358,39025.55311,41365008.36,4671427.57,11532588.26,1471353.577,745065.1,83808722.07,14259990.28,71347687.23,9602226.826,14615181.03,1616719.766,678750.3618
5,glc2 dmso 2 b,118493445.9,6600850.41,71566001.42,1545867.987,1247604782,58348974.63,470063375.9,9534130.531,7725782.362,238354.4519,497270.1944,10478.38538,258483675.5,17160372.24,1825367.064,191638.5983,152957.1801,43110.46401,431506842.1,53329052.58,129329723.3,21597530.15,20136880.04,2284905.976,22544886.26,862138.0613,425060.2632,2581.334664,205443430.1,24451847.01,61932628.95,8155715.853,4183853.414,2616703.929,284588.1981,422544.5224,74016.86802,38827.73104,2114597.781,211797.4865,351973.5766,53579.10467,53916.18573,27497.23586,6565034.259,803563.7027,1938081.193,324648.4698,313958.5449,42387.2767,42865346.99,4967765.445,12206183.33,1614781.925,811681.8754,83810290.42,14767147.58,73467923.32,10244522.36,15304176.29,1792860.85,718040.221
6,glc2 dmso 2 c,62085322.54,3598208.523,36004235.71,736625.7182,1311679475,59405402.28,415936160.6,8282452.85,7000042.781,220028.6352,490143.5659,11306.0292,251641478.7,16564550.64,1856711.038,150714.1975,115134.4396,10531.2576,428455907.1,53036551.49,126196382.7,20986555.68,19787778.19,2243456.772,23054097.02,896032.1445,457480.7927,4371.569813,207112060.9,23867672.09,62556044.11,7918693.26,4154980.488,2656535.331,282639.8515,414061.97,71262.43341,37463.8185,1815892.079,187322.4034,335266.8632,50066.8608,51552.09913,30122.50276,5783968.873,687880.5478,1712488.287,279685.8942,280171.141,37211.82098,39846138.39,4632880.431,11728453.83,1481453.04,740515.077,81956528.42,14278282.96,72026235.37,9917286.218,14990339.75,1717667.697,704210.186
7,glc2 dmso 3 a,155462535.3,8672800.498,82202956.88,1884180.053,4334183540,189388277.5,993450337.7,21316564.46,13461985.39,564698.9712,2072239.692,50329.40733,480653968.9,31660570.95,4413549.075,536677.3036,653702.0452,929365.1239,766007020.8,91675571.07,247460750.9,42157585.34,49469793.67,6115927.499,52376078.27,2194328.966,1174158.295,21174.15238,313556571.8,34474123.57,111441275.1,12632529.33,8484393.251,3216185.17,339714.6109,570062.2341,98939.88614,82079.40926,3489200.965,351163.8308,831083.9932,141042.3702,167264.1007,40237.99086,14331672.71,1685272.228,4751651.793,821473.54,964396.8729,114362.2521,98809621.03,10884358.24,35266728.57,4091534.032,2670146.289,103807511.2,18442258.83,109862663.6,14956273.47,28003125.62,2946215.488,1539553.89
8,glc2 dmso 3 b,99713114.27,6133238.771,67315136.82,1573194.217,2714713759,136595868.8,1154270828,26016166.14,10269373.83,433934.7095,1740824.4,43152.78888,395136301.2,25875659.83,4301492.5,590098.589,615785.2825,20411.72011,721713968.5,91178581.96,248423667.8,45434992.57,50330620.34,6218213.44,39844606.02,1797511.697,1099664.225,23742.99701,305327312,36055942.67,114965359.7,13912030.66,8787743.637,3246187.363,339974.6498,654455.8477,124703.6418,94585.47722,3133381.925,358964.1763,877212.6525,153910.8237,170879.4414,36230.72772,14293209.53,1806329.396,5078079.592,910060.0133,1088314.428,147945.6586,99045108.45,11653465.05,37341342.44,4540786.625,3006094.89,116100880.9,21729383.09,126977795.4,18180695.41,33141624.4,3650726.607,1892250.37
9,glc2 dmso 3 c,104276053.9,6729077.02,84271736.86,1936745.557,2079347379,110926268.9,1131460935,24650822.46,11991141.33,489066.3989,2159044.734,54827.0771,502483975.6,33113461.32,4926541.165,591802.2825,713518.734,14345.27505,801364357,98330679.57,264134278.7,45961560.6,53345251,6356007.801,45751020.94,2053185.982,1219176.262,19278.99942,323307662.4,36519361.41,119707832.4,13802067.52,9254380.03,3055319.888,337590.1051,646749.8793,113513.5197,89952.60686,3346190.807,349837.3051,924651.1727,159963.7667,169530.2406,37654.6946,15309090.38,1860955.51,5184111.992,911132.9681,1078716.756,137928.126,101846448.4,11600496,37432982.29,4482031.809,2958873.723,117583606.6,21494177.58,127770803,17549946.25,32654089.84,3553992.27,1786677.069
10,glc2 dmso 4 a,100243889.5,7368484.046,84196601.57,2309582.321,3013253129,184539243.3,1973391046,51313702.51,15823918.29,796143.3141,5472954.731,148224.1982,507677497.6,33690590.6,5871158.64,813294.9461,967766.6135,63189.16866,1017443022,116627468.5,307706678.6,50396886.69,60404454.54,7336497.921,45054884.8,2346420.278,2415525.324,57133.12948,337497206.1,36687507.15,118636157.7,13217239.57,8681792.976,4270354.575,436339.6065,884749.884,161237.9959,136730.7628,4894750.711,511840.8295,1272585.615,216544.0745,276970.2551,47855.27645,18180616.6,2131327.968,5621525.713,963258.9448,1164984.8,145723.2788,122390683,13300061.22,42760974.96,4891432.513,3148547.117,141711819.9,26073905.76,148857415.2,20441372.16,37324925.93,3977912.506,2020634.231
