filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,glc6 21% 1 a,3198173.488,259684.8689,510917.2266,124996.943,108035.9746,88153.79983,2948192.438,245492.3122,772368.5359,192702.7144,192644.4978,138739.7701,2683375.917,1003.524997,15979.26416,544911.9321,121817988.6,10683006.45,26615494.91,34794238.19,6163598.75,25120340.58,3524655.903,36363774.84,9337287.773,8380715.039,9623512.076,1445153.97,335605760.3,30144989.54,92506949.14,22133403.28,21587635.82,12586391,167766882.5,11099460.45,1096218.268,132091.5182,126934.8685,51757.53845,2072098395,77989376.78,19507257.78,612849607.1,33140478.44,2603238.933,5783769.017,7229487.858,1314088.372,68950887.64,3001406.556,2344255.336,77034802.68,21793333.23,762769.731,10863.21825,501960.1839,2371064.951,180045.5215,420684.8616,85599.84577,0
2,glc6 21% 1 b,2034676.503,188499.004,368250.3816,93056.47285,74040.98863,69731.48385,1985912.201,175972.5016,537335.5063,127115.1991,128740.0625,81885.23,1756755.291,0,5299.852186,319917.855,87677359.87,7556386.215,18974676.16,24686238.68,4287121.005,19928334.17,2873686.219,28997654.6,7665403.12,6638338.809,7632532.124,1155215.682,221454189.8,20248250.34,60144806.09,14648120.59,14121880.07,8163342.437,113878984.9,7571338.364,677669.4228,59359.63002,96723.80318,29835.20636,998686395.2,37770429.78,12458812.08,400104065.4,23400115.93,1933617.32,4501971.55,5585390.238,1007025.693,38814095.19,1743825.512,1375238.535,45113530.75,13301041.98,473227.4665,12478.95449,310267.2997,1459596.807,136447.1528,253359.2801,56002.84161,0
3,glc6 21% 1 c,2879338.435,251479.9093,528472.1155,126485.4968,116050.0361,86516.66698,2734270.781,244833.0746,736439.4059,174096.3029,180989.9688,115982.7428,2681644.135,1641.353031,10977.92034,500776.4111,106501547.2,9422638.782,23718224.48,30378437.09,5511017.793,24455230.34,3614947.908,37962556.71,9937863.022,8804602.845,9939876.509,1502821.089,261025654.1,23207662.35,72947743.91,17543683.82,16679840.63,9765806.686,141511566.3,9275436.3,970328.5347,138034.0541,114072.7753,49422.76173,1346630664,49686653.41,18738971.28,597804536,26421517.87,2147757.802,5147908.949,6367714.489,1141163.747,32229356.27,1499879.745,1237989.598,40716358.96,13957290.47,497242.6709,14567.13848,346747.1307,1953580.749,171662.3708,318120.8817,69480.34316,0
4,glc6 21% 2 a,7344427.138,576770.1948,1502279.296,339328.4029,444690.606,340254.2549,3439095.329,253019.3239,694893.1939,144655.8598,236035.9785,183314.1295,4140258.973,1129.424583,40956.31149,1352845.242,104342718.3,7478942.738,20841465.71,45317595.31,7383610.898,16471443.83,2416603.857,36225215.36,7706880.652,8625735.537,16303638.22,2400464.828,351043289,27899429.7,77767179.91,16770440.89,24995943.21,17360540.64,203741419.6,13363276.45,1269926.04,183239.227,284330.6496,185846.1656,2041779519,76787368.44,53292602.13,1651640409,34656747.17,2383247.029,6108057.195,13407544.91,2127179.309,37754671.39,1772740.887,2484436.785,75845632.22,21309517.56,787508.6217,58301.53113,526953.8332,2709783.851,158733.5315,398280.322,78478.8852,100543.8123
5,glc6 21% 2 b,9824958.074,756130.2242,2026373.584,485986.2825,636696.8685,491790.5488,4439443.886,334955.2131,946739.1367,211882.2914,328313.0265,244377.2116,6615903.753,0,71679.31905,1986955.21,135971226.4,10335438.19,27919430.86,61127115.46,10021820.3,20143160.32,3021384.53,48312158.95,10096500.39,11658491.07,21851135.88,3378563.581,515710385.5,39920852.43,118156636,25698152.9,38613007.89,27430831.55,265781926.3,17531924.54,1840889.79,222275.815,378304.616,194214.3145,2876668705,108537638.7,107691672.1,3307532048,47052775.19,3273785.165,8638292.46,19080217.95,3064462.55,38416085.63,1822457.562,3448303.928,108432231.9,29603940.64,1092511.797,98187.56943,902721.0783,3827154.163,249990.95,631377.8826,131165.0334,184077.1273
6,glc6 21% 2 c,6536680.431,525010.5309,1290026.226,300927.2077,385068.8658,295753.5566,3562922.461,261437.4642,748700.0956,166936.0948,245415.3085,193565.4795,3303577.916,0,37619.68247,1045401.776,100019508.6,7224431.152,19631336.62,41828133.35,6662301.568,33153593.81,3517366.753,26971494.09,5973230.665,6429600.226,11654032.95,1746607.64,292197703.6,22690343.13,66792624.09,14965511.17,20968657.14,14526342.22,154802187,10188369.33,958741.8657,113053.3678,163692.1608,68337.50635,1829717332,68596775.03,42227414.94,1331400554,37005435.77,2576829.889,6504410.406,13726147.45,2171422.934,59889172.39,2681943.488,3955538.718,125130213.7,20149465.27,742883.7724,40080.9717,488558.289,3104612.955,203003.6839,429616.1826,92623.41092,107665.1031
7,glc6 21% 3 a,34369590.32,2435594.42,5232643.566,938058.833,1867192.822,1480574.411,11258693.64,794391.2695,1653233.245,306549.7727,622824.5858,509794.3482,7253676.124,30934.29725,249516.8122,6590470.151,112598490.4,7291499.784,15756269.54,68410323.33,5504894.274,15508398.39,2090755.048,32329049.4,5952101.728,6623186.641,18722689.87,1896920.543,637560826,45894056.63,98371215.45,17728220.29,34592563.46,26825933.34,301465588.5,19573678.36,1887873.605,190306.3495,415494.2776,245791.3216,1584776730,63652377.02,172989765.6,5287618783,59180329.54,3694278.998,8164660.456,35884219.62,2731105.245,42797109.66,2111398.422,8318266.003,243299330.5,27581604.05,1090179.988,196433.1642,1852576.371,4459759.725,251421.6755,590095.1631,96679.19072,209481.163
8,glc6 21% 3 b,32344194.89,2303355.1,5327028.878,972079.2442,1899263.891,1442105.24,10226472.62,703453.0733,1573383.774,291925.6452,619461.1922,496947.2974,3346831.612,37343.92403,177880.7679,4571762.157,108055433.8,7080927.115,15906516.37,66087332.46,5519653.53,12334651.8,1680709.891,25675536.24,4684668.875,5400926.818,15035105.61,1572117.543,728062188.4,52772835.63,122328324.5,21607348.17,43910435.45,34034661.83,274355222.5,17894891.6,1921604.013,223955.8484,426164.2551,288435.637,2199247819,86198282.73,178072152.6,5417586528,58806669.21,3771957.208,8402898.312,35972872.19,2919742.178,52334652.09,2509323.529,7364236.915,217531617.2,30475715.15,1248982.5,211679.3391,1928531.848,4396495.383,259044.6324,615523.4833,107910.2264,227553.6606
9,glc6 21% 3 c,35878565.16,2643229.312,6048210.067,1067013.654,2223324.791,1691284.026,12537251.69,886643.569,1943477.681,358798.2478,776603.6971,613561.7336,5978370.134,47806.53482,206578.1974,5638994.603,131044525.9,8393716.345,19259383.96,82038403.24,6911033.644,12955948.41,1758540.47,27166990.01,4912116.871,5804297.741,16366350.79,1655997.899,687975598.4,49339266.54,111827540.4,20800549.14,40959902.7,32309481.02,231102928.8,14827819.61,1579962.628,205124.4449,417703.6174,266115.3007,1151984460,47240008.44,163868302.2,4895111277,63006821.17,4022376.543,9023703.846,39195872.87,3134851.867,43180823.07,2208783.06,9715073.164,284493533.1,33973503.88,1435058.725,276272.4556,2306731.322,4821165.389,288896.0731,670919.1328,121597.1369,253291.1411
10,glc6 0.5% 1 a,1651504.523,133582.9534,138979.7107,35925.75988,24205.82736,32686.28669,854823.9917,71118.11808,204458.6152,56538.40939,60569.75481,52441.28649,1627687.061,636.3108465,1373.646672,119420.1521,27529281.33,1869454.504,3426971.923,10011921.35,882125.837,8799191.08,1034680.102,7743702.276,3540094.233,1496715.161,2879592.205,264592.8412,84793980.61,7435383.246,23664595.07,6536959.216,5878224.962,4111417.81,64513097.16,4308268.095,193840.2513,10273.41678,7433.774753,2996.270954,797415011.7,29578967.73,2947244.486,94523803.8,8751707.221,552341.3669,738950.8224,1992483.038,201755.6272,39350711.42,1755284.745,870932.4111,30080873.87,11597067.97,393521.2844,3056.899767,253568.3327,1279155.52,102250.001,85061.61594,9552.944009,0
11,glc6 0.5% 1 b,1974808.7,155541.3076,228328.3945,62359.71438,48189.20728,50258.10337,1200376.775,102769.5903,347824.4062,99659.70191,95211.37688,69920.18695,1704404.878,0,403.5515871,148439.7576,33837194.69,2415728.321,4951662.69,13562707.26,1283162.451,18839783.55,2094554.95,13072311.93,6101355.406,2627843.575,4880023.723,427741.5254,105865301.2,9528113.245,33211357.6,9365538.973,7943623.972,5480196.977,91916304.65,6005114.415,360288.4208,20965.24152,22422.38982,28596.93151,754449363.9,28550934.23,3555904.53,112414441.6,12564522.6,804182.3609,1245521.59,3134547.558,316508.5334,38801131.57,1707686.033,1198545.068,40567941.71,11691491.71,400622.5095,5267.019363,318116.9972,1305768.975,85210.83813,137526.2125,16348.5723,0
12,glc6 0.5% 1 c,1794332.189,137887.8366,192747.8685,57598.31768,32195.09931,45828.36553,1237824.723,101351.0189,338088.2332,97184.05882,95362.57654,68284.31605,955448.757,2372.004149,0,144428.2254,41886582.07,2927102.356,5664774.051,15652408.91,1392267.144,21016620.77,2477617.684,16534434.53,7889602.406,3226339.306,5893022.076,482683.9626,125030918.3,11459690.11,39848667.43,11582038.21,9197267.13,6352066.418,101169583.5,6606372.181,322066.1835,25960.48378,9528.116202,8621.605997,1655160055,61879095.37,4698170.505,140551937.1,13060581.94,855851.2027,1182696.936,2970135.072,297359.8298,50392369.34,2299668.454,888909.0697,30622759.01,14651744.83,523618.7461,2136.68969,357185.197,1783527.615,117090.9227,162279.7215,21288.69549,0
13,glc6 0.5% 2 a,8076496.834,614020.6174,1737982.115,428631.8168,639803.7718,545195.5277,3349516.879,239847.2367,777548.4627,185288.9231,317999.1098,265248.438,2386299.938,2492.970808,11097.69551,559733.4893,68580018.63,4170270.178,9497202.043,42604918.61,3919768.843,21557332.11,2637231.98,31578338.17,11102423.98,6770881.301,20197769.56,1703129.246,234040229.1,17851222.8,55398796.04,13709722.4,21281297.2,16606517.66,197711123.4,12949841.07,596639.267,21610.88559,82772.86877,36260.87017,2477267729,91914484.17,23466423.51,737201052.7,19440215.34,1161667.864,2191075.637,9138557.121,902035.2291,46662276.6,2055480.366,2314430.563,74713556.42,23777629.97,858785.7743,17925.41753,650693.4368,2793471.275,183927.9251,341045.4188,44595.7997,106603.064
14,glc6 0.5% 2 b,4003222.857,340501.0421,915226.3238,253371.4942,297777.4464,279075.361,2107830.679,170353.4521,606947.2649,162337.9719,235125.5903,184631.84,1870897.444,2768.702847,7259.185962,454504.1788,35593197.02,2369896.855,5992654.151,21297308.13,2284117.184,10001764.13,1341147.9,17088815.55,6410571.576,4039608.266,9643981.438,972347.1796,136214241.4,11169551.27,40207523.41,10544543.07,14340077.63,10823596.01,128319881.3,8425191.328,463867.3711,34158.98094,60283.00318,56800.11118,1124963931,41491968.05,11424401.05,372479001.2,12561029.19,831471.198,1832081.918,5878645.148,708438.4816,28341126.7,1292412.199,1452743.372,47163657.83,11132074.73,415757.0151,8924.217625,385924.295,1663581.934,106006.213,270667.7191,35263.45242,48676.26611
15,glc6 0.5% 2 c,2819292.936,246169.5887,674793.6023,184014.3972,190273.7828,165402.487,2002979.568,158333.4433,572070.969,159913.0282,191788.1716,160109.1778,2075857.466,890.1089375,1104.832009,276566.97,46956190.49,3237667.635,7664931.014,25085592.37,2596095.981,15545471.63,2060825.329,24043222.19,9687486.852,5414746.322,12192192.26,1193327.869,168934838.1,14467686.8,50487859.84,14133425.13,16613234.25,12208786.6,175486534.1,11698533.28,613911.5921,47579.69261,39237.59688,20863.2137,1101508795,41497716.48,9753810.523,308918137.5,11056427.43,755856.1046,1761129.886,5339040.012,606902.6969,30910943.18,1363828.837,1225051.745,40704380.32,17459133.56,619340.0645,11382.80222,530657.6575,1852414.142,145883.6847,302834.1155,44175.92344,58086.45395
16,glc6 0.5% 3 a,15823788.94,1115255.283,2185439.069,453596.1104,1108063.232,852935.0529,3702977.591,248145.4188,465879.3608,97198.95581,241673.6194,208326.7371,5395602.89,82558.99628,51164.74888,1581594.978,76038577.41,4180709.713,8079120.856,65688336.13,2686732.862,17527438.41,2014152.644,23757468.46,7039858.63,4687554.343,21831980.34,918876.6621,264102610.8,18275227.24,36500809.13,7472247.133,17699876.4,14232591.51,262705801,16855474.68,604297.5615,6157.486932,56493.02526,48304.91801,1729473042,65061366.85,44932274.82,1428161953,21002171.08,1163339.002,2071637.113,16861899.26,682082.1927,35756062.08,1585152.94,3242329.231,100124051.5,37741498.79,1404889.58,36638.84025,1118837.52,3122637.296,189731.2504,170248.6818,19774.34424,60105.37527
