filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
1,lac3 21% 1 a,2232080.27,192529.8804,298717.9524,67009.96849,29207.97022,69785.92218,3789882.005,347646.8209,828010.5553,187069.1746,141783.3373,104196.3872,3697729.742,110482.5238,14661.59297,452454.4283,157894294.6,14182815.07,26698611.75,26234320.84,3757676.02,44601894.32,6007516.758,42128166.81,11929885.09,7262249.299,6354334.769,733039.5045,379865498.3,35893471.32,86987080.25,19293523.98,13346038.71,6223160.687,179640330.7,11584783.85,1039794.046,110113.6934,78270.83934,112097.6792,2127278566,77853369.26,35872562.97,1760770777,26223403.5,2247880.297,4198575.554,3815595.008,568537.9035,101480051,4237592.134,975035.3262,51805619.43,20764119.12,819966.414,0,11495.36846,3514462.564,230252.7546,411738.6229,81964.4683,0
2,lac3 21% 1 b,1283314.285,111998.3516,152396.0041,33389.80396,0,52894.43602,2451780.413,210474.8656,504662.6454,103193.6678,88334.84993,67848.40826,5014289.056,160901.8487,8814.950851,294464.7536,111685034.3,9236277.675,15948009.42,15814474.57,2203883.933,40624792.13,5348858.943,35182165.79,10073595.05,5773202.078,5226515.965,584333.4094,281939501.6,25765257.11,61674237.38,13778417.96,9059315.636,4410516.773,131990932.3,8532884.813,759852.823,77113.96901,28387.25155,26102.93502,7135163640,265408844.8,28717383.1,1304264229,21799608.83,1803864.94,3400059.471,2991371.634,410337.3261,139417320.4,5714897.373,576796.291,31946988.86,45285169.52,1753002.66,0,15495.08772,2978441.599,233935.5117,379325.7373,56751.16001,0
3,lac3 21% 1 c,1596538.995,139704.9498,182625.3898,38375.53056,0,0,2964741.164,270901.5913,640441.9451,137223.8908,107178.5742,83607.3653,9717989.58,401454.3521,19957.99208,449691.5489,120059728.5,10097473.33,18229949.14,17493052.77,2601481.858,43838774.71,5980745.388,39437526.24,11013256.62,6838802.631,5960176.404,699392.4282,298475699,27756353.77,67871155.8,15025299.66,10374984.59,5091663.992,139158399.4,8963434.598,804064.3309,104702.8462,45581.7286,20361.42209,5461033770,173187541.6,28682217.56,1386912658,27688875.28,2368367.492,4358812.332,4036323.71,561707.9467,252429194.9,10368335.33,1197101.416,61630348.56,46080454.65,1758808.282,0,16718.38061,3493170.475,262642.8888,385416.3076,61775.41298,0
4,lac3 21% 2 a,4099927.689,362154.3472,676161.6047,149036.2503,89326.9173,92495.84284,4160913.57,340613.5666,734236.3913,150879.4593,111959.6316,92122.65931,3714454.524,116807.3779,29102.04044,1043604.819,142853714.9,11580092.87,21570601.04,25528022.63,3146347.689,53504900.48,6809637.86,51294722.04,14258804.92,8066489.46,8268220.891,911947.869,494460578,41418517.82,94518896.9,20224316.2,13860031.12,7679530.523,228457242.2,14932657.3,1456818.748,180995.2934,114149.8204,120040.9422,2527035102,93289298.9,35143595.39,1736204772,35696719.61,2695208.45,4929246.398,5546189.304,712297.8863,79959175.57,3448633.875,1080014.818,57297768.18,34492797.05,1310538.101,0,38200.60256,4354763.999,326089.725,564190.3208,84954.98492,0
5,lac3 21% 2 b,3951310.509,327949.6012,636494.2223,132764.4415,79267.59583,89148.16751,3894032.459,329085.673,701968.6336,148841.5592,109923.2961,78220.55158,3916348.329,126864.2887,28477.23999,887480.8608,0,0,0,0,0,49467413.15,6359395.137,47483861.54,13219212.79,7558202.75,7655932.601,855774.8848,445326514.1,37897004.42,84989197.64,18368601.54,13023551.81,7015133.771,209429753.9,13544734,1385150.188,201780.3074,152760.4002,90226.53404,2601466980,96158083.88,34828653.33,1705261424,34261837.35,2653353.23,4696423.901,5244067.465,625178.4387,123191113.4,5225651.52,1661394.156,85675479.92,37531470.34,1309876.974,0,32622.20262,3743520.091,279842.5567,463758.0496,69653.74366,0
6,lac3 21% 2 c,5671973.201,481789.3476,804362.3074,171598.2775,117830.2197,103606.3985,4410277.305,370664.3066,755420.6552,153962.0169,110784.9278,81641.4295,7062320.187,259077.756,30725.55538,1038374.876,143524049.2,11477066.09,20905719.62,24199461.99,3205488.8,51675344.14,6572510.92,46592919.7,12762804.07,7227718.053,7207441.691,806209.0754,474392240.7,39918364.26,86868863.6,18287684.36,12941671.63,7051292.088,216767776.1,14043243.22,1330241.241,187252.1594,116824.2281,94149.87844,3162128511,117304910.9,34904141.39,1694241855,39938846.8,3035061.741,5016176.8,5481683.803,662286.3116,90689905.64,3958948.715,1090785.242,55275770.58,36065356.14,1374467.944,0,39060.97428,4912071.505,361750.0767,542211.9877,86938.71746,0
7,lac3 21% 3 a,27498228.7,2002392.528,2498886.262,483704.7929,292186.9278,213993.9596,12181781.64,861563.9949,1077897.528,215722.1134,123470.6636,90346.65423,12751816.09,517584.3105,85559.48288,3277057.062,173201049.1,10442125.52,11266107.24,25084749.95,1377339.538,59467162.59,6196001.711,31576900.13,9627103.476,3097404.327,4460554.264,266612.1405,827782491.7,60665202.61,76154849.48,14343651.92,8687068.594,5198954.827,275366048.7,17845549.2,1300109.543,122400.9894,40914.26829,48568.96692,5753959882,213685158.1,57575687.01,2689177905,76409686.41,4551008.107,4226706.116,9598943.524,531877.5077,252675457.4,10385358.13,2925622.121,143399310.5,45499846.81,1723973.03,0,71669.66924,7056656.667,404400.0566,442701.088,40146.83264,0
8,lac3 21% 3 b,24274444.21,1773981.116,2521501.958,492162.9471,289142.4291,213986.823,11904879.17,865851.5569,1085282.012,203152.487,148469.7252,92923.89589,10555509.95,337080.42,58852.73426,2487577.454,189871705.3,12095292.35,13448660.37,28412964.6,1730300.259,65707347.37,6719522.293,34420319.99,10669089.07,3519643.709,5012407.815,315653.8908,906186522.6,66850573.79,91351714.76,17245479.19,10848275.35,6094596.233,274152765.7,17473089.07,1415457.245,126037.8241,105310.7727,59323.35847,4946442288,237102148.9,52045821.26,2502564810,70990391.86,4351913.741,4516331.598,9914929.174,563367.5386,170651396.6,7055129.435,1769469.694,87662770.5,51876726.07,1939695.086,0,69489.81601,6624415.046,403627.921,464363.5232,47791.54617,0
9,lac3 21% 3 c,26153998.6,1918549.116,2726244.81,468180.7956,301691.0585,222095.2871,11622182.06,839762.3276,1095537.454,197146.795,125991.4951,77572.02555,9315757.489,363236.6722,77154.53737,2747301.59,185960390.1,11507750.15,12370503.24,26995785.5,1523188.381,54869189.82,5828305.827,32044025.79,9777506.487,3191070.651,4443161.569,258926.1571,813762095,58525337.83,77165270.06,14407706.24,8810897.389,4846678.545,281862179.6,18266863.98,1439792.98,118402.3207,62039.40071,12494.09549,6262217100,231020478.5,57497579.04,2766795231,71239049.26,4308518.696,4480069.645,9638138.852,532004.7512,208018476.7,8686720.838,2250993.368,112427576.7,51520066.13,1927188.411,0,80254.75439,6843843.108,423497.1812,528935.5503,54730.554,0
10,lac3 0.5% 1 a,1378990.279,104819.605,84176.08062,20407.4506,0,0,1007022.031,80242.75112,272539.6941,67119.74042,55834.01021,64694.29271,1816925.517,81611.50754,10494.99505,214898.0152,32816837.53,2223965.601,3434908.212,7883292.438,807694.3176,26932701.37,3029029.953,17913222.36,7826901.459,3333542.677,5267834.512,454047.9858,93134405.9,8488882.182,28284815.53,7640230.22,5752742.759,3941911.364,105267080.3,6756734.183,324553.7917,30849.42683,35718.94465,9712.192892,1266590151,71803704.23,30217819.06,1521043739,12906889.12,842463.4936,1070145.51,2121482.444,225639.488,105374173.2,4518514.583,823309.9442,46317724.31,37923342.27,1454217.731,0,34921.90182,2218438.902,119073.365,155088.4907,14194.8225,0
