filename,id,2HG_M0,2HG_M1,2HG_M2,2HG_M3,2HG_M4,2HG_M5,2OG_M0,2OG_M1,2OG_M2,2OG_M3,2OG_M4,2OG_M5,alanine_M0,alanine_M1,alanine_M2,alanine_M3,aspartate_M0,aspartate_M1,aspartate_M2,aspartate_M3,aspartate_M4,citrate_M0,citrate_M1,citrate_M2,citrate_M3,citrate_M4,citrate_M5,citrate_M6,glutamate_M0,glutamate_M1,glutamate_M2,glutamate_M3,glutamate_M4,glutamate_M5,glutamine_M0,glutamine_M1,glutamine_M2,glutamine_M3,glutamine_M4,glutamine_M5,lactate_M0,lactate_M1,lactate_M2,lactate_M3,malate_M0,malate_M1,malate_M2,malate_M3,malate_M4,pyruvate_M0,pyruvate_M1,pyruvate_M2,pyruvate_M3,serine_M0,serine_M1,serine_M2,serine_M3,succinate_M0,succinate_M1,succinate_M2,succinate_M3,succinate_M4
1,glc2 21% 1 a,2122932.572,144804.4035,57119.44927,2094.059821,6594.647171,9968.326498,3972790.01,278421.8852,366346.2942,21505.1113,29060.58787,10165.56141,3011284.518,183295.4595,374824.9591,3179.609051,45027466.74,2709721.778,4247552.639,181224.9761,77849.62832,24997281.42,2336904.106,6483417.736,429946.7943,619287.374,24941.11175,591.598895,190056649.3,13583203.34,17051175.49,1195413.351,1353249.21,25461.0686,528137036.3,34150119.27,615882.1126,0,0,21993.82865,1726109376,65396040.75,50510640.15,476781.3116,44052206.33,2614064.452,4559407.868,191861.1927,98024.48775,81185319.86,3692371.143,19054710.94,323049.7603,30745839.84,1251197.564,686165.8082,7874.121609,1243120.476,82616.00314,40907.42903,0,0
2,glc2 21% 1 b,1781864.008,128436.7279,54970.99929,484.9168143,6655.584466,4765.009614,3593374.496,256562.5124,371906.9143,21595.74535,28159.93444,14655.29471,1723420.894,88004.65707,318798.529,3655.003366,38873324.03,2330906.193,4081641.823,178633.2114,95502.56754,23163413.33,2256501.955,6412512.677,441225.8086,632115.3928,33191.25536,607.77503,172178126.6,12507014.44,16313854.99,1118340.105,1232952.795,6378.388358,377923949.7,23692750.41,411166.2683,0,0,24457.57736,666096822.9,26175225.18,43203108.22,760820.9975,39001992.6,2364115.01,4336335.514,187690.3899,106034.7236,43435744.15,2044448.141,11962481.37,186131.9576,19602912.68,820055.9569,691259.4436,11489.95067,1294842.223,59809.54872,39386.74198,0,0
3,glc2 21% 1 c,2160663.89,152609.0505,48905.73306,2005.951236,1937.13617,6309.41268,3508790.817,250448.1931,340664.4542,18876.12999,28192.12521,0,1830805.318,115388.6858,327263.5868,4186.881713,37825294.73,2226712.139,3704444.333,176249.7361,79639.30305,23709606.85,2298220.79,6217302.106,422312.4815,611029.4986,26840.27962,1080.768122,163100222.4,11932407.09,15589035.14,970402.6075,1259471.188,16858.69162,429110168.3,27762634.19,550389.8903,0,0,26508.028,817756655.6,32002660.55,43498575.43,542712.5747,39345738.16,2389458.184,3989704.421,174050.2148,90950.08743,54068925.85,2644557.661,14215683.99,221971.7802,23218246.83,975496.2002,667772.7099,4923.547176,958394.6526,51962.82232,39964.22083,0,0
4,glc6 21% 1 a,2174848.084,157947.4566,109905.1285,19008.85099,20038.5484,22685.14608,4042007.492,286349.5766,658775.2278,103966.2823,104042.9798,75830.94537,1593832.286,1545.584675,26117.83971,979930.819,45305292.76,2791845.175,3906323.38,7754926.117,623514.0921,23191714.38,2334384.998,13285232.84,3170392.524,1539343.009,2588041.456,166548.6923,197696614.9,14995212.56,32598016.25,5396894.647,4858810.126,2631913.86,495154070.6,31493903.13,627689.3896,0,0,10484.61736,555555788.4,20880948.08,3758120.499,123838203.9,42718535.63,2626081.531,3771136.75,7044604.833,626975.9522,35690329.42,1444139.808,830155.8611,31978546.32,18192843.19,592692.6104,124909.5797,1940303.661,1156952.914,80320.63966,98223.41201,4176.752084,0
5,glc6 21% 1 b,2014604.553,149289.4877,111263.1751,21539.77086,23934.64181,29101.04137,3805270.34,284417.6362,639825.7916,111416.1022,97793.74698,74486.06634,1307358.357,637.7403929,24752.1738,937422.1639,43111270.2,2723568.48,3870086.237,7431340.783,615832.9046,23786862.02,2397644.361,13462944.77,3214526.676,1557692.037,2601191.001,173736.8757,187399920.6,13847834.32,31797159.74,4928077.364,4671498.244,2724443.301,439334330,28481542.04,534328.184,0,0,20256.9082,527385454.5,20090590.71,3445635.932,112394278.4,40865593.78,2566745.461,3798188.18,6976176.882,605320.2863,26279940.44,1085137.635,537248.3346,21993021.78,17341941.93,596615.3585,125196.1925,1893940.027,1317793.376,79391.69594,107683.516,4571.120814,0
6,glc6 21% 1 c,2152800.454,153230.3919,99264.84286,18601.55476,18738.17621,21019.85102,3720108.014,263444.5568,606092.5555,94106.55047,86900.8841,59793.50773,2615614.473,18962.60332,16271.37967,822191.0209,44215464.8,2621040.384,3337614.678,6694759.326,525044.9914,24512965.72,2428943.222,12236066.07,3053254.958,1374998.776,2352631.033,144465.1658,179632450.9,13232385.2,28331519.08,4757143.394,3958999.153,2228581.496,389712904.4,25174602.22,504005.5918,0,663.6168646,22410.39436,1597295636,60669790.85,3288788.701,95593188.46,40171654.78,2439762.819,3290025.92,6398171.291,533923.7514,38026141.47,1522191.222,416372.8739,17510957.1,29939560.21,1032343.493,103907.0744,1535310.167,1157346.462,51095.32099,83517.44067,0,0
7,q5 21% 1 a,1936024.909,137048.6214,8735.104892,75472.83791,28939.90011,797521.2164,1227388.021,103061.5628,92034.19637,491926.351,142321.2432,4775701.807,2477056.9,138747.3183,0,7954.035281,31166955.21,2027194.864,2319356.788,2683936.464,17424768.12,25887992.71,2368977.903,1883767.637,2280709.929,9898640.69,4019185.26,51109.03135,49033199.11,4643290.354,3721226.514,23053496.51,6606479.887,220761450.1,2455249.833,32200.06131,360.5593176,137596.6876,19979533.69,705808094.6,1031273169,38816109.28,231844.5785,179852.0875,36427422.44,2349275.958,2515277.328,2773409.457,19931838.79,48475125.88,1945461.205,0,76067.81537,26593224.71,938192.8278,4523.609929,0,1342539.775,63694.07027,71333.49031,1981.512306,0
8,q5 21% 1 b,1517879.755,122010.3944,2543.565492,24546.30521,21585.46183,596781.7209,1227649.644,76207.30049,57545.50053,153739.9529,95739.63518,3300544.918,1218656.187,66105.22737,0,1506.277074,36638577.2,1918660.458,456829.9509,2516017.358,3680748.244,25428812.33,2164250.351,540009.2158,1493648.208,2232051.471,5095335.666,49674.7384,54103276.07,3757817.165,2102722.372,6763669.274,4343848.753,149945480.9,715919.3822,0,1732.119937,80766.23019,16119459.73,557290345.9,520405319.2,20075932.08,1652.435806,265530.5885,27901802.79,1453240.565,320645.972,1697814.294,3219254.862,27850632.39,1137622.395,0,1970.450027,18882459.07,707165.7882,0,0,868180.2759,32744.74914,6270.630543,0,0
9,q5 21% 1 c,1655369.245,122369.4077,10120.16393,73661.22674,27270.10393,750233.0896,1092504.718,90808.91076,94760.99568,475357.3841,138807.6673,4710155.068,1741050.558,98286.12625,0,4895.054538,29160609.48,1933332.943,2303329.401,2560311.624,16838708.82,24553424.62,2279751.453,1468440.669,2188208.408,9472591.482,3903209.19,48011.81041,46740617.1,4843822.587,3676739.477,22532414.61,6688855.881,212555987.1,1581212.325,10380.06441,0,139337.4803,18086746.32,651436781.7,659939404.1,24642056.38,109551.2642,194530.5071,30488585.03,2009326.493,2402522.988,2653801.264,18670462.79,61573101.14,2478777.26,0,75402.64236,21835998.7,759306.2054,2160.912345,0,975418.9827,40676.77053,57132.46795,4169.166085,0
10,lac3 21% 1 a,2247846.993,159095.3803,121382.3598,25465.30415,13840.19615,0,3068215.742,208811.6865,635825.5361,83770.5989,79223.33191,72340.87588,1250474.565,73944.67103,9242.854012,617881.167,31316838.8,1681387.76,1002402.946,3978929.792,171366.4686,25949614.69,2292945.845,9208919.855,2263935.364,965658.6939,1736108.58,40106.71012,137258680.8,9892915.658,28173025.02,3886052.145,3348796.852,2404754.367,487803117.8,31608927.99,603522.9088,0,342.3436809,1435154.134,716800820.7,26875048.69,12810401.36,645403443.5,33608042.29,1796277.066,1108027.261,3830837.615,155588.1598,22928027.42,966612.3378,265698.0803,18512611.9,23402344.64,854227.9392,11247.45151,178935.3632,986867.36,30766.40513,59800.04448,0,0
11,lac3 21% 1 b,2494153.635,182710.7276,95982.34739,15539.06434,1954.2343,1981.803134,4111281.485,298122.5657,631582.3883,91196.99948,69947.32929,57465.43094,2213737.322,129837.8736,8865.459011,742353.7954,37875518.29,2298995.08,2551954.355,3569341.104,301297.7063,28847513.96,2702568.169,12159437.27,2728442.929,1217222.908,1615944.678,80978.93296,177225129.1,13256848.89,27620507.18,3838678.182,2990025.702,1668526.141,491206267,31411174.08,587323.4871,0,1135.859033,1190833.258,1349608111,50413736.37,13124328.35,652951684,50824058.13,3072514.568,3565232.921,4735980.544,411514.6628,60858453.99,2472634.851,652225.931,35430651.52,28800057.07,1077453.386,11628.50893,105407.0125,1478598.549,75517.32107,52976.32776,0,0
