id,equation,value,se,lb,ub
BIOMASS,1216*AcCoA.c + 295.6*ALA + 232.4*ASP + 114.7*CO2 + 71.43*CYS + 57.14*DHAP + 142.4*G6P + 158.6*GLN + 190.1*GLU + 324.2*GLY + 125.6*MEETHF + 114.7*P5P + 217.2*SER -> biomass,0.0238,3.74E-04,0.0234,0.0239
GLUT,GLC.x -> GLC,514.2367,1.1834,511.4745,521.0151
PYRR,PYR.x -> PYR.c,75.5655,1.6126,73.0757,79.5674
MCT net,LAC <-> LAC.x,998.5383,3.2144,998.1992,1.02E+03
MCT exch,LAC <-> LAC.x,1.00E-07,1.7887,0,0.1048
ALAR,ALA -> ALA.x,2.2521,0.2356,1.9505,2.4882
GLNR,GLN.x -> GLN,41.5419,0.8452,40.6404,41.5864
GLUR net,GLU <-> GLU.x,16.1767,0.476,15.8397,16.8248
GLUR exch,GLU <-> GLU.x,5.1033,0.513,4.7716,5.2335
ASPR,ASP -> ASP.x,2.5674,0.0802,2.5291,2.6837
HK,GLC -> G6P,514.2367,1.1834,511.4745,521.0151
PGI net,G6P <-> F6P,510.8441,2.6643,499.0268,524.0192
PGI exch,G6P <-> F6P,2.78E+05,2.3758,1.77E+05,Inf
PFK,F6P -> FBP,509.0215,1.116,499.7774,511.7926
ALDO net,FBP <-> DHAP + GAP,509.0215,1.116,499.7774,511.7926
ALDO exch,FBP <-> DHAP + GAP,142.6814,1.3638,142.6649,142.7166
TPI net,DHAP <-> GAP,507.6598,1.1154,506.1126,508.2166
TPI exch,DHAP <-> GAP,4.33E+03,1.7669,4.33E+03,1.09E+04
GAPDH net,GAP <-> 3PG,1.02E+03,2.058,996.2605,1.04E+03
GAPDH exch,GAP <-> 3PG,442.3788,1.7669,4.7187,450.3619
ENO,3PG -> PEP,1.01E+03,2.0321,999.1414,1.03E+03
PK,PEP -> PYR.c,1.04E+03,1.4907,995.3836,1.04E+03
LDH net,PYR.c <-> LAC,998.5383,3.2144,998.1992,1.02E+03
LDH exch,PYR.c <-> LAC,1.63E+03,3.6727,1.62E+03,1.80E+03
GPT1 net,PYR.c <-> ALA,11.8711,1.6307,9.1204,11.8735
GPT1 exch,PYR.c <-> ALA,1.00E-07,1.2351,0,0.261
GPT2 net,PYR.m <-> ALA,-2.5756,1.6287,-4.5556,2.8709
GPT2 exch,PYR.m <-> ALA,4.21E-04,1.176,0,2.9156
G6PD,G6P -> P5P + CO2,1.26E-07,3.0326,0,0.3907
TK1 net,P5P + P5P <-> S7P + GAP,-0.9113,1.0109,-0.9286,-0.8295
TK1 exch,P5P + P5P <-> S7P + GAP,9.97E+04,2.6479,6.27E+03,Inf
TA net,S7P + GAP <-> F6P + E4P,-0.9113,1.0109,-0.9286,-0.8295
TA exch,S7P + GAP <-> F6P + E4P,5.9323,1.4728,5.7942,6.9708
TK2 net,P5P + E4P <-> F6P + GAP,-0.9113,1.0109,-0.9286,-0.8295
TK2 exch,P5P + E4P <-> F6P + GAP,1.00E+07,0.6899,-Inf,Inf
PYRT,PYR.c -> PYR.m,116.3704,1.4873,116.3677,119.0423
PC,PYR.m + CO2 -> OAC,18.7551,1.0411,17.405,19.0753
PEPCK,OAC -> PEP + CO2,25.627,1.1726,15.8146,25.6536
