id,equation,value,se,lb,ub
BIOMASS,1216*AcCoA.c + 295.6*ALA + 232.4*ASP + 114.7*CO2 + 71.43*CYS + 57.14*DHAP + 142.4*G6P + 158.6*GLN + 190.1*GLU + 324.2*GLY + 125.6*MEETHF + 114.7*P5P + 217.2*SER -> biomass,0.0239,5.84E-04,0.0239,0.025
GLUT,GLC.x -> GLC,612.2814,0.8196,612.2706,612.2993
PYRR,PYR.x -> PYR.c,99.7533,0.8593,99.4531,101.1437
MCT net,LAC <-> LAC.x,819.3691,2.0033,816.6418,8.20E+02
MCT exch,LAC <-> LAC.x,6.24E-04,0.88,0.00E+00,3.56E+00
ALAR,ALA -> ALA.x,2.6732,0.3691,2.3598,3.2949
GLNR,GLN.x -> GLN,37.7504,0.5239,37.7322,37.8511
GLUR net,GLU <-> GLU.x,16.092,0.4932,15.6157,16.2466
GLUR exch,GLU <-> GLU.x,5.0632,0.3784,4.8203,5.7489
ASPR,ASP -> ASP.x,2.362,0.086,2.3211,2.4948
HK,GLC -> G6P,612.2814,0.8196,612.2706,612.2993
PGI net,G6P <-> F6P,608.8622,2.5451,608.3536,608.8759
PGI exch,G6P <-> F6P,1.40E+06,1.2477,1.39E+06,Inf
PFK,F6P -> FBP,607.0496,0.6729,607.0371,607.1418
ALDO net,FBP <-> DHAP + GAP,607.0496,0.6729,607.0371,607.1418
ALDO exch,FBP <-> DHAP + GAP,238.2884,0.7086,238.0666,238.299
TPI net,DHAP <-> GAP,605.6854,0.6718,605.6729,605.7783
TPI exch,DHAP <-> GAP,9.99E+06,1.2268,NaN,Inf
GAPDH net,GAP <-> 3PG,1.21E+03,1.0514,1.21E+03,1.21E+03
GAPDH exch,GAP <-> 3PG,5.81E+02,0.8451,581.2152,724.7414
ENO,3PG -> PEP,1.21E+03,1.0467,1.21E+03,1.21E+03
PK,PEP -> PYR.c,1.23E+03,0.837,1.19E+03,1.23E+03
LDH net,PYR.c <-> LAC,819.3691,2.0033,816.6418,8.20E+02
LDH exch,PYR.c <-> LAC,2.65E+03,2.0881,2.58E+03,2.65E+03
GPT1 net,PYR.c <-> ALA,9.6161,0.9009,9.4405,9.6165
GPT1 exch,PYR.c <-> ALA,1.00E-07,0.6616,0,0.056
