name,x,y
3PG,0,0
AcCoA.c,3,-5
AcCoA.m,2,-4
AKG,1,-6
ALA,3,-3
ALA.d,,
ALA.x,4.5,-3
ASP,-1.5,-4
ASP.d,,
ASP.x,4.5,
biomass,,
CIT,1,-5
CO2,,
CYS,-2,-2
CYX.x,-3.5,-2
DHAP,-0.5,1.25
E4P,,
F6P,0,3
FAO,,-4
FBP,0,2
FUM,-1,-6
G6P,0,4
GAP,0.5,1.25
GLC,0,5
GLC.x,4.5,5
GLN,3,-7
GLN.d,,
GLN.x,4.5,-7
GLU,3,-6
GLU.d,,
GLU.x,4.5,-6
GLY,-2,0
GLY.x,-3.5,0
LAC,3,-1
LAC.x,4.5,-1
lipid,4.5,-5
MAL,-1,-5
MEETHF,-1,0
OAC,0.7,-4
P5P,2,4
PEP,0,-1
PYR.c,0,-2
PYR.d,,
PYR.m,0,-3
PYR.x,4.5,-2
S7P,,
SER,-1,-1
SER.x,-3.5,-1
SUC,0,-7
