plate,date,oxygen,treatment,time,gene,replicate,ct
a,2018-01-30,21%,None,0,ACTIN,a,18.105434
a,2018-01-30,21%,None,0,ACTIN,b,18.097876
a,2018-02-04,21%,None,0,ACTIN,a,18.113071
a,2018-02-04,21%,None,0,ACTIN,b,18.136608
a,2018-02-08,21%,None,0,ACTIN,a,18.093426
a,2018-02-08,21%,None,0,ACTIN,b,18.11835
a,2018-02-12,21%,None,0,ACTIN,a,18.102837
a,2018-02-12,21%,None,0,ACTIN,b,18.107466
a,2018-01-30,21%,None,24,ACTIN,a,17.991533
a,2018-01-30,21%,None,24,ACTIN,b,18.021854
a,2018-02-04,21%,None,24,ACTIN,a,17.971914
a,2018-02-04,21%,None,24,ACTIN,b,17.972425
a,2018-02-08,21%,None,24,ACTIN,a,18.23369
a,2018-02-08,21%,None,24,ACTIN,b,18.217638
a,2018-02-12,21%,None,24,ACTIN,a,18.12777
a,2018-02-12,21%,None,24,ACTIN,b,18.164715
a,2018-01-30,21%,None,48,ACTIN,a,18.189423
a,2018-01-30,21%,None,48,ACTIN,b,18.298159
a,2018-02-04,21%,None,48,ACTIN,a,17.713768
a,2018-02-04,21%,None,48,ACTIN,b,17.781607
a,2018-02-08,21%,None,48,ACTIN,a,17.944775
a,2018-02-08,21%,None,48,ACTIN,b,17.894693
a,2018-02-12,21%,None,48,ACTIN,a,17.948942
a,2018-02-12,21%,None,48,ACTIN,b,17.984604
a,2018-01-30,21%,None,72,ACTIN,a,18.095432
a,2018-01-30,21%,None,72,ACTIN,b,18.050726
a,2018-02-04,21%,None,72,ACTIN,a,17.790916
a,2018-02-04,21%,None,72,ACTIN,b,17.829231
a,2018-02-08,21%,None,72,ACTIN,a,17.993826
a,2018-02-08,21%,None,72,ACTIN,b,17.968977
a,2018-02-12,21%,None,72,ACTIN,a,18.165636
a,2018-02-12,21%,None,72,ACTIN,b,18.18316
a,2018-01-30,0.2%,None,0,ACTIN,a,17.869251
a,2018-01-30,0.2%,None,0,ACTIN,b,17.902864
a,2018-02-04,0.2%,None,0,ACTIN,a,17.873327
a,2018-02-04,0.2%,None,0,ACTIN,b,17.893244
a,2018-02-08,0.2%,None,0,ACTIN,a,18.373793
a,2018-02-08,0.2%,None,0,ACTIN,b,18.431257
a,2018-02-12,0.2%,None,0,ACTIN,a,17.850842
a,2018-02-12,0.2%,None,0,ACTIN,b,17.932297
a,2018-01-30,0.2%,None,24,ACTIN,a,17.961143
a,2018-01-30,0.2%,None,24,ACTIN,b,17.9486
a,2018-02-04,0.2%,None,24,ACTIN,a,17.967844
a,2018-02-04,0.2%,None,24,ACTIN,b,17.993471
a,2018-02-08,0.2%,None,24,ACTIN,a,18.284029
a,2018-02-08,0.2%,None,24,ACTIN,b,18.39511
a,2018-02-12,0.2%,None,24,ACTIN,a,17.561195
a,2018-02-12,0.2%,None,24,ACTIN,b,17.542404
a,2018-01-30,0.2%,None,48,ACTIN,a,17.999575
a,2018-01-30,0.2%,None,48,ACTIN,b,17.963264
a,2018-02-04,0.2%,None,48,ACTIN,a,18.14726
a,2018-02-04,0.2%,None,48,ACTIN,b,18.144861
a,2018-02-08,0.2%,None,48,ACTIN,a,18.250711
a,2018-02-08,0.2%,None,48,ACTIN,b,18.289612
a,2018-02-12,0.2%,None,48,ACTIN,a,17.795998
