plate,date,oxygen,treatment,time,gene,replicate,ct
a,2021-09-10,21%,siCTL,72,ACTIN,a,18.605139
a,2021-09-10,21%,siMYC,72,ACTIN,a,18.322416
a,2021-09-10,0.5%,siCTL,72,ACTIN,a,18.219267
a,2021-09-10,0.5%,siMYC,72,ACTIN,a,18.48889
a,2021-09-14,21%,siCTL,72,ACTIN,a,18.743338
a,2021-09-14,21%,siMYC,72,ACTIN,a,18.20626
a,2021-09-14,0.5%,siCTL,72,ACTIN,a,18.198223
a,2021-09-14,0.5%,siMYC,72,ACTIN,a,18.3719
a,2021-09-15,21%,siCTL,72,ACTIN,a,18.906647
a,2021-09-15,21%,siMYC,72,ACTIN,a,18.459002
a,2021-09-15,0.5%,siCTL,72,ACTIN,a,18.810051
a,2021-09-15,0.5%,siMYC,72,ACTIN,a,20.283293
a,2021-09-10,21%,siCTL,72,GLUT1,a,25.310862
a,2021-09-10,21%,siMYC,72,GLUT1,a,25.146
a,2021-09-10,0.5%,siCTL,72,GLUT1,a,24.07764
a,2021-09-10,0.5%,siMYC,72,GLUT1,a,24.398657
a,2021-09-14,21%,siCTL,72,GLUT1,a,25.515265
a,2021-09-14,21%,siMYC,72,GLUT1,a,25.133043
a,2021-09-14,0.5%,siCTL,72,GLUT1,a,23.669603
a,2021-09-14,0.5%,siMYC,72,GLUT1,a,23.930328
a,2021-09-15,21%,siCTL,72,GLUT1,a,25.661373
a,2021-09-15,21%,siMYC,72,GLUT1,a,25.487917
a,2021-09-15,0.5%,siCTL,72,GLUT1,a,24.358065
a,2021-09-15,0.5%,siMYC,72,GLUT1,a,25.809996
a,2021-09-10,21%,siCTL,72,LDHA,a,23.291788
a,2021-09-10,21%,siMYC,72,LDHA,a,23.064856
a,2021-09-10,0.5%,siCTL,72,LDHA,a,20.841995
a,2021-09-10,0.5%,siMYC,72,LDHA,a,21.211702
a,2021-09-14,21%,siCTL,72,LDHA,a,23.338537
a,2021-09-14,21%,siMYC,72,LDHA,a,22.968447
a,2021-09-14,0.5%,siCTL,72,LDHA,a,20.778614
a,2021-09-14,0.5%,siMYC,72,LDHA,a,21.175701
a,2021-09-15,21%,siCTL,72,LDHA,a,23.414845
a,2021-09-15,21%,siMYC,72,LDHA,a,23.28018
a,2021-09-15,0.5%,siCTL,72,LDHA,a,21.451204
a,2021-09-15,0.5%,siMYC,72,LDHA,a,23.35995
