plate,date,oxygen,treatment,time,gene,replicate,ct
a,2018-03-20,21%,None,0,ACTIN,a,20.080322
a,2018-03-20,21%,None,0,ACTIN,b,20.103268
a,2018-03-23,21%,None,0,ACTIN,a,18.274656
a,2018-03-23,21%,None,0,ACTIN,b,18.275562
a,2018-03-27,21%,None,0,ACTIN,a,18.524818
a,2018-03-27,21%,None,0,ACTIN,b,18.576788
a,2018-03-20,21%,None,24,ACTIN,a,17.983961
a,2018-03-20,21%,None,24,ACTIN,b,17.979603
a,2018-03-23,21%,None,24,ACTIN,a,18.005072
a,2018-03-23,21%,None,24,ACTIN,b,18.023432
a,2018-03-27,21%,None,24,ACTIN,a,18.38078
a,2018-03-27,21%,None,24,ACTIN,b,18.355957
a,2018-03-20,21%,None,48,ACTIN,a,17.645016
a,2018-03-20,21%,None,48,ACTIN,b,17.64089
a,2018-03-23,21%,None,48,ACTIN,a,17.787764
a,2018-03-23,21%,None,48,ACTIN,b,17.78801
a,2018-03-27,21%,None,48,ACTIN,a,18.051691
a,2018-03-27,21%,None,48,ACTIN,b,18.04312
a,2018-03-20,21%,None,72,ACTIN,a,18.061365
a,2018-03-20,21%,None,72,ACTIN,b,18.04743
a,2018-03-23,21%,None,72,ACTIN,a,17.829453
a,2018-03-23,21%,None,72,ACTIN,b,17.775667
a,2018-03-27,21%,None,72,ACTIN,a,18.060774
a,2018-03-27,21%,None,72,ACTIN,b,18.08143
a,2018-03-20,0.5%,None,0,ACTIN,a,18.449371
a,2018-03-20,0.5%,None,0,ACTIN,b,18.459541
a,2018-03-23,0.5%,None,0,ACTIN,a,17.736153
a,2018-03-23,0.5%,None,0,ACTIN,b,17.783285
a,2018-03-27,0.5%,None,0,ACTIN,a,17.870518
a,2018-03-27,0.5%,None,0,ACTIN,b,17.86857
a,2018-03-20,0.5%,None,24,ACTIN,a,17.726484
a,2018-03-20,0.5%,None,24,ACTIN,b,17.73453
a,2018-03-23,0.5%,None,24,ACTIN,a,17.564226
a,2018-03-23,0.5%,None,24,ACTIN,b,17.555756
a,2018-03-27,0.5%,None,24,ACTIN,a,17.770117
a,2018-03-27,0.5%,None,24,ACTIN,b,17.69612
a,2018-03-20,0.5%,None,48,ACTIN,a,18.555763
a,2018-03-20,0.5%,None,48,ACTIN,b,18.47256
a,2018-03-23,0.5%,None,48,ACTIN,a,17.870804
a,2018-03-23,0.5%,None,48,ACTIN,b,17.962828
a,2018-03-27,0.5%,None,48,ACTIN,a,17.970154
a,2018-03-27,0.5%,None,48,ACTIN,b,17.93163
a,2018-03-20,0.5%,None,72,ACTIN,a,18.14263
a,2018-03-20,0.5%,None,72,ACTIN,b,18.153135
a,2018-03-23,0.5%,None,72,ACTIN,a,17.675255
a,2018-03-23,0.5%,None,72,ACTIN,b,17.694979
a,2018-03-27,0.5%,None,72,ACTIN,a,18.135296
a,2018-03-27,0.5%,None,72,ACTIN,b,18.08167
a,2018-03-20,21%,None,0,GLUT1,a,28.65666
a,2018-03-20,21%,None,0,GLUT1,b,28.550491
a,2018-03-23,21%,None,0,GLUT1,a,26.558151
a,2018-03-23,21%,None,0,GLUT1,b,26.49947
a,2018-03-27,21%,None,0,GLUT1,a,26.812157
a,2018-03-27,21%,None,0,GLUT1,b,26.987406
a,2018-03-20,21%,None,24,GLUT1,a,25.714058
a,2018-03-20,21%,None,24,GLUT1,b,25.710617
a,2018-03-23,21%,None,24,GLUT1,a,25.9237
a,2018-03-23,21%,None,24,GLUT1,b,25.903324
a,2018-03-27,21%,None,24,GLUT1,a,27.084171
a,2018-03-27,21%,None,24,GLUT1,b,27.163837
a,2018-03-20,21%,None,48,GLUT1,a,25.482885
a,2018-03-20,21%,None,48,GLUT1,b,25.49174
a,2018-03-23,21%,None,48,GLUT1,a,25.678005
a,2018-03-23,21%,None,48,GLUT1,b,25.680351
a,2018-03-27,21%,None,48,GLUT1,a,26.475386
a,2018-03-27,21%,None,48,GLUT1,b,26.54291
a,2018-03-20,21%,None,72,GLUT1,a,25.945574
a,2018-03-20,21%,None,72,GLUT1,b,25.88158
a,2018-03-23,21%,None,72,GLUT1,a,25.484503
a,2018-03-23,21%,None,72,GLUT1,b,25.614937
a,2018-03-27,21%,None,72,GLUT1,a,26.132774
a,2018-03-27,21%,None,72,GLUT1,b,26.028645
a,2018-03-20,0.5%,None,0,GLUT1,a,25.300163
a,2018-03-20,0.5%,None,0,GLUT1,b,25.33233
a,2018-03-23,0.5%,None,0,GLUT1,a,23.977886
a,2018-03-23,0.5%,None,0,GLUT1,b,24.033373
a,2018-03-27,0.5%,None,0,GLUT1,a,23.941406
a,2018-03-27,0.5%,None,0,GLUT1,b,24.007095
a,2018-03-20,0.5%,None,24,GLUT1,a,24.556396
a,2018-03-20,0.5%,None,24,GLUT1,b,24.414032
a,2018-03-23,0.5%,None,24,GLUT1,a,24.181942
a,2018-03-23,0.5%,None,24,GLUT1,b,24.242031
a,2018-03-27,0.5%,None,24,GLUT1,a,24.367973
a,2018-03-27,0.5%,None,24,GLUT1,b,24.501354
a,2018-03-20,0.5%,None,48,GLUT1,a,25.735666
a,2018-03-20,0.5%,None,48,GLUT1,b,26.057016
a,2018-03-23,0.5%,None,48,GLUT1,a,24.88474
a,2018-03-23,0.5%,None,48,GLUT1,b,24.824392
a,2018-03-27,0.5%,None,48,GLUT1,a,24.744339
a,2018-03-27,0.5%,None,48,GLUT1,b,24.901314
a,2018-03-20,0.5%,None,72,GLUT1,a,25.141773
a,2018-03-20,0.5%,None,72,GLUT1,b,25.364668
a,2018-03-23,0.5%,None,72,GLUT1,a,24.364779
a,2018-03-23,0.5%,None,72,GLUT1,b,24.282555
a,2018-03-27,0.5%,None,72,GLUT1,a,25.180744
a,2018-03-27,0.5%,None,72,GLUT1,b,25.180994
a,2018-03-20,21%,None,0,LDHA,a,24.456348
a,2018-03-20,21%,None,0,LDHA,b,24.433712
a,2018-03-23,21%,None,0,LDHA,a,23.556173
a,2018-03-23,21%,None,0,LDHA,b,23.530458
a,2018-03-27,21%,None,0,LDHA,a,23.785107
a,2018-03-27,21%,None,0,LDHA,b,23.765478
a,2018-03-20,21%,None,24,LDHA,a,22.733234
a,2018-03-20,21%,None,24,LDHA,b,22.721682
a,2018-03-23,21%,None,24,LDHA,a,22.870785
a,2018-03-23,21%,None,24,LDHA,b,22.97543
a,2018-03-27,21%,None,24,LDHA,a,23.792395
a,2018-03-27,21%,None,24,LDHA,b,23.826773
a,2018-03-20,21%,None,48,LDHA,a,22.619356
a,2018-03-20,21%,None,48,LDHA,b,22.671604
a,2018-03-23,21%,None,48,LDHA,a,22.633877
