plate,date,oxygen,treatment,time,gene,replicate,ct
a,2018-05-25,21%,DMSO,0,LDHA,a,22.278978
a,2018-05-29,21%,DMSO,0,LDHA,a,22.12663
a,2018-06-03,21%,DMSO,0,LDHA,a,22.758894
a,2018-05-25,21%,DMSO,24,LDHA,a,21.868757
a,2018-05-29,21%,DMSO,24,LDHA,a,21.865261
a,2018-06-03,21%,DMSO,24,LDHA,a,21.87746
a,2018-05-25,21%,DMSO,48,LDHA,a,21.93864
a,2018-05-29,21%,DMSO,48,LDHA,a,21.775522
a,2018-06-03,21%,DMSO,48,LDHA,a,22.112127
a,2018-05-25,21%,DMSO,72,LDHA,a,22.577068
a,2018-05-29,21%,DMSO,72,LDHA,a,22.191109
a,2018-06-03,21%,DMSO,72,LDHA,a,22.56039
a,2018-05-25,21%,BAY,0,LDHA,a,19.914461
a,2018-05-29,21%,BAY,0,LDHA,a,19.92694
a,2018-06-03,21%,BAY,0,LDHA,a,19.963114
a,2018-05-25,21%,BAY,24,LDHA,a,19.59313
a,2018-05-29,21%,BAY,24,LDHA,a,19.534136
a,2018-06-03,21%,BAY,24,LDHA,a,19.638138
a,2018-05-25,21%,BAY,48,LDHA,a,19.72486
a,2018-05-29,21%,BAY,48,LDHA,a,19.72237
a,2018-06-03,21%,BAY,48,LDHA,a,19.917437
a,2018-05-25,21%,BAY,72,LDHA,a,20.257586
a,2018-05-29,21%,BAY,72,LDHA,a,19.855074
a,2018-06-03,21%,BAY,72,LDHA,a,20.074238
a,2018-05-25,21%,DMSO,0,GLUT1,a,24.800385
a,2018-05-29,21%,DMSO,0,GLUT1,a,24.459576
a,2018-06-03,21%,DMSO,0,GLUT1,a,25.537348
a,2018-05-25,21%,DMSO,24,GLUT1,a,24.404892
a,2018-05-29,21%,DMSO,24,GLUT1,a,24.39353
a,2018-06-03,21%,DMSO,24,GLUT1,a,24.357435
a,2018-05-25,21%,DMSO,48,GLUT1,a,24.46863
a,2018-05-29,21%,DMSO,48,GLUT1,a,24.30867
a,2018-06-03,21%,DMSO,48,GLUT1,a,24.41502
a,2018-05-25,21%,DMSO,72,GLUT1,a,24.905787
a,2018-05-29,21%,DMSO,72,GLUT1,a,24.495014
a,2018-06-03,21%,DMSO,72,GLUT1,a,24.514576
a,2018-05-25,21%,BAY,0,GLUT1,a,22.802195
a,2018-05-29,21%,BAY,0,GLUT1,a,22.71347
a,2018-06-03,21%,BAY,0,GLUT1,a,22.854233
a,2018-05-25,21%,BAY,24,GLUT1,a,22.89077
a,2018-05-29,21%,BAY,24,GLUT1,a,22.740202
a,2018-06-03,21%,BAY,24,GLUT1,a,22.80142
a,2018-05-25,21%,BAY,48,GLUT1,a,23.013012
a,2018-05-29,21%,BAY,48,GLUT1,a,23.013151
a,2018-06-03,21%,BAY,48,GLUT1,a,23.065397
a,2018-05-25,21%,BAY,72,GLUT1,a,23.388838
a,2018-05-29,21%,BAY,72,GLUT1,a,23.030518
a,2018-06-03,21%,BAY,72,GLUT1,a,22.928572
a,2018-05-25,21%,DMSO,0,ACTIN,a,17.316519
a,2018-05-29,21%,DMSO,0,ACTIN,a,17.202536
a,2018-06-03,21%,DMSO,0,ACTIN,a,18.012232
a,2018-05-25,21%,DMSO,24,ACTIN,a,17.242695
a,2018-05-29,21%,DMSO,24,ACTIN,a,17.191525
a,2018-06-03,21%,DMSO,24,ACTIN,a,17.071404
a,2018-05-25,21%,DMSO,48,ACTIN,a,17.116697
a,2018-05-29,21%,DMSO,48,ACTIN,a,17.066547
a,2018-06-03,21%,DMSO,48,ACTIN,a,17.229643
a,2018-05-25,21%,DMSO,72,ACTIN,a,17.512653
a,2018-05-29,21%,DMSO,72,ACTIN,a,17.237514
a,2018-06-03,21%,DMSO,72,ACTIN,a,17.32269
a,2018-05-25,21%,BAY,0,ACTIN,a,17.081343
a,2018-05-29,21%,BAY,0,ACTIN,a,17.070404
a,2018-06-03,21%,BAY,0,ACTIN,a,17.061201
a,2018-05-25,21%,BAY,24,ACTIN,a,17.012297
a,2018-05-29,21%,BAY,24,ACTIN,a,16.98072
a,2018-06-03,21%,BAY,24,ACTIN,a,17.125263
a,2018-05-25,21%,BAY,48,ACTIN,a,17.06903
a,2018-05-29,21%,BAY,48,ACTIN,a,17.10369
a,2018-06-03,21%,BAY,48,ACTIN,a,17.230188
a,2018-05-25,21%,BAY,72,ACTIN,a,17.416142
a,2018-05-29,21%,BAY,72,ACTIN,a,17.086967
a,2018-06-03,21%,BAY,72,ACTIN,a,17.234102
