experiment,ion,filename,area
1,2HG M0,M01,76192959.92
1,2HG M0,M02,74178870.61
1,2HG M0,M03,76070022.63
1,2HG M1,M01,6332751.314
1,2HG M1,M02,6083876.709
1,2HG M1,M03,6296185.662
1,2OG M0,M01,24947410.29
1,2OG M0,M02,24292485.13
1,2OG M0,M03,24407599.78
1,2OG M1,M01,2034258.634
1,2OG M1,M02,2058139.959
1,2OG M1,M03,2018207.147
1,alanine M0,M01,34147511.1
1,alanine M0,M02,29445836.41
1,alanine M0,M03,29849476.01
1,alanine M1,M01,1698232.539
1,alanine M1,M02,1599498.194
1,alanine M1,M03,1477008.196
1,aspartate M0,M01,26935647.84
1,aspartate M0,M02,25832608.2
1,aspartate M0,M03,27614875.01
1,aspartate M1,M01,1813016.629
1,aspartate M1,M02,1773387.874
1,aspartate M1,M03,1890556.46
1,citrate M0,M01,25444051.34
1,citrate M0,M02,30705690.06
1,citrate M0,M03,33588171.35
1,citrate M1,M01,2419454.931
1,citrate M1,M02,3014777.649
1,citrate M1,M03,3301664.072
1,glutamate M0,M01,33387026.15
1,glutamate M0,M02,32394067.28
1,glutamate M0,M03,32249527.52
1,glutamate M1,M01,2845386.19
1,glutamate M1,M02,2723765.698
1,glutamate M1,M03,2796478.334
1,glutamine M0,M01,25745953.78
1,glutamine M0,M02,24056731.13
1,glutamine M0,M03,24513535.43
1,glutamine M1,M01,2351366.418
1,glutamine M1,M02,2206033.613
1,glutamine M1,M03,2276625.591
1,lactate M0,M01,117988474.3
1,lactate M0,M02,117380664.2
1,lactate M0,M03,113929324.3
1,lactate M1,M01,5770770.485
1,lactate M1,M02,5688381.711
1,lactate M1,M03,5463574.691
1,malate M0,M01,99145995.62
1,malate M0,M02,91222366.38
1,malate M0,M03,98674014.26
1,malate M1,M01,6318407.013
1,malate M1,M02,5919774.024
1,malate M1,M03,6284746.161
1,pyruvate M0,M01,73838435.38
1,pyruvate M0,M02,81841808.57
1,pyruvate M0,M03,76851906.38
1,pyruvate M1,M01,3899871.428
1,pyruvate M1,M02,4106259.829
1,pyruvate M1,M03,3815591.698
1,serine M0,M01,5897877.376
1,serine M0,M02,5488012.791
1,serine M0,M03,5200400.397
1,serine M1,M01,291934.475
1,serine M1,M02,276006.0028
1,serine M1,M03,263271.0679
1,succinate M0,M01,15008526.35
