experiment,ion,filename,area
1,pyruvate M0,M01,593120443.26433301
1,pyruvate M0,M02,613254894.73304701
1,pyruvate M0,M03,590143972.63165903
1,pyruvate M0,M04,579831165.359671
1,pyruvate M1,M01,22458114.124054
1,pyruvate M1,M02,24091389.3474622
1,pyruvate M1,M03,23525174.550229501
1,pyruvate M1,M04,23110001.541657802
1,lactate M0,M01,1188861058.24458
1,lactate M0,M02,1356684639.6349001
1,lactate M0,M03,1339811792.3334401
1,lactate M0,M04,1241876881.3429799
1,lactate M1,M01,44945579.386554003
1,lactate M1,M02,50975576.935288601
1,lactate M1,M03,50369252.062849402
1,lactate M1,M04,46354823.559919298
1,alanine M0,M01,31473564.533337001
1,alanine M0,M02,29951042.0713397
1,alanine M0,M03,30322975.4620266
1,alanine M0,M04,30630356.381018799
1,alanine M1,M01,1124436.69345005
1,alanine M1,M02,1085982.9661429699
1,alanine M1,M03,1118085.6835251299
1,alanine M1,M04,1098849.91448911
1,glutamine M0,M01,155685448.35816601
1,glutamine M0,M02,155233100.98054701
1,glutamine M0,M03,145128613.407042
1,glutamine M0,M04,156222877.67314899
1,glutamine M1,M01,9849707.4514329303
1,glutamine M1,M02,9876020.8325122409
1,glutamine M1,M03,9193496.7783023193
1,glutamine M1,M04,9805464.2570083998
1,glutamate M0,M01,155173967.89621401
1,glutamate M0,M02,155852718.458327
1,glutamate M0,M03,145696882.78117701
1,glutamate M0,M04,153456451.304638
1,glutamate M1,M01,9957521.3883526307
1,glutamate M1,M02,10204581.826830801
1,glutamate M1,M03,9403469.3062697407
1,glutamate M1,M04,10039157.1300714
1,serine M0,M01,76379251.027392507
1,serine M0,M02,81020022.654999003
1,serine M0,M03,78013917.760636494
1,serine M0,M04,80743509.939379096
1,serine M1,M01,2832952.5765426201
1,serine M1,M02,3029239.6328228498
1,serine M1,M03,2872362.54155776
1,serine M1,M04,2880972.2384016402
1,aspartate M0,M01,46387192.815450601
1,aspartate M0,M02,49739961.806698501
1,aspartate M0,M03,46492797.575515397
1,aspartate M0,M04,48133773.464264803
1,aspartate M1,M01,2320868.5997452498
1,aspartate M1,M02,2486735.9852792299
1,aspartate M1,M03,2283499.5256692199
1,aspartate M1,M04,2400173.01076219
1,2HG M0,M01,254407712.33779401
1,2HG M0,M02,269461838.09939498
1,2HG M0,M03,262211880.79800701
1,2HG M0,M04,259483261.04931599
1,2HG M1,M01,16634240.856650701
1,2HG M1,M02,17700555.548012801
1,2HG M1,M03,17417912.546124
1,2HG M1,M04,17232645.2119684
1,succinate M0,M01,77460815.1348515
1,succinate M0,M02,81873388.433252394
1,succinate M0,M03,80395951.350800499
1,succinate M0,M04,81899159.0271056
1,succinate M1,M01,3948064.2602400999
1,succinate M1,M02,4160332.880655
1,succinate M1,M03,4041481.80386663
1,succinate M1,M04,4141693.1186580202
1,2OG M0,M01,98483748.892958194
1,2OG M0,M02,102470634.582284
1,2OG M0,M03,100202245.643038
1,2OG M0,M04,100498773.812786
1,2OG M1,M01,6240404.4760161601
1,2OG M1,M02,6507043.7419877499
1,2OG M1,M03,6545499.7223285995
1,2OG M1,M04,6527061.2756334599
1,malate M0,M01,289739009.35829401
1,malate M0,M02,328095848.89651501
1,malate M0,M03,295691323.549474
1,malate M0,M04,310314730.294285
1,malate M1,M01,14367797.6156494
1,malate M1,M02,16641792.3569631
1,malate M1,M03,14934069.065355901
1,malate M1,M04,15517213.5073185
1,citrate M0,M01,7133031.2218601303
1,citrate M0,M02,7975644.64495527
1,citrate M0,M03,7364984.1790028503
1,citrate M0,M04,7436032.48637769
1,citrate M1,M01,518398.305785754
1,citrate M1,M02,646825.82445170404
1,citrate M1,M03,596722.70129701402
1,citrate M1,M04,588827.80925883504
2,pyruvate M0,M11,714219848.226583
2,pyruvate M0,M12,697628914.94087505
2,pyruvate M0,M13,677966434.70023799
2,pyruvate M0,M14,664090251.88363099
2,pyruvate M1,M11,27493097.9400164
2,pyruvate M1,M12,26982069.3675607
2,pyruvate M1,M13,26185414.744526401
2,pyruvate M1,M14,25866943.637852501
2,lactate M0,M11,1447231286.20208
2,lactate M0,M12,1467569983.2435701
2,lactate M0,M13,1514367070.5452399
2,lactate M0,M14,1440676581.8307099
2,lactate M1,M11,52653247.153641403
2,lactate M1,M12,53562346.487974897
2,lactate M1,M13,55552956.453561202
2,lactate M1,M14,52244600.696617901
2,alanine M0,M11,33965260.320046902
2,alanine M0,M12,34191641.051085196
2,alanine M0,M13,35289270.545234904
2,alanine M0,M14,33157421.803708099
2,alanine M1,M11,1184899.48386776
2,alanine M1,M12,1221549.6588381301
2,alanine M1,M13,1249706.6077572301
2,alanine M1,M14,1184584.5288003399
2,glutamine M0,M11,183542651.043598
2,glutamine M0,M12,184625173.85580099
2,glutamine M0,M13,178022180.95738199
2,glutamine M0,M14,177893397.72960001
2,glutamine M1,M11,10902376.6548614
2,glutamine M1,M12,11168937.7969108
2,glutamine M1,M13,10914724.255617401
2,glutamine M1,M14,10898918.170844801
2,glutamate M0,M11,178029187.59529001
2,glutamate M0,M12,179779195.34536999
2,glutamate M0,M13,178294961.200764
2,glutamate M0,M14,177816624.196922
2,glutamate M1,M11,11121606.742794501
2,glutamate M1,M12,10946166.8823575
2,glutamate M1,M13,10574501.3009973
2,glutamate M1,M14,10927380.597565699
2,serine M0,M11,86049521.362609997
2,serine M0,M12,84730370.019070998
2,serine M0,M13,85608882.649824202
2,serine M0,M14,89051818.371094301
2,serine M1,M11,3094025.1171044698
2,serine M1,M12,3088846.5019889399
2,serine M1,M13,3210143.8737286702
2,serine M1,M14,3356109.6112646102
2,aspartate M0,M11,51215151.747351304
2,aspartate M0,M12,49947749.372334503
2,aspartate M0,M13,50508889.027743898
2,aspartate M0,M14,50265108.624164298
2,aspartate M1,M11,2466605.8820946701
2,aspartate M1,M12,2434648.4954307401
2,aspartate M1,M13,2480654.6007003002
2,aspartate M1,M14,2470485.7006304599
2,2HG M0,M11,306803396.88737202
2,2HG M0,M12,300405357.56122798
2,2HG M0,M13,299385264.67606997
2,2HG M0,M14,301229405.59410399
2,2HG M1,M11,19012253.315687001
2,2HG M1,M12,18529993.9743056
2,2HG M1,M13,18353401.439028502
2,2HG M1,M14,18190938.5465458
2,succinate M0,M11,88991930.881334797
2,succinate M0,M12,85997114.820715696
2,succinate M0,M13,95287856.759642303
2,succinate M0,M14,86288421.061782807
2,succinate M1,M11,4414940.5886245295
2,succinate M1,M12,4247572.3571792403
2,succinate M1,M13,4708462.8631703304
2,succinate M1,M14,4229476.8608525097
2,2OG M0,M11,116563449.819818
2,2OG M0,M12,116112276.61722299
2,2OG M0,M13,117820208.07573
2,2OG M0,M14,116308681.920571
2,2OG M1,M11,7206564.1395436404
2,2OG M1,M12,7095950.6355298301
2,2OG M1,M13,7288876.6003696304
2,2OG M1,M14,7044636.3815723201
2,malate M0,M11,325177490.95073301
2,malate M0,M12,330048454.14449698
2,malate M0,M13,336690393.72772402
2,malate M0,M14,335936696.62951601
2,malate M1,M11,15993555.332462899
2,malate M1,M12,16491601.998434899
2,malate M1,M13,16686271.3057837
2,malate M1,M14,16471675.2587662
2,citrate M0,M11,8569264.1349852104
2,citrate M0,M12,8605392.0007642098
2,citrate M0,M13,8503919.1073430795
2,citrate M0,M14,8583825.9980665706
2,citrate M1,M11,652937.01640816301
2,citrate M1,M12,654667.14529701194
2,citrate M1,M13,623473.18888217804
2,citrate M1,M14,694983.32875584206
3,pyruvate M0,M21,765782891.73878205
3,pyruvate M0,M22,746209373.84801698
3,pyruvate M0,M23,750709677.80696702
3,pyruvate M0,M24,777484320.22942698
3,pyruvate M1,M21,28941385.523267299
3,pyruvate M1,M22,28133959.251871001
3,pyruvate M1,M23,28355634.634183101
3,pyruvate M1,M24,29495929.831930298
3,lactate M0,M21,1555262317.4134099
3,lactate M0,M22,1631639954.8857601
3,lactate M0,M23,1559807682.55878
3,lactate M0,M24,1585697897.4686201
3,lactate M1,M21,55737328.112769403
3,lactate M1,M22,59404153.477702104
3,lactate M1,M23,56961223.515936598
3,lactate M1,M24,57433296.517294303
3,alanine M0,M21,36235931.942458399
3,alanine M0,M22,36745347.035131499
3,alanine M0,M23,34507361.979265399
3,alanine M0,M24,36232174.904165797
3,alanine M1,M21,1275848.4202997701
3,alanine M1,M22,1310784.58034886
3,alanine M1,M23,1236791.55745344
3,alanine M1,M24,1278126.3283514599
3,glutamine M0,M21,196469616.53156099
3,glutamine M0,M22,199770686.77286601
3,glutamine M0,M23,192468518.60978001
3,glutamine M0,M24,194458084.19850299
3,glutamine M1,M21,11597825.6524725
3,glutamine M1,M22,11910562.412278499
3,glutamine M1,M23,11585154.638287701
3,glutamine M1,M24,11513869.1536725
