Reagent type (species) or resource,Designation,Source or reference,Identifiers,Additional information
antibody,anti-HIF-1α (Mouse monoclonal),BD Biosciences,610958,1:1000
antibody,anti-c-MYC (Rabbit monoclonal),Cell Signaling Technologies,D84C12,1:1000
antibody,anti-LDHA (Rabbit polyclonal),Cell Signaling Technologies,2012,1:1000
antibody,HRP-anti-Rabbit IgG,Cell Signaling Technologies,7074,1:5000
antibody,HRP-anti-Mouse IgG,Cell Signaling Technologies,7076,1:5000
transfected construct (human),MYC,Vector Biolabs,1285,adenovirus to express MYC
transfected construct (human),YFP,"Oldham et al., 2015",,adenovirus control to express YFP
"chemical compound, drug","[1,2-^13^C~1~]-glucose",Cambridge Isotope Labs,CLM-504-PK,
"chemical compound, drug",[U-^13^C~6~]-glucose,Cambridge Isotope Labs,CLM-1396-PK,
"chemical compound, drug",[U-^13^C~5~]-glutamine,Cambridge Isotope Labs,CLM-1822-H-PK,
"chemical compound, drug",[U-^13^C~3~]-lactate,Sigma,485926,
"chemical compound, drug",BAY,Cayman,15297,Molidustat (BAY-85-3934); 10 μM in DMSO
commercial assay or kit,Glucose colorimetric assay kit,Cayman,10009582,
commercial assay or kit,ʟ-Lactate assay kit,Cayman,700510,
commercial assay or kit,Pyruvate assay kit,Cayman,700470,
commercial assay or kit,NADP/NADPH-Glo Assay,Promega,G9081,
cell line (human),LFs,Lonza,CC-2512,Normal human lung fibroblasts
cell line (human),PASMCs,Lonza,CC-2581,Pulmonary artery smooth muscle cells
sequenced-based reagent,ACTB,Life Technologies,Hs03023943_g1,qPCR probe
sequenced-based reagent,GLUT1,Life Technologies,Hs00892681_m1,qPCR probe
sequenced-based reagent,LDHA,Life Technologies,Hs00855332_g1,qPCR probe
sequenced-based reagent,CDKN1A,Life Technologies,Hs00355782_m1,qPCR probe
transfected construct (human),siMYC,Dharmacon,L-003282-02-0005,ON-TARGETplus siRNA
transfected construct (human),siPHD2,Dharmacon,L-004276-00-0005,ON-TARGETplus siRNA
transfected construct (human),siCTL,Dharmacon,D-001810-10-05,ON-TARGETplus non-targeting control pool
