Pathway,NES
HYPOXIA,2.9199384649727054
GLYCOLYSIS,2.6850903910044748
MTORC1 SIGNALING,2.1142863938089276
EPITHELIAL MESENCHYMAL TRANSITION,1.853665340287812
IL2 STAT5 SIGNALING,1.7951734590905701
TNFA SIGNALING VIA NFKB,1.7664517718550885
HEDGEHOG SIGNALING,1.7290572540219997
APOPTOSIS,1.6637510300236438
UV RESPONSE DN,1.6558953676136743
HEME METABOLISM,1.6115348657138076
KRAS SIGNALING UP,1.5281819781198396
MYOGENESIS,1.4948040647281382
COAGULATION,1.4430149693064325
P53 PATHWAY,1.4357731052606375
ESTROGEN RESPONSE EARLY,1.4345901720679106
APICAL JUNCTION,1.410912782987489
ADIPOGENESIS,1.4072682975093131
ALLOGRAFT REJECTION,-1.4001453946555895
OXIDATIVE PHOSPHORYLATION,-1.5894998179164979
INTERFERON GAMMA RESPONSE,-1.6765401985787354
E2F TARGETS,-1.6785396596240478
MYC TARGETS V1,-1.796871239259178
MYC TARGETS V2,-1.8706591085847455
INTERFERON ALPHA RESPONSE,-1.920714459773872
