Pathway,NES
Protein digestion and absorption,1.8378528290709417
Aminoacyl-tRNA biosynthesis,1.8140105454078943
Arginine and proline metabolism,1.790668235943086
beta-Alanine metabolism,1.6707980007989447
Biosynthesis of unsaturated fatty acids,1.6363437438491468
Fatty acid biosynthesis,1.6363437438491468
ABC transporters,1.5772505417314162
Morphine addiction,1.4563898072284545
Primary bile acid biosynthesis,1.4126542660057118
Pathways in cancer,-1.5166400684298256
Renal cell carcinoma,-1.5166400684298256
Amino sugar and nucleotide sugar metabolism,-1.599431057538704
Glyoxylate and dicarboxylate metabolism,-1.6351988550480376
Glucagon signaling pathway,-1.732543658270028
Citrate cycle (TCA cycle),-1.9293668740334717
